sample_id	biosample	library_name	genotype	condition	tissue	age
SRR7882942	SAMN10096714	4FR3R4	HA351	flooding	root	d30
SRR7882943	SAMN10096713	4FR3R3	HA351	flooding	root	d30
SRR7882944	SAMN10096712	4FR3R2	HA351	flooding	root	d30
SRR7882945	SAMN10096711	4FR3R1	HA351	flooding	root	d30
SRR7882946	SAMN10096710	4FR2R4	HA351	flooding	root	d24
SRR7882947	SAMN10096709	4FR2R3	HA351	flooding	root	d24
SRR7882948	SAMN10096708	4FR2R2	HA351	flooding	root	d24
SRR7882949	SAMN10096707	4FR2R1	HA351	flooding	root	d24
SRR7882950	SAMN10096716	208CL1R2	RHA428	control	leaf	d16
SRR7882951	SAMN10096715	208CL1R1	RHA428	control	leaf	d16
SRR7882952	SAMN10096717	208CL1R3	RHA428	control	leaf	d16
SRR7882953	SAMN10096718	208CL1R4	RHA428	control	leaf	d16
SRR7882954	SAMN10096719	208CL2R1	RHA428	control	leaf	d24
SRR7882955	SAMN10096720	208CL2R2	RHA428	control	leaf	d24
SRR7882956	SAMN10096721	208CL2R3	RHA428	control	leaf	d24
SRR7882957	SAMN10096722	208CL2R4	RHA428	control	leaf	d24
SRR7882958	SAMN10096723	208CL3R1	RHA428	control	leaf	d30
SRR7882959	SAMN10096724	208CL3R2	RHA428	control	leaf	d30
SRR7882960	SAMN10096725	208CL3R3	RHA428	control	leaf	d30
SRR7882961	SAMN10096726	208CL3R4	RHA428	control	leaf	d30
SRR7882962	SAMN10096736	208FL3R2	RHA428	flooding	leaf	d30
SRR7882963	SAMN10096735	208FL3R1	RHA428	flooding	leaf	d30
SRR7882964	SAMN10096732	208FL2R2	RHA428	flooding	leaf	d24
SRR7882965	SAMN10096731	208FL2R1	RHA428	flooding	leaf	d24
SRR7882966	SAMN10096734	208FL2R4	RHA428	flooding	leaf	d24
SRR7882967	SAMN10096733	208FL2R3	RHA428	flooding	leaf	d24
SRR7882968	SAMN10096728	208FL1R2	RHA428	flooding	leaf	d16
SRR7882969	SAMN10096727	208FL1R1	RHA428	flooding	leaf	d16
SRR7882970	SAMN10096730	208FL1R4	RHA428	flooding	leaf	d16
SRR7882971	SAMN10096729	208FL1R3	RHA428	flooding	leaf	d16
SRR7882972	SAMN10096745	208CR2R3	RHA428	control	root	d24
SRR7882973	SAMN10096746	208CR2R4	RHA428	control	root	d24
SRR7882974	SAMN10096743	208CR2R1	RHA428	control	root	d24
SRR7882975	SAMN10096744	208CR2R2	RHA428	control	root	d24
SRR7882976	SAMN10096741	208CR1R3	RHA428	control	root	d16
SRR7882977	SAMN10096742	208CR1R4	RHA428	control	root	d16
SRR7882978	SAMN10096739	208CR1R1	RHA428	control	root	d16
SRR7882979	SAMN10096740	208CR1R2	RHA428	control	root	d16
SRR7882980	SAMN10096737	208FL3R3	RHA428	flooding	leaf	d30
SRR7882981	SAMN10096738	208FL3R4	RHA428	flooding	leaf	d30
SRR7882982	SAMN10096750	208CR3R4	RHA428	control	root	d30
SRR7882983	SAMN10096749	208CR3R3	RHA428	control	root	d30
SRR7882984	SAMN10096748	208CR3R2	RHA428	control	root	d30
SRR7882985	SAMN10096747	208CR3R1	RHA428	control	root	d30
SRR7882986	SAMN10096754	208FR1R4	RHA428	flooding	root	d16
SRR7882987	SAMN10096753	208FR1R3	RHA428	flooding	root	d16
SRR7882988	SAMN10096752	208FR1R2	RHA428	flooding	root	d16
SRR7882989	SAMN10096751	208FR1R1	RHA428	flooding	root	d16
