run	assigned	total	pct_assigned	no_features	multi_mapping	unmapped
SRR7882951	21802990	143341721	15.2	1635170	118760284	841033
SRR7882950	26497567	167757768	15.8	1920804	137971409	994491
SRR7882952	27799267	183828466	15.1	1960923	152682735	999868
SRR7882953	20690865	134327732	15.4	1449804	111011538	885337
SRR7882954	17858375	151347673	11.8	1608935	130880135	741863
SRR7882955	17504590	162242505	10.8	1628828	142237814	632502
SRR7882956	18041416	132193118	13.6	1151261	112087144	656657
SRR7882957	18960893	173982532	10.9	1853195	152195631	698179
SRR7882958	19443805	135133391	14.4	1524072	113075665	841719
SRR7882959	24710490	156956647	15.7	2829409	127618940	1463370
SRR7882960	22856875	184447163	12.4	2195256	158181032	919058
SRR7882961	19130812	134783514	14.2	2589648	111873513	929952
SRR7882978	54664051	93959750	58.2	5810618	29163668	3922755
SRR7882979	44472310	74396612	59.8	4793915	21732371	3057414
SRR7882976	41834061	73717912	56.7	4731845	23777362	3063317
SRR7882977	41841448	76232212	54.9	4019867	26820196	3257252
SRR7882974	47923923	77750702	61.6	4383088	22185041	2833081
SRR7882975	54518195	93928375	58.0	7422420	27557303	3923712
SRR7882972	58328765	101377856	57.5	8855519	28873338	4872168
SRR7882973	48558262	98149914	49.5	4670041	41432924	3109866
SRR7882985	47311792	76230961	62.1	4065147	21899175	2567202
SRR7882984	42897724	71485390	60.0	5132853	20280132	2804333
SRR7882983	36666901	63847433	57.4	5146485	18788495	2943361
SRR7882982	41862485	80556614	52.0	9796443	24920205	3599696
SRR7882969	23624713	147287138	16.0	1639904	120590020	1099840
SRR7882968	22050043	156424463	14.1	1608689	131598447	852433
SRR7882971	22684773	152523049	14.9	1618859	126961812	942910
SRR7882970	21116465	157469970	13.4	1760501	133402695	903069
SRR7882965	29241275	219553760	13.3	2275400	186599173	1034573
SRR7882964	21760997	138539009	15.7	3108565	112024098	1348893
SRR7882967	16972529	123305471	13.8	1451564	103965772	680179
SRR7882966	18083397	152608593	11.8	1598815	132028654	640162
