gene_id	product	subfamily	contrast	log2FC	padj	direction
LOC110875755	aquaporin NIP1-1	NIP	Salt_NaCl	1.733	0.000359	up
LOC110875755	aquaporin NIP1-1	NIP	Drought_14d	2.127	0.0015	up
LOC110875737	probable aquaporin TIP1-1	TIP	Cold	1.798	0.000227	up
LOC110875737	probable aquaporin TIP1-1	TIP	Drought_7d	-2.518	0.00198	down
LOC110875737	probable aquaporin TIP1-1	TIP	Drought_14d	-3.924	3.08e-07	down
LOC110875737	probable aquaporin TIP1-1	TIP	Drought_21d	-2.968	0.000449	down
LOC110875737	probable aquaporin TIP1-1	TIP	PEG_72h	-1.499	0.00463	down
LOC110875737	probable aquaporin TIP1-1	TIP	Sclerotinia	-6.078	7.16e-30	down
LOC110875557	aquaporin PIP2-2	PIP	Cold	-1.991	1.49e-10	down
LOC110875557	aquaporin PIP2-2	PIP	Salt_NaCl	-1.761	6.74e-08	down
LOC110875557	aquaporin PIP2-2	PIP	Drought_7d	-1.512	0.000108	down
LOC110875557	aquaporin PIP2-2	PIP	Sclerotinia	1.220	3.85e-06	up
LOC110878958	aquaporin SIP1-1	SIP	Salt_NaCl	1.208	1.16e-05	up
LOC110878958	aquaporin SIP1-1	SIP	Drought_14d	1.740	0.000209	up
LOC110937325	aquaporin PIP1-3	PIP	Cold	2.249	2.91e-10	up
LOC110937325	aquaporin PIP1-3	PIP	Drought_21d	-2.994	0.000309	down
LOC110937325	aquaporin PIP1-3	PIP	Sclerotinia	3.726	1.72e-33	up
LOC110937328	aquaporin PIP1-3	PIP	Heat	1.819	0.0396	up
LOC110937328	aquaporin PIP1-3	PIP	Drought_7d	-2.405	0.00781	down
LOC110937328	aquaporin PIP1-3	PIP	Drought_14d	-1.947	0.0248	down
LOC110937328	aquaporin PIP1-3	PIP	PEG_72h	-2.381	1.18e-07	down
LOC110937328	aquaporin PIP1-3	PIP	Sclerotinia	4.847	1.1e-09	up
LOC110937328	aquaporin PIP1-3	PIP	Orobanche_D	-1.304	0.00444	down
LOC110937328	aquaporin PIP1-3	PIP	Orobanche_E	-1.752	4.79e-05	down
LOC110927047	aquaporin TIP1-1	TIP	Drought_21d	-1.152	0.0156	down
LOC110930503	aquaporin PIP1-3	PIP	Cold	1.960	4.86e-13	up
LOC110930503	aquaporin PIP1-3	PIP	Drought_21d	-1.308	0.000943	down
LOC110930503	aquaporin PIP1-3	PIP	Orobanche_E	-1.073	1.21e-06	down
LOC110930648	probable aquaporin TIP-type	TIP	Cold	1.842	0.00481	up
LOC110930648	probable aquaporin TIP-type	TIP	Orobanche_E	-1.581	0.00134	down
LOC110938010	probable aquaporin SIP2-1	SIP	Drought_7d	1.437	0.0217	up
LOC110938010	probable aquaporin SIP2-1	SIP	Sclerotinia	3.508	0.022	up
LOC110939970	aquaporin TIP1-3	TIP	Cold	2.025	1.33e-08	up
LOC110939970	aquaporin TIP1-3	TIP	Salt_NaCl	-1.426	0.00247	down
LOC110939970	aquaporin TIP1-3	TIP	Drought_7d	-1.960	0.0239	down
LOC110939970	aquaporin TIP1-3	TIP	Drought_14d	-2.377	0.00309	down
LOC110939970	aquaporin TIP1-3	TIP	Sclerotinia	8.194	6.65e-20	up
LOC110939970	aquaporin TIP1-3	TIP	Orobanche_E	-21.872	1.58e-08	down
LOC110941540	aquaporin NIP6-1	NIP	Cold	3.057	4.16e-09	up
LOC110941540	aquaporin NIP6-1	NIP	Salt_NaCl	-1.093	0.00457	down
LOC110941540	aquaporin NIP6-1	NIP	Drought_14d	-2.352	5.53e-05	down
LOC110864409	aquaporin PIP1-1	PIP	Cold	1.837	0.000287	up
LOC110864409	aquaporin PIP1-1	PIP	Orobanche_E	-1.012	3.75e-06	down
LOC110872387	probable aquaporin NIP5-1	NIP	Drought_7d	-1.282	0.0327	down
LOC110889695	probable aquaporin PIP2-5	PIP	Salt_NaCl	-1.155	0.00188	down
LOC110889695	probable aquaporin PIP2-5	PIP	Drought_14d	-3.145	2.38e-06	down
LOC110889695	probable aquaporin PIP2-5	PIP	PEG_72h	-1.243	4.23e-05	down
LOC110889695	probable aquaporin PIP2-5	PIP	Orobanche_C	-1.437	0.00653	down
LOC110889695	probable aquaporin PIP2-5	PIP	Orobanche_E	-1.511	0.00267	down
LOC110866810	aquaporin PIP2-4	PIP	Heat	2.158	0.00423	up
LOC110866810	aquaporin PIP2-4	PIP	Drought_14d	1.793	0.0495	up
LOC110866810	aquaporin PIP2-4	PIP	Sclerotinia	4.616	0.00145	up
LOC110868334	aquaporin PIP2-1	PIP	Cold	2.670	0.000218	up
LOC110868334	aquaporin PIP2-1	PIP	Salt_NaCl	-2.774	8.99e-09	down
LOC110868334	aquaporin PIP2-1	PIP	Drought_7d	-1.431	0.00239	down
LOC110868334	aquaporin PIP2-1	PIP	Drought_21d	-2.292	1.46e-06	down
LOC110868334	aquaporin PIP2-1	PIP	Sclerotinia	2.125	0.000252	up
LOC110868334	aquaporin PIP2-1	PIP	Orobanche_B	-3.918	3.07e-10	down
LOC110868335	aquaporin PIP2-4	PIP	Cold	2.388	2.02e-05	up
LOC110868335	aquaporin PIP2-4	PIP	Salt_NaCl	-3.666	3.56e-05	down
LOC110868335	aquaporin PIP2-4	PIP	Drought_7d	-1.891	0.0145	down
LOC110868335	aquaporin PIP2-4	PIP	Drought_14d	-2.806	9.2e-05	down
LOC110868335	aquaporin PIP2-4	PIP	Drought_21d	-2.601	0.000956	down
LOC110868335	aquaporin PIP2-4	PIP	Orobanche_B	-4.064	8.79e-07	down
LOC110868335	aquaporin PIP2-4	PIP	Orobanche_E	-2.037	0.0109	down
LOC110868323	probable aquaporin PIP2-4	PIP	Cold	-2.779	0.00661	down
LOC110868323	probable aquaporin PIP2-4	PIP	Sclerotinia	-4.176	0.0104	down
LOC110868323	probable aquaporin PIP2-4	PIP	Orobanche_C	2.077	0.0406	up
LOC110868317	aquaporin PIP2-4	PIP	Cold	3.705	0.000365	up
LOC110868317	aquaporin PIP2-4	PIP	Salt_NaCl	-3.155	0.0164	down
LOC110868317	aquaporin PIP2-4	PIP	Drought_14d	-1.004	0.0474	down
LOC110868317	aquaporin PIP2-4	PIP	Drought_21d	-1.958	0.000202	down
LOC110868358	aquaporin PIP2-4	PIP	Cold	2.337	1.94e-07	up
LOC110868358	aquaporin PIP2-4	PIP	Salt_NaCl	-3.332	7.8e-26	down
LOC110868358	aquaporin PIP2-4	PIP	Drought_7d	-1.462	0.00798	down
LOC110868358	aquaporin PIP2-4	PIP	Drought_14d	-3.362	3.23e-11	down
LOC110868358	aquaporin PIP2-4	PIP	Drought_21d	-2.815	2.37e-07	down
LOC110908794	aquaporin PIP2-2	PIP	Cold	2.116	0.00236	up
LOC110908794	aquaporin PIP2-2	PIP	Salt_NaCl	-1.666	9.28e-07	down
LOC110908794	aquaporin PIP2-2	PIP	Drought_14d	-3.047	2.2e-13	down
LOC110908794	aquaporin PIP2-2	PIP	Drought_21d	-1.439	0.00228	down
LOC110908794	aquaporin PIP2-2	PIP	PEG_72h	-1.051	0.000408	down
LOC110908794	aquaporin PIP2-2	PIP	Orobanche_B	-1.093	0.0321	down
LOC110908794	aquaporin PIP2-2	PIP	Orobanche_E	-1.267	0.00708	down
LOC110908807	aquaporin PIP2-2-like	PIP	Drought_7d	-5.157	0.000914	down
LOC110908807	aquaporin PIP2-2-like	PIP	Drought_14d	-3.535	0.0121	down
LOC110908807	aquaporin PIP2-2-like	PIP	Drought_21d	-5.273	0.00134	down
LOC110908807	aquaporin PIP2-2-like	PIP	PEG_72h	-1.172	8.16e-06	down
LOC110868941	probable aquaporin PIP1-4	PIP	Cold	1.487	2.11e-05	up
LOC110868941	probable aquaporin PIP1-4	PIP	Salt_NaCl	-2.171	1.09e-11	down
LOC110868941	probable aquaporin PIP1-4	PIP	Drought_7d	-1.442	0.00134	down
