file	project	contrast	label
PRJNA1041959_fixed/DEG_drought_PEG_72h_vs_control.tsv	PRJNA1041959	drought_PEG_72h_vs_control	PEG_72h
PRJNA492303_fixed/DEG_flooding_vs_control.tsv	PRJNA492303	flooding_vs_control	Flooding
PRJNA797473_fixed/DEG_drought_14d_vs_control.tsv	PRJNA797473	drought_14d_vs_control	Drought_14d
PRJNA797473_fixed/DEG_drought_21d_vs_control.tsv	PRJNA797473	drought_21d_vs_control	Drought_21d
PRJNA797473_fixed/DEG_drought_7d_vs_control.tsv	PRJNA797473	drought_7d_vs_control	Drought_7d
PRJNA850121_fixed/DEG_parasitized_A_vs_control.tsv	PRJNA850121	parasitized_A_vs_control	Orobanche_A
PRJNA850121_fixed/DEG_parasitized_B_vs_control.tsv	PRJNA850121	parasitized_B_vs_control	Orobanche_B
PRJNA850121_fixed/DEG_parasitized_C_vs_control.tsv	PRJNA850121	parasitized_C_vs_control	Orobanche_C
PRJNA850121_fixed/DEG_parasitized_D_vs_control.tsv	PRJNA850121	parasitized_D_vs_control	Orobanche_D
PRJNA850121_fixed/DEG_parasitized_E_vs_control.tsv	PRJNA850121	parasitized_E_vs_control	Orobanche_E
PRJNA869183_fixed/DEG_cold_stress_vs_cold_0h.tsv	PRJNA869183	cold_stress_vs_cold_0h	Cold
PRJNA869183_fixed/DEG_drought_stress_vs_drought_control.tsv	PRJNA869183	drought_stress_vs_drought_control	Drought_869
PRJNA869183_fixed/DEG_heat_stress_vs_heat_0h.tsv	PRJNA869183	heat_stress_vs_heat_0h	Heat
PRJNA869183_fixed/DEG_rehydrated_vs_severe.tsv	PRJNA869183	rehydrated_vs_severe	Rehydration
PRJNA869183_fixed/DEG_salt_NaCl_vs_control.tsv	PRJNA869183	salt_NaCl_vs_control	Salt_NaCl
PRJNA908908/DEG_sclerotinia_vs_control.tsv	PRJNA908908	sclerotinia_vs_control	Sclerotinia
