SRR17624338	SRR17624339	SRR17624340	SRR17624341	SRR17624342	SRR17624343	SRR17624344	SRR17624345	SRR17624346	SRR17624347	SRR17624348	SRR17624349	SRR17624350	SRR17624351	SRR17624352	SRR17624353	SRR17624354	SRR17624355	SRR17624356	SRR17624357	SRR17624358	SRR17624359	SRR17624360	SRR17624361	SRR19745122	SRR19745123	SRR19745124	SRR19745125	SRR19745126	SRR19745127	SRR19745128	SRR19745129	SRR19745130	SRR19745131	SRR19745132	SRR19745133	SRR19745134	SRR19745135	SRR19745136	SRR19745137	SRR19745138	SRR19745139	SRR19745140	SRR19745141	SRR19745142	SRR19745143	SRR19745144	SRR19745145	SRR19745146	SRR19745147	SRR19745148	SRR19745149	SRR19745150	SRR19745151	SRR19745152	SRR19745153	SRR19745154	SRR19745155	SRR19745156	SRR19745157	SRR22540857	SRR22540858	SRR22540859	SRR22540860	SRR22540861	SRR22540862	SRR22540863	SRR22540864	SRR22540865	SRR22540866	SRR22540867	SRR22540868	SRR26867805	SRR26867806	SRR26867807	SRR26867808	SRR26867809	SRR26867810	SRR26867811	SRR26867812	SRR26867813	SRR26867814	SRR26867815	SRR26867816	SRR26867817	SRR26867818	SRR26867819	SRR26867820	SRR26867821	SRR26867822	SRR26867823	SRR26867824	SRR26867825	SRR26867826	SRR26867827	SRR26867828	SRR7882951	SRR7882952	SRR7882953	SRR7882954	SRR7882955	SRR7882956	SRR7882957	SRR7882958	SRR7882959	SRR7882960	SRR7882961	SRR7882962	SRR7882963	SRR7882964	SRR7882965	SRR7882966	SRR7882967	SRR7882968	SRR7882969	SRR7882970	SRR7882971	SRR7882972	SRR7882973	SRR7882974	SRR7882975	SRR7882976	SRR7882977	SRR7882978	SRR7882979	SRR7882980	SRR7882981	SRR7882982	SRR7882983	SRR7882984	SRR7882985	SRR7882986	SRR7882987	SRR7882988	SRR7882989	SRR7882990	SRR7882991	SRR7882992	SRR7882993	SRR7882994	SRR7882995	SRR7882996
LOC110875755	220.55375967268	236.000162309185	67.6678412577458	310.737373492449	51.9366747561334	21.7521333924285	44.3818411629128	93.6963956905119	72.9730114363654	44.981552684948	47.4381499288138	50.7666600983369	55.9528151537246	77.8091084397452	30.2031681966531	46.0988196212991	69.8950317742451	127.229334080506	142.677291278367	633.857171370394	621.807450110999	245.047332805252	6.37643050153804	17.0723046744718	345.015873726776	380.115938001875	263.41225013073	388.5897045818	290.215431360345	240.110890784942	160.500316496922	173.359005868962	186.679506008523	406.727025461213	431.741740685658	385.328463322199	324.178460103555	545.145949073489	471.123130912119	197.901011774683	362.786363134235	657.832637241204	418.14082900912	603.293961882934	432.834730585603	376.497913849827	321.552116038508	222.176380319401	298.370667061929	486.607030630303	289.418969237279	288.691817153396	421.556284686111	558.887374116435	400.080540209049	495.949529466275	368.579478036951	351.315540483015	191.281839873196	305.782922439701	206.445787601561	185.08946804476	182.704986031002	243.092560229612	491.270321134495	302.700118307296	35.7279907469313	18.5137727677168	35.2285768949753	58.3639138279931	72.5868178548495	61.0040597643563	116.046569609345	59.2457256962808	69.8429447679529	89.4328972996974	86.2361130791436	84.3721461882279	104.429952582663	273.638622279952	285.292873178811	273.740062492082	142.871214621164	76.3680157690494	200.674177986251	261.214296354279	324.442665570965	253.794539976745	288.750326553825	229.066510856015	155.643043994905	233.584925820129	179.277870423511	154.133762433981	76.0707682036401	42.2742188646299	39.4534881476468	40.7589818252699	44.4811740186918	73.4058666779267	78.0090718559605	59.9295928387518	66.8835375883992	56.6809273383078	49.8981896205747	50.1548008275718	66.3928209451584	64.1098707433535	89.1838126891985	69.7469035855225	69.1664793606987	43.674495922593	72.9791269183857	61.0508311966343	38.620633165739	51.2507399191158	52.949353845537	169.05676889573	79.1284078643547	119.228899697157	167.702640588923	202.90739219308	131.81193426379	118.325423109821	109.775350307789	65.1063335558737	63.6162601766213	155.186994863999	127.890440300631	147.632263114265	146.060085186296	98.5722774222881	100.559073985249	136.548250944301	102.476829265407	158.635013964549	96.2440852654932	44.7831304517639	57.1569936576096	70.4574725776949	44.2938912521249	88.3959345575608
LOC110875737	111.180788687457	14.3652272709938	438.901137046768	106.187231948858	356.285588827075	690.026009282037	103.946943776296	1542.7029360622	993.034794804147	1907.08553515743	1993.37042251893	214.530079770392	4094.23964730619	958.915068799677	684.257982937969	129.332799493089	329.089107937071	18.0528109168285	257.45934291577	50.3231200243387	37.4704815213469	48.4395890428986	337.950816581516	302.179792738151	89.7041271689618	1.91977746465594	136.89140557975	101.033323191268	15.9568622053798	96.4462155454162	0	3.09569653337432	0	29.58014730627	12.5282201538249	10.9832341089463	8.70277745244444	2.80521071564402	2.44105249177264	3.45678623187219	2.97365871421504	0	0	0	4.28549238203568	3.06927647160185	2.80423357010327	12.1187116537855	3.77684388685987	1.98615114542981	19.7095355394563	111.30286926396	3.97694608194444	1.89132783118929	9.41365976962467	6.48905926404472	42.0661360803042	77.8483299933955	6.20373534723878	6.09534064663856	0.893704708231864	0	0	6.60577609319598	4.97488932794425	3.27834063148696	2.67959930601985	1.60989328414929	4.63533906512833	211.569187626475	273.989678663376	323.418348591984	181.322765014602	1526.22141195854	2025.44539827063	1639.96228542337	130.991564170851	53.5042878266811	221.699653433687	96.4162930852181	174.554192142299	173.923244124803	158.562272874356	1057.88480860404	252.957105584201	340.923070609445	494.388823727184	719.529783513018	546.389506812289	343.993351354222	338.037236176435	268.665445815094	80.67504169058	123.085234749438	594.023204649013	552.383126497831	2801.19765848292	2127.85860999571	2271.83477673244	2228.22324335255	2144.06752040473	2302.67935561204	1763.49594108079	1573.84041576035	1929.93320500223	1671.33498051879	1962.73776919125	642.742550273108	2726.74763477401	3476.44722559089	1958.79469549499	1942.36573971532	2009.35862781955	2402.8980996624	3185.42982351015	2514.48942728162	2364.11709602235	785.894013026434	313.493463218321	285.367530422703	484.370196561304	256.629539840391	274.841905486199	304.090206541301	295.697686568517	1255.86690780146	1154.4480155581	705.395431199993	283.66011153185	357.301487856332	301.312763146554	77.1183111597901	99.5398941813442	129.814364596363	286.935121943139	112.102076534948	39.4922538323453	1209.14452219762	478.425206171102	1774.24726400195	265.763347512749	259.020645447736
LOC110875557	1835.83887661972	3879.63745083055	774.420849949758	1010.45534401861	632.588698529704	977.637550804147	328.192035967855	2111.45649586776	1117.91644324164	1581.63077161339	846.141694648638	348.816083901476	1702.25679948447	1636.18308310619	1194.58737660556	2224.26804672768	1444.4973233344	1092.62488929948	957.126828992376	1336.2394423484	3167.774762129	1730.52806345414	400.121013971512	525.826983973731	18138.9631212755	15947.5913988969	11205.3911915848	11521.6847408504	16159.3148946105	14324.2723046515	6845.8734996487	14272.1929177001	10399.8214185307	14655.1142310502	16562.3070433565	15657.515491812	12859.4415331682	23962.1099330312	29350.4014769103	23534.6648631438	11107.6065171646	16252.7455352286	12867.2480782694	16787.996897423	21544.2415775889	19302.679729904	16137.4294514209	14708.0763771444	15816.4779871974	15242.7169656011	11928.4183772741	20043.7917066181	16158.3319309403	10748.4160646487	19568.1745631188	9645.52309176933	19131.0777445212	20278.4919077668	17118.1737348142	14939.6799249111	1794.55905412958	1608.3016883501	1729.9277361567	461.08317130508	730.065008875819	322.370162096217	1397.85763797369	1128.53519218865	1374.84156671706	647.474669029298	896.600552939479	889.884617832435	13865.1474314499	4697.15568726818	5594.91875408994	4238.90383104831	6667.47061629632	7835.29138077263	3000.22117870684	14816.8886211722	17423.511458677	18348.9022551668	19259.5352380356	5171.7421826548	17595.5117364573	21356.1894203178	15665.1733693181	15962.3408038006	17085.8526560839	16005.5304647263	11470.5680860829	18023.6866754616	8876.24656230184	10290.3691754485	6562.22244533166	8089.87635006134	4235.72648753136	3964.41037929904	3607.91744818278	7650.78565278649	7711.07855739828	7415.13462162556	7218.96315704122	3714.49010490377	3827.67402960408	2237.78920163019	4145.40175776333	3212.06890852597	3478.16869487874	12770.2221283618	8264.01095401628	7886.69450054824	8959.40414801382	3778.88991047885	4240.54552159814	4279.43678324617	3181.25442158456	20963.6678068954	10830.9273390515	16615.1661206387	21438.7682938343	21582.7761947394	13480.4746266679	14496.0905011407	15389.8083538895	3418.08251168337	2845.89210966591	13863.3715411839	15849.5640477765	12383.8339857019	12955.7678825038	11845.778479992	10726.5277094941	15622.9904320136	14116.8237114927	30890.9962693167	16312.05604404	8460.11747012669	6096.74599014502	9263.55633777193	7374.93289347879	10297.0985162517
LOC110878958	1993.11901671418	3762.66345733817	499.050329275875	3177.79263611163	1685.86446258409	824.164165202013	1806.80811260595	722.03757556241	656.004803840316	656.862967884608	714.476625458461	941.639663114314	669.281750492629	1207.68503521971	726.959013836686	801.607252303702	899.898534093406	1257.67916053905	1340.34339979773	2951.93280653408	3681.22163054313	2255.76517601733	395.338691095358	780.204323623361	3639.42458799788	3625.49974200274	3868.2192637308	4460.03833433761	3285.11900653256	3191.76694570612	3000.28591638246	3656.01760591507	2685.4733406254	3991.47112713981	4505.34070916395	3710.50258980568	4535.23489990511	4465.89545930529	4599.75657866358	3302.09504799591	5017.55347045218	5629.8929332428	4551.5194292817	5951.86870248556	5792.91432741673	5239.25493702436	3808.14918820024	3422.5261495566	4015.72926270375	4390.38710697259	3629.66657118724	3992.99043484456	3544.45319553298	3762.79672015109	4865.92073491899	3296.44210613472	4396.91279506037	4236.74565156364	3206.29721863124	3585.07619033125	1698.03894564054	1752.95899104528	1803.0097305691	1191.68200721256	3063.28810368167	1658.8403595324	563.609054032842	286.561004578574	661.926418500325	412.195141410201	729.957576737501	859.866747154736	866.722816769797	642.687328748785	754.553242582348	794.121027829843	638.583875332899	958.961466432053	695.914356145125	1560.10744715986	1616.03397241419	1836.78069556151	1564.97659946304	464.467768037989	1965.22298441708	2175.18522515603	1283.86597661653	966.200266227259	1494.30724549909	1367.3145338725	1319.72331054013	1388.67521833725	829.658144793249	759.580052282569	362.454836734991	421.333048017478	288.799533240774	286.511666359985	304.778414572518	279.415879612753	255.302416983143	292.733011173903	227.404027800557	364.64729920978	450.693325605191	272.901122150023	429.478560488993	263.014854331707	396.5833372775	481.689552887515	304.332509187074	333.305363619789	377.058822411659	306.81956191129	301.240938692764	304.30126826975	260.453578375344	1357.48186176497	819.371643267154	1111.82577777704	1264.17186052879	1455.9088502692	1538.87428421646	1367.4863017951	1307.25434767938	327.244992346628	359.244763350332	1343.67141834035	1140.83583077864	1258.40798745005	1154.86202552894	944.554352475925	1113.62379906637	1494.92276924227	1252.13875758669	1503.33114900405	1174.52888249531	315.429005790685	425.502063895538	574.868923986192	475.152651613703	271.354961897628
LOC110937325	1665.90401260963	16.4174025954215	16.9169603144365	1.11776033630377	1261.02246307892	3752.24301019391	1806.80811260595	444.646930426026	381.415637095229	664.800888946657	95.8444253663789	44.2161233114548	191.530790333903	54.795146788553	238.500879897709	157.504300372772	174.737579435613	3.43863065082447	22.4076515148717	2.14140936273782	1563.63306672864	2040.16151498326	41.4467982599972	75.1181405676759	8045.77017530842	4728.41189544757	4629.41844324244	3015.45610755476	4986.51943918118	3671.988727276	1616.77318817899	4208.08348770016	2911.78313282568	5439.97396554372	5876.69896138648	5426.63291932854	4181.68456589956	8062.17559676092	15457.5580620683	8223.69444562393	3987.67633576237	6623.11074257218	4468.64467037899	3692.41173529398	6525.73352474483	5123.64552326069	6349.71954723717	4126.42131811397	6615.14206783506	5966.39804087115	2217.84142017671	6716.43251714708	5032.82526670069	4102.29006584957	6240.31506128419	2150.65964179768	8082.70757542988	7926.55688214804	9391.4213598283	9733.24312257401	94.7326990725776	79.9658381358431	70.1971788434902	6.60577609319598	4.97488932794425	5.46390105247826	436.774686881235	255.168085537662	479.294059334269	48.3326161388068	20.446990945028	23.2396418149929	132.970027677375	77.277033516888	84.8092900753714	105.595469100848	298.005808488686	330.286084468551	307.297975222755	1386.55811960647	1805.60357893432	1910.1309333011	2517.17608188039	120.185729734897	3047.78713232758	3997.92321956935	1219.74992603941	911.879329600657	985.834448234272	1832.53208684812	1047.34798354905	2127.07738310931	119.518580282341	150.80713446778	173.396603993591	284.646407021841	194.111161686422	143.855229971541	118.616464049845	125.500352707423	186.748990200633	154.433950776783	78.0307938531324	100.136304964344	114.282950421316	87.0333308478452	128.636090581244	39.452228149756	100.568980266543	244.114162549329	178.449516750603	195.3859028116	218.937380755157	144.017345386932	182.289388542288	153.752219757347	147.399552597035	2358.62473481664	922.057363396469	1329.76056984643	2287.25165674725	1667.31902842085	1015.63298893224	903.38088576332	2025.81905268705	89.0928774975113	41.1634624672256	986.6985789149	2306.01067268716	985.131245089601	1078.93801854399	1458.28986892385	1191.42119076442	2193.00232064518	1580.7050914189	6508.79462296546	1821.03170449148	1236.40381899435	734.573214784834	387.516099177322	386.564869109454	363.86233527182
LOC110937328	107.565153282987	11.2869642843523	21.6161159573355	0	14.5422689317173	47.1296223502617	22.1909205814564	151.229270237317	22.5689726091852	72.1027829802842	97.7806763838815	6.55053678688219	190.45477465787	17.534446972337	110.39778720156	39.6962057850076	11.6491719623742	2.57897298811836	42.5288079772054	8.56563745095127	34.4323343709674	21.8453048624837	22.3175067553831	11.9506132721303	209.966803153724	186.218414071626	123.40967624235	100.061848929813	156.576710390289	94.43691938822	27.8200548594664	56.7544364451959	47.9735043373858	132.186283274894	136.846712449472	108.917071580384	122.926731515778	183.27376675541	481.701025043134	187.530653079066	138.770739996702	233.873933058522	161.040724685945	133.714368515066	245.344438871543	142.209809850886	249.576787739191	117.147545986593	351.246481477968	324.735712277774	33.1950072243474	224.924548304252	62.636900790625	98.3490472218431	69.6610822952226	99.189905893255	133.209430920963	181.646103317923	254.35314923679	294.608131254197	37.5355977457383	55.7065389260929	60.5811269471217	3.96346565591759	13.6809456518467	3.27834063148696	91.9995761733481	57.9561582293744	91.7797134895409	0	0	0	14.5058212011682	73.4131818410436	123.472348786202	136.843107916404	2.18319273618085	9.26035750846404	3.42393287156273	40.4030180547581	45.0462431334965	36.2970248608286	174.253331127547	71.3602770300953	126.862986083262	183.426215454659	23.9469586492855	42.7443435750308	48.6111660865026	55.1019098279075	122.40676897516	72.7279073066337	0.995988169019507	5.54437994366838	16.7803165155088	4.22742188646299	355.081393328821	400.397056754122	257.002338774664	241.52898068221	302.580642350392	260.463230414575	140.455428935638	215.387523885569	225.346662802595	150.464402482715	263.496508126097	92.0551990160974	210.625600180873	503.485460257991	340.299078454637	319.51341753897	360.030359464036	250.464948499012	264.165130853655	345.942494454031	246.142942200875	82.6429929731916	25.9734468562386	33.8792501871702	71.2033557807719	49.8572449388711	27.6444482194574	20.8448931903311	110.548416155027	173.045781293243	140.329985683724	30.7808915432724	64.1664838878599	24.3436178539479	28.2587111199593	29.5716832266864	39.4082857509759	55.7416147690434	38.4288109745276	149.645696506558	41.8325355409287	455.619675030989	256.148008613732	48.0391858484283	26.1736630126193	224.073415506375
LOC110927047	10968.9339083114	2703.74098993348	6697.23662225968	4000.4642436312	5908.31612025773	8256.14307428174	6665.45177675641	6638.47182449355	5189.35910193864	2983.99682590883	10296.0147855701	7379.17969042278	10539.5735467449	10447.2426867055	2061.10585728195	2237.07327440027	2906.46840461236	3939.81106818214	4459.12265145946	5094.41287395327	15181.6213104462	9173.12845051597	3581.95983423899	7032.08229541493	858.596645760063	1294.88989991043	580.751417611059	670.317240403604	1483.98818510032	1403.49336580153	338.120666753515	263.134205336817	1047.07387727686	623.031852638313	393.193370981581	320.3443281776	500.409703515556	870.550392088195	1121.25677788757	762.221364127817	457.943441989117	670.770344176356	485.005691305623	1038.12887681775	441.405715349675	503.361341342703	699.188903479082	935.160582617116	814.854068590016	959.311003242598	435.68446981956	832.452709703367	2498.5163759816	512.549842252298	862.29123489762	1396.07475023591	1000.57309391009	595.839141103296	1111.50258304695	569.914350460706	2976.03667841211	3130.34809062109	3041.55721482136	636.796815384093	1570.8213052984	629.441401245496	1838.20512392962	978.010170120694	2293.5657694255	1259.38382806966	2182.71628338174	2129.33218129872	2602.58608717625	2653.17815074649	3685.4625319518	2844.61263700242	370.051168782654	341.604299201118	764.393013576379	4469.12474710244	5774.36529167509	5526.22203506115	3110.13291481679	3724.50568709708	2335.04781051435	2259.69573280007	6634.85251092623	7988.73971274169	7595.00858935516	5392.90263187134	5691.50943691786	3789.55178189507	1572.6653188818	2628.03609329881	1493.44816988029	2129.21149014853	2596.03952011516	2638.54467639468	2461.29162903428	2256.63841755046	2505.74594446419	2434.0634629893	1718.90691602186	3021.0934271318	3084.03004235552	2385.30332171128	2736.62908833325	1711.24039599567	3142.30625134708	2040.09692987653	1766.51188287224	2025.11741620023	2055.57874153453	1988.06552871091	2409.92750954211	2389.56574872877	2100.80139041212	5137.37753657304	4540.21891383528	4317.64982673802	4462.3892576818	4135.83238830124	3088.16531703736	4460.80714273086	3733.13497631207	2688.20624603068	2529.68187525859	5636.32325147922	4664.68211490987	3792.89271724414	3895.61653776596	1613.68616509546	1830.10720121127	1775.87547187013	2080.92011427067	944.935899848832	828.459724838532	3130.92494636679	3454.82272774885	3638.16767492097	3072.38536594284	1920.04192736655
LOC110930503	7158.0541919998	1592.48805175589	2320.44305646353	2549.61132710891	5605.00593968191	8189.67822224932	5832.70828335754	7965.01553190132	5919.84151538927	8021.26923320116	8430.43693020634	7727.99577432426	8231.51992165371	5921.16356197104	4883.53985083126	3917.11914504317	5042.14993104763	1711.57840644788	2518.34565086527	2015.06621033629	13020.4859708096	7832.01669113219	5424.74824918348	6144.3224523424	8969.42695725696	7227.00226569727	6834.19971795871	5051.6661595634	19220.0405263799	16959.4642148143	3590.92708109113	5310.15145358142	4179.95229096179	6585.28029405837	6841.37191323099	7408.19140648426	18226.8795269633	6586.63476033217	7921.21533580221	8035.2995959869	3791.41486062418	5550.27627518032	5496.1033290478	8754.60609608481	12743.9829710786	10037.5571542953	7913.54713483143	9054.69739065342	8955.84106671646	8436.17699021312	4349.58329036528	7340.19234698052	3868.57430121146	4952.44192596916	7210.8633835325	3602.35490001111	8562.46184167906	9054.35961153953	15481.4215590344	10910.659757483	2394.23491335316	2445.69675736814	2391.51210662685	943.304826108386	1202.67949503052	1002.07945302451	5874.57487856418	5245.03231975839	5680.14449040825	6216.66875883483	6627.89211483084	6697.85843476274	1888.17439301872	1921.62223345328	1964.33282159867	1518.20424452137	1806.59198918965	2888.20261402873	5887.45257265211	3272.6444624354	3644.05337682015	3576.01313680955	4438.91779531073	1368.3646104192	3649.80966628633	4550.12255928887	3270.69106197015	3724.99144113237	3115.97574614481	5125.26478413579	5328.34233426308	3433.61284731201	1245.9811994434	1594.56367179903	1278.66011848177	1431.68687888213	3939.03625666105	2959.82135666445	3441.52490833508	10508.8785908593	11186.0281218911	10510.7285901811	10674.6125991085	4757.41916792863	5620.78961790473	3733.58237925248	6103.9899756455	4083.30561349975	6747.60931750617	15756.2614381169	10769.2208364608	8118.85892624203	10900.6489240429	3448.58925964578	4799.77228983804	4172.13054654052	3312.91227438968	17287.4686631944	7300.95470119431	8099.42112888089	15632.8841389205	7972.1348166984	6554.93938142815	7771.77319197742	8421.00627396301	4576.28991915102	3848.78374068559	16451.9590174966	11403.0479780853	11095.9780734285	9627.70883193025	3919.98753831399	4532.29258796353	8501.53151427189	9343.96538845638	8598.54654025846	4118.31073667968	2659.72853030911	1958.15626419588	3686.2068607694	2063.69266061036	7978.24702367194
LOC110930648	144.625416178806	205.217532442769	80.8254770578631	401.275960733054	105.950816502512	215.104430214015	433.306922932649	327.11548670898	333.268495528968	252.690487141914	309.800162800417	361.917157475241	381.985564991774	659.733567334178	352.023132774785	591.601518473339	199.977452020757	55.0180904131916	127.586423931616	526.786703233503	239.000909163185	256.444883168286	522.867301126119	244.133956844947	29470.270174102	25340.102644726	23063.0906718792	13872.6524535702	30398.8198051363	26476.4954633739	6499.19281601535	13067.9669662175	4311.3579767555	18454.3144006992	21438.6758109222	22560.4781292847	34481.4921137664	7985.49983719999	10765.8551728813	12836.7756720574	7467.84825096538	10606.9292703733	18549.8196148483	16465.8189701347	45766.91589395	20514.0208440296	19549.2469617133	26223.8821261541	38645.6108613219	22578.5662212461	12116.1776368868	28593.243351956	2155.50477641389	11804.722658368	26293.2931025387	7240.86313020762	32966.830216267	37530.8795009185	44130.271392583	43907.7863480609	421.82862228544	415.103564255725	409.643810785299	445.229308681409	776.082735159303	441.483205040244	236.69793869842	156.964595204556	244.745902638776	214.304996087162	315.906010100683	281.780657006789	570.562300579281	9.0156539103036	58.618185787389	708.998149677119	8.7327709447234	1.02892861205156	2.56794965367205	1381.04861714446	4426.73185126465	2342.67047955931	5755.31499823637	10.0154774779081	11256.2067652058	12217.5304346292	3123.91937992614	1793.48141583567	765.13975420155	6311.5301857166	2283.57528611275	6447.97069956225	369.511610706237	579.942142107713	7.83081437390413	7.04570314410498	303.002788973927	359.638074928852	291.598807455868	324.406572092773	328.583666302379	497.87661742963	267.534150353597	205.940702662518	189.935044362187	123.911860868119	145.234295817534	267.946382850426	239.088519124234	132.955034959902	130.032981198114	183.892614410918	121.631878197309	291.165502630102	291.971986732987	459.65507364957	224.67698793917	1035.39415150824	1245.81939862772	1179.58427815138	1161.73896273891	1500.7417216871	572.520529066733	229.293825093642	948.551794560967	217.592220041999	232.01224299709	213.32867889018	886.825060077733	407.166640557161	566.876554394365	1955.21011451738	684.549101622555	1077.04771087299	893.469855157766	4395.77623695766	3111.98960198881	486.77315708439	527.114497064622	634.117253199254	652.328216622203	439.923953379488
LOC110938010	1.80781770223508	8.20870129771077	18.7966225715961	7.82432235412641	0	0	0	0	0	0.66149342183747	19.362510175026	76.9688072458657	25.824376224796	13.1508352292527	2.08297711701056	1.28052276725831	0	6.01760363894283	5.48758812609102	8.56563745095127	0	0	47.8232287615353	47.802453088521	7.88607711375489	3.83955492931187	0	1.942948522909	0.997303887836236	0	1.07000210997948	0	0	1.84875920664188	0	0	1.08784718155556	0	2.44105249177264	1.72839311593609	1.98243914281003	0	0.941758623894414	0	1.07137309550892	0	0.934744523367756	1.00989263781546	0.944210971714966	3.97230229085962	5.18671987880429	10.4346439934962	3.97694608194444	0	7.53092781569974	11.1241015955052	7.0110226800507	6.98638858915087	0	6.09534064663856	5.36222824939119	4.4924628166204	0	0	0	0	0.893199768673283	12.0741996311197	4.63533906512833	0	1.0223495472514	0.968318408958036	4.83527373372272	7.7277033516888	12.4719544228487	6.46502872046005	0	0	0	5.50950246201246	5.63078039168707	1.51237603586786	7.43260654098541	0	4.6131994939368	7.68277342218467	1.54496507414745	0	1.9444466434601	0.787170140398678	0.810640854140132	3.42248975560629	0	7.76213192113574	0	0	1.57813952590587	0	1.64745088958118	0	0	0	0	0	1.60961902001854	1.47514120081094	0	0	0	2.17959073704758	1.38332958721397	0	0	1.56540592811883	0	0	0	0.314231912445595	0	0.977286063091448	0	0.386490270843962	0	0	0.773065847237952	0	0	0.855024765090901	2.65516485053214	0.392638997644321	0	0.869755389020189	0.339726601301516	0	0	0	0.292535213572928	0	0	4.80391858484283	6.04007607983521	8.22287763326147
