gene_id	SRR17624338	SRR17624339	SRR17624340	SRR17624341	SRR17624342	SRR17624343	SRR17624344	SRR17624345	SRR17624346	SRR17624347	SRR17624348	SRR17624349	SRR17624350	SRR17624351	SRR17624352	SRR17624353	SRR17624354	SRR17624355	SRR17624356	SRR17624357	SRR17624358	SRR17624359	SRR17624360	SRR17624361	SRR19745122	SRR19745123	SRR19745124	SRR19745125	SRR19745126	SRR19745127	SRR19745128	SRR19745129	SRR19745130	SRR19745131	SRR19745132	SRR19745133	SRR19745134	SRR19745135	SRR19745136	SRR19745137	SRR19745138	SRR19745139	SRR19745140	SRR19745141	SRR19745142	SRR19745143	SRR19745144	SRR19745145	SRR19745146	SRR19745147	SRR19745148	SRR19745149	SRR19745150	SRR19745151	SRR19745152	SRR19745153	SRR19745154	SRR19745155	SRR19745156	SRR19745157	SRR21049834	SRR21049835	SRR21049836	SRR21049837	SRR21049838	SRR21049839	SRR21049840	SRR21049841	SRR21049842	SRR21049843	SRR21049844	SRR21049845	SRR21049846	SRR21049847	SRR21049848	SRR21049849	SRR21049850	SRR21049851	SRR21049852	SRR21049853	SRR21049854	SRR21049855	SRR21049856	SRR21049857	SRR21049858	SRR21049859	SRR21049860	SRR21049861	SRR21049862	SRR21049863	SRR21049864	SRR21049865	SRR21049866	SRR21049867	SRR21049868	SRR21049869	SRR21049870	SRR21049871	SRR21049872	SRR21049873	SRR21049874	SRR21049875	SRR21049876	SRR21049877	SRR21049878	SRR21049879	SRR21049880	SRR21049881	SRR21049882	SRR21049883	SRR21049884	SRR21049885	SRR21049886	SRR21049887	SRR21049888	SRR21049889	SRR21049890	SRR22540857	SRR22540858	SRR22540859	SRR22540860	SRR22540861	SRR22540862	SRR22540863	SRR22540864	SRR22540865	SRR22540866	SRR22540867	SRR22540868	SRR26867805	SRR26867806	SRR26867807	SRR26867808	SRR26867809	SRR26867810	SRR26867811	SRR26867812	SRR26867813	SRR26867814	SRR26867815	SRR26867816	SRR26867817	SRR26867818	SRR26867819	SRR26867820	SRR26867821	SRR26867822	SRR26867823	SRR26867824	SRR26867825	SRR26867826	SRR26867827	SRR26867828	SRR7882951	SRR7882950	SRR7882952	SRR7882953	SRR7882954	SRR7882955	SRR7882956	SRR7882957	SRR7882958	SRR7882959	SRR7882960	SRR7882961	SRR7882978	SRR7882979	SRR7882976	SRR7882977	SRR7882974	SRR7882975	SRR7882972	SRR7882973	SRR7882985	SRR7882984	SRR7882983	SRR7882982	SRR7882969	SRR7882968	SRR7882971	SRR7882970	SRR7882965	SRR7882964	SRR7882967	SRR7882966	SRR7882963	SRR7882962	SRR7882980	SRR7882981	SRR7882989	SRR7882988	SRR7882987	SRR7882986	SRR7882991	SRR7882990	SRR7882992	SRR7882993	SRR7882994	SRR7882995	SRR7882996	SRR7882997	SRR7882998	SRR7882999	SRR7883000	SRR7883001	SRR7882949	SRR7882948	SRR7882947	SRR7882946	SRR7882945	SRR7882944	SRR7882943	SRR7882942	SRR7883014	SRR7883015	SRR7883016	SRR7883017	SRR7883012	SRR7883013	SRR7883006	SRR7883007	SRR7883023	SRR7883022	SRR7883025	SRR7883024	SRR7883027	SRR7883026	SRR7883030	SRR7883031	SRR7883028	SRR7883029	SRR7883034	SRR7883035	SRR7883008	SRR7883009	SRR7883002	SRR7883003	SRR7883004	SRR7883005	SRR7883010	SRR7883011	SRR7883019	SRR7883018	SRR7883021	SRR7883020	SRR7883032	SRR7883033	SRR7883036	SRR7883037
LOC110875755	14.274	11.820	4.511	17.325	2.922	1.048	2.175	4.580	3.648	1.986	2.043	1.628	2.655	4.064	1.630	2.401	4.132	7.740	9.620	36.686	34.223	15.727	0.227	0.624	19.440	21.208	13.453	22.374	15.194	12.159	9.010	9.934	11.222	24.480	25.154	23.119	15.911	30.558	26.353	11.227	21.478	37.756	24.400	33.322	22.673	20.502	18.420	11.549	16.376	27.874	15.997	15.737	25.220	31.432	23.713	28.243	20.663	19.783	9.199	15.014	4.274	3.611	4.553	2.584	1.625	1.481	3.399	3.369	3.799	2.821	3.303	3.768	2.629	3.961	7.566	3.321	4.865	40.399	81.231	58.530	1.400	1.828	5.059	4.023	3.336	3.237	2.382	39.651	13.980	2.236	5.053	4.696	9.910	3.958	1.675	2.006	1.215	2.539	1.384	2.440	6.146	4.425	5.123	4.558	3.021	5.930	3.969	2.484	3.140	5.334	3.521	3.775	3.264	3.801	4.227	4.435	4.272	15.528	13.897	13.788	14.991	29.631	18.736	2.612	1.422	2.594	4.184	5.091	4.165	6.572	2.845	3.016	4.798	5.673	5.894	6.861	20.129	22.054	19.530	11.643	3.471	15.730	20.291	27.190	20.970	22.446	18.123	12.304	18.521	10.651	8.662	3.603	2.004	1.074	1.369	1.157	1.210	1.593	1.734	1.404	1.437	1.471	1.152	1.361	1.431	7.360	6.600	13.022	8.241	8.668	10.056	8.678	6.211	9.660	8.932	8.285	7.942	0.987	1.670	1.537	1.385	1.596	1.217	1.611	0.972	1.728	1.593	1.551	1.570	4.828	6.901	6.805	7.195	6.442	7.875	1.062	1.407	1.489	1.106	2.082	2.807	1.589	2.488	1.774	2.304	5.578	10.420	10.673	7.232	19.713	8.377	10.373	6.790	6.387	6.932	9.283	6.207	7.555	6.965	2.068	1.946	7.851	7.538	7.930	7.229	7.402	8.017	7.020	7.049	8.193	9.384	10.348	9.195	1.264	3.105	1.600	1.770	2.282	1.835	2.332	2.085	1.651	1.874	1.761	2.171	4.350	4.362	3.947	3.362
LOC110875737	9.036	0.903	36.743	7.434	25.168	41.731	6.397	94.686	62.342	105.723	107.776	8.641	243.987	62.895	46.375	8.459	24.430	1.379	21.798	3.657	2.590	3.904	15.101	13.860	6.347	0.135	8.779	7.305	1.049	6.133	0.000	0.223	0.000	2.236	0.917	0.827	0.536	0.197	0.171	0.246	0.221	0.000	0.000	0.000	0.282	0.210	0.202	0.791	0.260	0.143	1.368	7.619	0.299	0.134	0.701	0.464	2.961	5.505	0.375	0.376	62.262	66.153	51.181	47.088	37.795	19.453	12.270	25.679	40.474	38.605	18.662	43.719	71.398	25.330	8.624	11.505	10.462	0.378	0.910	0.659	35.830	40.676	52.269	48.688	31.060	35.003	25.737	24.695	30.257	36.565	17.820	2.285	9.407	66.227	10.364	8.851	13.613	33.877	43.369	42.405	57.616	54.076	33.867	66.264	39.582	51.451	39.284	50.915	48.768	27.035	22.025	24.107	39.920	53.873	90.107	52.023	68.968	0.084	0.000	0.000	0.512	0.377	0.255	0.246	0.155	0.429	19.047	24.132	27.729	12.896	92.031	109.837	110.485	10.821	4.694	18.291	8.906	16.944	15.582	16.226	60.372	24.898	33.255	52.028	74.656	53.335	34.175	33.558	26.750	6.018	8.686	35.330	32.875	95.781	96.142	75.837	77.619	60.730	59.841	67.732	47.593	51.278	55.961	56.970	53.121	23.752	22.323	20.682	21.579	26.051	36.473	50.656	30.898	25.024	27.147	23.075	45.331	102.226	82.524	86.163	85.312	56.773	76.154	55.685	54.256	66.334	20.051	37.566	35.775	16.976	8.238	8.458	7.069	3.319	6.988	36.023	14.790	47.092	8.335	7.662	0.466	5.196	34.669	23.299	4.456	1.791	0.891	2.769	0.820	1.020	0.779	2.089	2.711	4.952	4.825	36.413	41.560	48.867	46.215	24.728	17.984	10.059	4.057	14.064	1.145	18.264	0.363	1.337	35.797	14.944	2.469	14.851	8.567	19.274	7.029	32.101	57.374	7.484	25.413	20.500	10.661	6.657	1.796	7.646	5.321	7.457	2.386	10.961	4.931
LOC110875557	130.737	213.798	56.809	61.989	39.157	51.808	17.697	113.557	61.497	76.830	40.087	12.311	88.889	94.036	70.944	127.471	93.964	73.138	71.010	85.098	191.842	122.210	15.667	21.133	1124.565	979.067	629.684	729.964	930.889	798.142	422.846	899.890	687.904	970.557	1061.770	1033.675	694.465	1477.943	1806.515	1469.150	723.578	1026.418	826.192	1020.291	1241.785	1156.598	1017.203	841.236	955.159	960.732	725.462	1202.219	1063.674	665.156	1276.168	604.391	1180.118	1256.487	905.867	807.133	125.164	92.459	107.863	67.639	41.702	44.075	61.236	34.272	23.496	30.027	30.943	82.188	46.794	26.784	181.114	193.616	124.802	58.696	35.088	62.798	75.116	77.735	44.955	118.768	135.385	172.420	272.763	85.149	68.409	127.973	52.405	24.930	34.077	52.205	73.127	123.978	112.910	211.284	270.890	261.447	526.463	381.475	454.668	144.241	50.802	184.381	192.792	149.556	164.656	229.954	235.617	171.242	224.711	95.501	113.187	83.820	58.699	148.520	132.867	143.646	31.286	48.453	21.956	112.455	95.406	111.382	51.077	69.197	66.856	864.061	248.188	265.860	250.238	482.648	602.313	216.899	1199.325	1482.030	1440.477	1726.930	258.621	1517.589	1825.377	1444.549	1451.251	1461.423	1393.364	997.797	1572.484	580.230	636.355	341.996	421.883	126.909	115.571	123.808	108.013	182.719	188.585	191.121	170.716	106.048	97.254	66.839	98.311	992.145	1018.069	1524.131	927.420	1329.085	1414.554	1184.038	935.408	942.817	824.463	1129.794	780.653	119.247	113.721	101.597	127.226	209.881	245.123	217.565	193.038	74.143	87.805	89.590	77.278	731.857	868.745	798.668	951.422	1201.393	1687.354	220.855	165.151	215.446	202.668	266.910	274.691	162.365	235.207	110.120	88.382	788.824	1173.723	2273.087	1494.751	1534.266	1042.856	1116.441	926.670	1226.511	1328.083	1060.298	952.347	922.151	824.961	117.790	81.149	1398.201	1556.362	1556.828	1536.930	1450.577	1081.290	1168.075	1168.529	1318.814	1244.828	1181.749	1163.628	240.982	286.808	239.927	202.842	251.455	269.079	292.645	322.326	55.694	75.163	113.069	86.701	1045.258	1130.231	1092.725	962.855
LOC110878958	177.199	258.866	45.703	243.381	130.279	54.525	121.632	48.479	45.052	39.835	42.259	41.489	43.631	86.653	53.898	57.353	73.081	105.101	124.145	234.696	278.321	198.879	19.325	39.147	281.689	277.876	271.377	352.769	236.261	222.026	231.356	287.788	221.763	330.013	360.581	305.816	305.769	343.880	353.450	257.344	408.058	443.878	364.853	451.590	416.848	391.922	299.677	244.385	302.758	345.469	275.590	298.997	291.291	290.707	396.176	257.871	338.610	327.733	211.825	241.806	58.716	70.490	70.457	61.935	49.472	138.706	119.384	161.158	110.849	102.259	104.014	77.573	101.544	97.377	202.523	115.471	126.734	438.178	482.270	460.548	53.849	68.565	63.865	72.909	58.157	62.666	69.311	152.206	134.565	70.395	155.881	231.410	282.483	59.443	70.751	90.945	77.092	75.775	70.025	91.191	79.503	80.131	119.317	84.747	69.687	105.401	88.113	82.225	93.670	98.911	57.026	68.302	119.471	69.662	64.549	73.181	65.317	175.444	180.796	186.909	100.948	253.810	141.048	56.606	30.244	66.948	40.595	70.332	80.650	67.432	42.395	44.762	58.526	57.710	92.031	62.810	157.652	171.608	180.019	175.187	28.997	211.607	232.108	147.803	109.668	159.568	148.603	143.320	151.255	67.707	58.642	23.582	27.431	10.803	12.779	11.171	11.391	8.331	7.795	9.419	6.714	12.997	14.296	10.176	12.716	116.846	107.962	128.356	132.172	111.033	104.134	95.719	88.345	104.920	104.593	101.524	94.460	10.576	11.527	10.384	11.294	9.649	11.543	11.431	10.185	10.554	8.976	10.708	12.179	81.041	103.780	103.517	94.711	107.995	102.517	10.280	14.390	16.692	16.301	8.781	13.968	13.195	12.045	11.745	10.255	115.113	144.978	121.656	108.929	155.090	110.675	114.878	127.832	95.011	96.327	94.371	98.362	95.755	97.321	17.478	12.991	114.625	149.098	128.336	153.604	91.985	144.056	111.649	107.424	83.413	104.080	145.367	120.375	19.928	15.444	10.146	17.274	14.200	13.423	18.594	10.503	14.016	11.586	17.144	17.174	135.857	120.937	96.189	100.454
LOC110937325	107.817	0.822	1.128	0.062	70.939	180.711	88.544	21.733	19.069	29.349	4.127	1.418	9.089	2.862	12.872	8.203	10.330	0.209	1.511	0.124	86.060	130.939	1.475	2.744	453.331	263.820	236.427	173.626	261.065	185.945	90.756	241.134	175.040	327.419	342.388	325.587	205.237	451.918	864.657	466.552	236.080	380.132	260.763	203.944	341.838	279.010	363.750	214.492	363.062	341.765	122.585	366.115	301.092	230.718	369.862	122.473	453.125	446.357	451.662	477.899	23.829	19.311	25.453	22.653	42.060	22.095	40.480	16.549	16.806	21.935	34.192	15.186	32.424	28.146	7.043	7.329	5.534	7.285	2.839	6.587	16.267	25.397	13.192	14.470	6.558	7.733	6.518	19.559	13.217	13.757	15.804	11.915	8.082	12.516	12.783	11.929	13.504	36.182	46.935	59.065	23.866	21.064	21.435	17.205	15.219	9.309	10.506	8.507	8.524	7.090	9.481	10.751	15.049	18.067	28.399	8.420	12.917	7.125	6.004	5.297	0.407	0.300	0.338	31.934	19.605	35.289	3.465	1.434	1.587	7.531	3.711	3.662	5.665	19.605	23.075	20.190	101.998	139.579	136.281	205.125	5.462	238.898	310.555	102.222	75.346	76.633	144.984	82.799	168.656	7.100	8.476	8.213	13.491	5.286	5.266	4.083	3.227	2.724	4.151	3.617	1.677	2.598	2.639	2.362	2.773	56.191	121.792	107.006	63.501	96.671	137.154	121.069	72.372	71.357	59.605	149.389	50.495	4.659	3.939	4.278	4.154	4.119	4.258	4.832	4.346	1.948	0.980	2.122	1.016	74.476	110.826	80.621	106.446	121.890	323.110	29.334	18.084	8.191	9.654	8.572	4.395	7.500	2.014	3.228	4.608	35.888	83.137	175.094	110.837	90.559	59.877	56.922	58.665	179.073	181.627	82.984	51.883	64.358	45.724	6.115	3.113	61.260	62.834	62.988	53.274	129.742	53.033	69.568	46.412	60.402	69.019	83.155	66.617	17.830	14.206	8.781	7.007	8.986	4.960	5.808	9.533	1.600	1.134	2.969	7.179	78.357	66.250	53.741	31.956
LOC110937328	8.202	0.666	1.698	0.000	0.964	2.674	1.281	8.709	1.329	3.750	4.960	0.248	10.649	1.079	7.020	2.436	0.811	0.185	3.378	0.584	2.233	1.652	0.936	0.514	13.938	12.241	7.425	6.788	9.658	5.634	1.840	3.832	3.398	9.373	9.393	7.699	7.108	12.103	31.746	12.535	9.679	15.815	11.072	8.701	15.142	9.124	16.844	7.174	22.712	21.915	2.162	14.445	4.415	6.517	4.864	6.655	8.798	12.051	14.412	17.042	2.329	2.127	4.265	2.462	6.280	0.873	1.287	0.418	1.017	0.882	1.659	1.590	17.126	3.316	0.549	2.496	0.717	0.355	0.640	0.893	1.021	1.856	1.509	4.344	0.271	0.494	0.443	1.130	0.419	0.338	0.127	0.138	0.625	2.962	0.146	0.447	0.551	0.748	3.391	2.420	3.866	2.790	1.179	2.798	0.806	1.537	0.550	0.439	0.227	1.149	0.239	0.377	0.712	1.840	4.981	4.299	4.494	3.326	4.928	5.386	0.288	0.972	0.239	7.925	5.246	7.961	0.000	0.000	0.000	0.968	4.153	6.282	8.650	0.169	0.762	0.265	3.502	4.103	3.051	16.730	3.821	11.716	16.787	2.364	4.161	4.452	5.136	11.401	6.794	0.070	0.367	0.936	0.236	11.391	12.780	13.389	8.238	6.176	7.923	7.188	3.556	6.584	6.131	4.812	6.691	1.528	7.830	3.770	2.036	2.902	5.030	4.998	2.402	2.202	1.735	4.897	1.856	7.954	8.071	8.417	11.012	9.254	10.348	9.361	8.374	4.807	2.694	4.856	4.080	2.133	3.319	3.142	2.543	3.299	8.752	12.735	7.429	1.196	0.770	6.219	1.123	8.270	0.070	4.848	2.117	4.501	15.907	23.279	14.120	24.773	8.744	6.559	8.889	4.419	4.588	5.136	2.848	3.003	1.900	9.058	4.402	9.812	28.075	8.688	7.562	31.820	7.221	21.528	5.720	8.150	10.688	15.917	10.368	10.916	9.810	5.414	4.388	15.744	5.376	12.930	4.446	1.650	1.743	1.364	5.859	19.395	14.857	9.144	5.322
LOC110906934	0.000	0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.084	0.000	0.000	0.073	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.082	0.079	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.215	0.000	0.314	0.157	0.000	0.000	0.000	0.000	0.000	0.000	0.083	0.139	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.096	0.000	0.000	0.000	0.000	0.000	0.090	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.089	0.000	0.134	0.000	0.000	0.000	0.000	0.089	0.000	0.000	0.409	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.173	0.000	0.233	0.080	0.073	0.289	0.097	0.000	0.000	0.323	0.097	0.094	0.000	0.000	0.000	0.000	0.095	0.000	0.000	0.000	0.000	0.000	0.000	0.081	0.000	0.000	0.077	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.062	0.050	0.146	0.193	0.074	0.000	0.542	0.069	0.000	0.053	0.057	0.064	0.219	0.267	0.213	0.431	0.136	0.268	0.139	0.136	0.065	0.068	0.205	0.063	0.396	0.307	0.000	0.124	0.046	0.000	0.077	0.073	0.105	0.176	0.117	0.066	0.043	0.136	0.363	0.273	0.028	0.263	0.066	0.000	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.262	0.000	0.075	0.034	0.000	0.066	0.075	0.061	0.037	0.251	0.394	0.294	0.315	0.000	0.000	0.028	0.200	0.184	0.145	0.115	0.096	0.109	0.084	0.057	0.064	0.059	0.000	0.000	0.000	0.118	0.000	0.000	0.071	0.000	0.000	0.000	0.000	0.144	0.050	0.078	0.031	0.054	0.184
LOC110927047	935.175	178.379	588.167	293.814	437.841	523.796	430.294	427.431	341.763	173.537	583.981	311.788	658.890	718.838	146.542	153.487	226.347	315.726	396.062	388.412	1100.709	775.554	167.909	338.358	63.728	95.173	39.071	50.843	102.346	93.623	25.003	19.863	82.917	49.398	30.177	25.319	32.353	64.282	82.622	56.965	35.714	50.715	37.283	75.534	30.459	36.109	52.763	64.034	58.913	72.388	31.723	59.776	196.907	37.974	67.325	104.729	73.893	44.199	70.418	36.862	369.652	265.486	259.784	274.948	477.157	304.483	472.889	222.745	107.589	146.979	337.878	172.933	423.391	241.278	735.594	426.105	558.475	87.719	122.044	135.466	137.792	224.898	134.297	183.550	175.798	199.076	195.930	157.122	193.195	244.651	254.072	194.387	219.602	208.708	149.182	91.927	187.929	237.814	268.459	256.932	382.617	375.097	288.725	314.842	139.436	397.661	283.477	253.236	342.332	270.160	235.780	239.825	251.428	261.521	294.433	228.206	232.459	294.870	309.605	302.362	51.730	124.809	51.324	177.042	98.985	222.454	118.939	201.674	191.520	194.174	167.833	209.660	201.042	32.070	31.438	66.159	433.080	588.019	519.386	333.867	222.978	241.109	231.230	732.477	869.541	777.738	562.060	592.721	395.819	123.076	194.566	93.181	132.934	93.120	103.494	98.651	88.216	64.521	73.366	75.108	48.665	103.260	93.811	85.294	77.699	365.513	295.654	349.658	254.353	413.486	352.495	347.380	469.438	339.395	302.310	398.079	379.971	81.133	71.626	80.322	85.050	53.711	46.882	59.760	59.342	80.192	56.003	84.354	82.238	129.155	118.224	163.136	155.165	73.049	61.793	97.852	112.041	101.300	101.081	59.584	75.343	63.561	48.310	91.925	50.264	145.049	95.258	93.153	139.404	413.942	510.040	503.831	570.571	79.197	95.827	477.667	548.401	462.212	507.969	109.036	78.490	436.489	596.267	435.345	564.725	514.526	546.401	497.176	644.749	906.115	702.018	656.058	768.900	109.545	112.968	101.675	118.725	58.883	54.757	65.722	50.689	65.557	50.742	55.950	52.406	295.564	256.268	321.171	268.605
LOC110930503	561.900	96.737	187.634	172.414	382.441	478.396	346.690	472.194	358.969	429.509	440.266	300.645	473.811	375.122	319.692	247.454	361.543	126.290	205.951	141.457	869.196	609.682	234.137	272.209	612.969	489.077	423.335	352.794	1220.480	1041.648	244.490	369.069	304.772	480.737	483.453	539.107	1085.031	447.814	537.429	552.919	272.250	386.379	389.002	586.493	809.696	662.971	549.852	570.870	596.175	586.121	291.595	485.302	280.714	337.831	518.378	248.817	582.219	618.417	903.065	649.765	176.657	198.062	245.447	239.083	516.528	666.099	743.393	676.776	628.292	617.291	455.305	201.317	299.048	419.842	163.286	165.572	147.749	389.591	205.694	372.418	252.608	292.530	149.750	263.802	267.354	275.345	265.469	364.126	322.222	279.697	222.785	208.738	289.628	145.908	170.398	154.747	200.181	264.389	289.675	271.218	218.336	211.195	189.345	140.388	167.308	149.305	157.015	155.066	138.128	180.978	217.913	226.326	214.126	171.832	127.199	156.737	179.431	218.421	222.717	218.897	70.555	87.985	75.231	520.949	488.776	507.253	540.578	563.851	554.681	129.707	111.922	102.890	98.794	144.156	244.735	469.174	291.998	341.671	309.454	438.740	75.428	346.996	428.700	332.459	373.313	293.788	491.827	510.917	330.214	89.781	108.696	73.456	82.300	130.093	122.966	101.891	113.572	276.652	301.557	298.623	278.262	149.718	157.424	122.924	159.569	586.335	614.058	620.570	497.097	714.173	1137.000	1076.294	695.051	772.304	814.298	895.992	1021.194	148.781	114.398	116.626	136.725	301.487	333.381	291.786	219.051	158.552	123.041	132.219	115.203	533.976	521.107	371.986	347.053	334.347	517.727	76.537	58.470	94.502	62.514	227.960	259.564	185.473	179.002	73.408	80.767	318.541	407.604	556.161	406.280	480.653	442.520	391.941	445.388	270.985	290.202	1062.856	1009.000	934.760	880.191	86.215	78.075	539.431	589.783	538.495	536.190	495.000	443.374	464.101	434.045	616.901	665.317	619.597	648.861	76.172	90.206	71.170	70.491	236.800	205.880	225.299	223.719	48.106	47.737	70.802	99.988	470.208	438.701	493.102	448.055
LOC110930648	11.788	12.943	6.786	28.174	7.506	13.046	26.741	20.135	20.982	14.049	16.798	14.619	22.829	43.396	23.927	38.803	14.888	4.215	10.833	38.396	16.565	20.727	23.431	11.230	2091.082	1780.495	1483.296	1005.912	2004.226	1688.429	459.438	943.021	326.386	1398.765	1572.977	1704.607	2131.225	563.702	758.387	917.126	556.769	766.659	1363.170	1145.311	3019.130	1406.794	1410.321	1716.619	2671.043	1628.738	843.359	1962.826	162.396	836.084	1962.535	519.275	2327.438	2661.496	2672.750	2714.939	1.682	0.689	1.727	4.985	8.432	26.737	14.521	23.594	12.105	25.448	9.603	1.204	9.737	6.498	9.968	1.298	2.757	1.289	1.825	2.129	0.084	0.714	0.887	0.352	0.435	0.226	0.710	3.423	0.576	0.217	0.880	1.478	0.891	1.010	1.016	1.229	2.648	3.837	1.255	0.000	1.878	8.241	2.225	2.344	0.646	0.747	0.515	0.313	2.502	0.819	6.140	6.366	29.988	0.918	2.184	0.919	0.384	39.956	39.248	38.930	34.576	58.949	34.413	21.793	15.187	22.693	19.348	27.904	24.229	40.695	0.545	3.188	47.903	0.723	0.091	0.212	127.939	430.943	210.486	590.626	0.573	1111.116	1195.163	329.695	186.620	74.902	628.846	227.346	643.844	27.645	41.046	0.467	0.421	10.390	11.273	12.854	9.991	8.867	9.197	14.687	7.241	6.729	5.523	4.236	3.942	17.961	71.816	121.293	45.079	107.992	87.729	66.930	123.142	47.214	31.024	72.349	13.748	9.397	10.028	8.212	15.640	3.780	2.921	3.380	5.151	5.833	8.383	6.527	7.210	53.013	68.545	58.335	179.729	262.319	274.805	14.544	16.342	16.879	20.517	13.051	16.940	9.305	10.445	5.495	4.991	63.189	208.016	673.093	229.412	81.094	51.181	37.064	32.303	564.335	519.544	35.905	21.895	30.321	9.817	4.926	3.872	34.093	56.126	111.434	40.969	224.384	114.051	96.801	106.747	44.837	42.291	52.644	26.335	29.466	17.239	12.712	18.762	7.564	4.935	9.272	10.254	5.669	7.081	3.359	2.823	114.704	60.016	72.791	19.556
