gene_id	PRJNA797473_leaf	PRJNA850121_root	PRJNA869183_leaf	PRJNA908908_leaf	PRJNA1041959_leaf	PRJNA1041959_root	PRJNA492303_leaf	PRJNA492303_root
n_libraries	6	6	12	6	6	6	24	24
LOC110875755	3.163	16.405	3.578	12.800	3.289	16.102	1.605	8.367
LOC110875737	112.901	0.358	25.837	12.009	73.488	28.144	42.638	19.954
LOC110875557	79.150	914.555	136.203	48.137	297.798	1505.590	154.859	1201.183
LOC110878958	50.985	274.320	94.708	114.564	37.616	177.013	11.946	114.337
LOC110937325	14.372	368.772	10.830	1.255	6.701	191.836	6.050	80.205
LOC110937328	5.079	16.683	1.319	0.250	4.013	11.427	6.379	8.614
LOC110906934	0.026	0.036	0.080	0.086	0.000	0.000	0.059	0.140
LOC110927047	484.073	59.230	289.695	123.333	171.271	392.801	83.083	480.688
LOC110930503	424.978	642.641	180.314	315.480	90.798	424.566	153.156	668.144
LOC110930648	23.031	2135.735	5.280	33.236	8.849	732.823	10.093	73.208
LOC110933853	0.000	0.000	0.000	0.000	0.000	11.329	0.000	0.004
LOC110938010	0.482	0.119	0.036	0.024	0.218	0.341	0.031	0.089
LOC110939970	3.072	3.011	7.030	0.000	0.000	0.000	0.559	0.030
LOC110941540	13.544	37.304	20.169	14.890	17.126	10.430	19.202	14.128
LOC110864409	46.957	412.829	13.055	20.754	26.162	116.201	28.722	284.496
LOC110872387	28.943	312.377	7.880	1.211	8.564	96.224	2.888	13.885
LOC110865440	1.747	0.458	1.074	0.970	1.485	1.024	0.734	0.737
LOC110868194	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003
LOC110868195	0.044	0.000	0.000	0.000	0.000	0.000	0.014	0.000
LOC110889695	6.968	28.925	29.777	11.793	80.248	17.251	56.063	62.264
LOC110866810	0.504	0.056	0.736	0.000	0.000	0.000	0.035	0.098
LOC110868334	81.732	74.293	10.793	36.455	0.260	1.588	16.438	52.991
LOC110868335	14.611	4.259	1.776	10.229	0.000	0.013	0.283	0.244
LOC110868323	0.022	0.078	0.236	0.172	0.028	0.128	0.011	0.018
LOC110868318	0.000	0.012	0.014	0.043	0.000	0.015	0.002	0.000
LOC110868317	12.016	7.905	0.254	0.529	5.333	34.964	49.123	209.777
LOC110868358	135.023	22.648	30.874	43.961	2.616	1.867	7.225	6.973
LOC110908794	1494.069	165.857	320.109	284.092	381.362	74.631	436.761	40.408
LOC110908807	0.684	278.346	0.019	0.146	0.224	181.984	0.149	138.515
LOC110868941	102.070	108.420	33.859	34.386	15.352	23.397	72.863	38.033
LOC110872551	0.383	0.340	0.131	0.108	0.028	0.000	0.121	0.082
LOC110873151	2.136	1581.848	2.954	1.702	0.501	1287.863	2.162	592.566
LOC110873322	1.012	0.064	0.039	0.015	1.656	106.431	0.865	8.986
LOC110877765	0.895	0.025	0.115	0.817	0.016	0.000	0.057	0.119
LOC118481678	0.027	0.040	0.023	0.087	0.055	0.013	0.038	0.043
LOC118479416	478.204	306.916	191.593	545.072	139.830	203.208	919.679	197.114
LOC110884851	17.348	37.810	17.458	11.012	15.809	34.332	6.287	16.360
LOC110881936	0.153	0.171	0.094	0.194	0.240	0.038	0.309	0.097
LOC110885224	0.000	0.113	0.000	0.000	13.846	35.512	0.000	0.001
LOC110886572	29.592	1174.089	82.192	31.847	629.075	403.954	263.877	754.157
LOC110890809	3.961	1.304	6.956	2.763	12.395	6.552	1.453	0.991
LOC110890906	0.861	51.036	1.648	0.115	0.509	101.275	0.756	121.952
LOC110891299	0.722	626.057	2.717	155.164	0.792	823.851	8.299	383.219
LOC110894233	41.261	685.804	16.415	19.109	39.944	312.472	118.941	1023.991
LOC110892775	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005
LOC110894830	8.348	2.096	1.671	12.081	2.759	4.738	0.617	4.813
LOC110896719	0.161	0.143	0.068	0.000	1.286	0.663	0.375	0.032
LOC110895309	21.471	3.757	6.373	7.273	34.846	6.397	7.766	32.546
LOC110897890	1114.499	1463.501	275.203	345.723	359.692	965.416	740.330	1193.146
LOC110898014	186.875	0.246	105.707	74.565	230.950	0.291	215.213	0.912
LOC110898128	2.647	1.365	0.366	0.330	1.721	2.380	2.019	1.471
LOC110898466	36.538	344.369	3.977	9.543	6.812	70.258	13.861	105.923
LOC110899589	1.070	5.698	0.429	0.658	0.901	1.294	0.057	0.376
LOC110899592	2.871	41.254	1.590	2.093	1.321	4.449	0.426	2.018
LOC110899655	4.583	169.408	4.026	2.191	0.046	48.346	0.806	14.291
LOC110899654	2.046	123.032	1.359	0.882	0.061	32.789	0.548	7.990
LOC110899653	3.332	553.499	1.196	0.683	0.014	26.363	0.769	57.216
LOC110899667	1.195	271.578	0.433	0.499	0.013	23.036	0.211	39.780
LOC110908730	20.420	13.936	26.947	15.593	19.940	13.941	9.554	10.563
LOC110905693	0.476	0.048	0.048	5.495	0.415	0.336	0.006	0.071
LOC110904303	363.880	1518.582	133.717	120.127	136.780	605.550	207.851	710.597
LOC110904457	859.694	510.156	41.577	164.222	5.588	46.248	147.628	65.882
LOC110904450	43.919	135.877	5.351	24.302	0.393	10.790	5.754	51.208
LOC110904451	15.004	252.559	2.611	0.029	0.471	16.428	1.214	1.514
LOC110868884	173.629	941.910	17.713	63.520	87.006	251.850	59.072	601.654
LOC110904925	12.926	49.438	2.256	15.463	0.141	11.194	5.575	24.214
LOC110906290	0.430	0.008	0.041	0.063	0.203	0.019	0.072	0.188
LOC110911072	0.385	1.135	0.289	0.061	0.476	167.007	0.113	3.166
LOC110886457	361.145	0.878	99.228	171.868	36.342	11.815	109.029	18.716
LOC110911125	44.264	12.530	264.047	34.113	275.112	390.725	36.126	108.048
LOC110911759	0.016	4.207	0.000	0.000	0.080	4.438	0.026	5.184
LOC110911761	25.155	3.334	16.665	22.658	13.829	1.164	12.389	3.307
LOC110913792	0.000	0.000	0.000	0.000	0.000	0.132	0.015	0.008
LOC110914202	0.032	0.000	0.019	0.000	0.052	8.394	0.024	0.033
LOC110912639	0.381	0.564	0.000	0.000	0.448	5.557	0.007	3.108
