sample_id	project	condition	tissue	genotype	age	control
SRR17624338	PRJNA797473	drought_14d	leaf	K58		no
SRR17624339	PRJNA797473	drought_14d	leaf	K55		no
SRR17624340	PRJNA797473	drought_14d	leaf	K55		no
SRR17624341	PRJNA797473	drought_14d	leaf	K55		no
SRR17624342	PRJNA797473	drought_7d	leaf	K58		no
SRR17624343	PRJNA797473	drought_7d	leaf	K58		no
SRR17624344	PRJNA797473	drought_7d	leaf	K58		no
SRR17624345	PRJNA797473	control	leaf	K58		yes
SRR17624346	PRJNA797473	control	leaf	K58		yes
SRR17624347	PRJNA797473	control	leaf	K58		yes
SRR17624348	PRJNA797473	control	leaf	K55		yes
SRR17624349	PRJNA797473	drought_7d	leaf	K55		no
SRR17624350	PRJNA797473	control	leaf	K55		yes
SRR17624351	PRJNA797473	control	leaf	K55		yes
SRR17624352	PRJNA797473	drought_21d	leaf	K58		no
SRR17624353	PRJNA797473	drought_21d	leaf	K58		no
SRR17624354	PRJNA797473	drought_21d	leaf	K58		no
SRR17624355	PRJNA797473	drought_21d	leaf	K55		no
SRR17624356	PRJNA797473	drought_21d	leaf	K55		no
SRR17624357	PRJNA797473	drought_21d	leaf	K55		no
SRR17624358	PRJNA797473	drought_14d	leaf	K58		no
SRR17624359	PRJNA797473	drought_14d	leaf	K58		no
SRR17624360	PRJNA797473	drought_7d	leaf	K55		no
SRR17624361	PRJNA797473	drought_7d	leaf	K55		no
SRR19745122	PRJNA850121	parasitized_C	root	M		no
SRR19745123	PRJNA850121	parasitized_B	root	M		no
SRR19745124	PRJNA850121	parasitized_B	root	M		no
SRR19745125	PRJNA850121	parasitized_B	root	M		no
SRR19745126	PRJNA850121	parasitized_A	root	M		no
SRR19745127	PRJNA850121	parasitized_A	root	M		no
SRR19745128	PRJNA850121	parasitized_E	root	K		no
SRR19745129	PRJNA850121	parasitized_E	root	K		no
SRR19745130	PRJNA850121	parasitized_E	root	K		no
SRR19745131	PRJNA850121	parasitized_D	root	K		no
SRR19745132	PRJNA850121	parasitized_D	root	K		no
SRR19745133	PRJNA850121	parasitized_D	root	K		no
SRR19745134	PRJNA850121	parasitized_A	root	M		no
SRR19745135	PRJNA850121	parasitized_C	root	K		no
SRR19745136	PRJNA850121	parasitized_C	root	K		no
SRR19745137	PRJNA850121	parasitized_C	root	K		no
SRR19745138	PRJNA850121	parasitized_B	root	K		no
SRR19745139	PRJNA850121	parasitized_B	root	K		no
SRR19745140	PRJNA850121	parasitized_B	root	K		no
SRR19745141	PRJNA850121	parasitized_A	root	K		no
SRR19745142	PRJNA850121	parasitized_A	root	K		no
SRR19745143	PRJNA850121	parasitized_A	root	K		no
SRR19745144	PRJNA850121	control	root	K		yes
SRR19745145	PRJNA850121	control	root	G		yes
SRR19745146	PRJNA850121	control	root	K		yes
SRR19745147	PRJNA850121	control	root	K		yes
SRR19745148	PRJNA850121	parasitized_E	root	M		no
SRR19745149	PRJNA850121	parasitized_E	root	M		no
SRR19745150	PRJNA850121	parasitized_E	root	M		no
SRR19745151	PRJNA850121	parasitized_D	root	M		no
SRR19745152	PRJNA850121	parasitized_D	root	M		no
SRR19745153	PRJNA850121	parasitized_D	root	M		no
SRR19745154	PRJNA850121	parasitized_C	root	M		no
SRR19745155	PRJNA850121	parasitized_C	root	M		no
SRR19745156	PRJNA850121	control	root	G		yes
SRR19745157	PRJNA850121	control	root	G		yes
SRR21049834	PRJNA869183	drought_water_deficit	leaf	seedling		no
SRR21049835	PRJNA869183	drought_severe	leaf	seedling		no
SRR21049836	PRJNA869183	drought_severe	leaf	seedling		no
SRR21049837	PRJNA869183	drought_severe	leaf	seedling		no
SRR21049838	PRJNA869183	cold_32h	leaf	seedling		no
SRR21049839	PRJNA869183	cold_32h	leaf	seedling		no
SRR21049840	PRJNA869183	cold_32h	leaf	seedling		no
SRR21049841	PRJNA869183	cold_16h	leaf	seedling		no
SRR21049842	PRJNA869183	cold_16h	leaf	seedling		no
SRR21049843	PRJNA869183	cold_16h	leaf	seedling		no
SRR21049844	PRJNA869183	cold_8h	leaf	seedling		no
SRR21049845	PRJNA869183	drought_moderate	leaf	seedling		no
SRR21049846	PRJNA869183	cold_8h	leaf	seedling		no
SRR21049847	PRJNA869183	cold_8h	leaf	seedling		no
SRR21049848	PRJNA869183	cold_0h	leaf	seedling		yes
SRR21049849	PRJNA869183	cold_0h	leaf	seedling		yes
SRR21049850	PRJNA869183	cold_0h	leaf	seedling		yes
SRR21049851	PRJNA869183	salt_SA4	leaf	seedling		no
SRR21049852	PRJNA869183	salt_SA4	leaf	seedling		no
SRR21049853	PRJNA869183	salt_SA4	leaf	seedling		no
SRR21049854	PRJNA869183	salt_SA3	leaf	seedling		no
SRR21049855	PRJNA869183	salt_SA3	leaf	seedling		no
SRR21049856	PRJNA869183	drought_moderate	leaf	seedling		no
SRR21049857	PRJNA869183	salt_SA3	leaf	seedling		no
SRR21049858	PRJNA869183	salt_SA2	leaf	seedling		no
SRR21049859	PRJNA869183	salt_SA2	leaf	seedling		no
SRR21049860	PRJNA869183	salt_SA2	leaf	seedling		no
SRR21049861	PRJNA869183	salt_SA1	leaf	seedling		no
SRR21049862	PRJNA869183	salt_SA1	leaf	seedling		no
SRR21049863	PRJNA869183	salt_SA1	leaf	seedling		no
SRR21049864	PRJNA869183	salt_NaCl	leaf	seedling		no
SRR21049865	PRJNA869183	salt_NaCl	leaf	seedling		no
SRR21049866	PRJNA869183	salt_NaCl	leaf	seedling		no
SRR21049867	PRJNA869183	drought_moderate	leaf	seedling		no
SRR21049868	PRJNA869183	control	leaf	seedling		yes
SRR21049869	PRJNA869183	control	leaf	seedling		yes
SRR21049870	PRJNA869183	control	leaf	seedling		yes
SRR21049871	PRJNA869183	heat_32h	leaf	seedling		no
SRR21049872	PRJNA869183	heat_32h	leaf	seedling		no
SRR21049873	PRJNA869183	heat_32h	leaf	seedling		no
SRR21049874	PRJNA869183	heat_16h	leaf	seedling		no
SRR21049875	PRJNA869183	heat_16h	leaf	seedling		no
SRR21049876	PRJNA869183	heat_16h	leaf	seedling		no
SRR21049877	PRJNA869183	heat_8h	leaf	seedling		no
SRR21049878	PRJNA869183	drought_normal	leaf	seedling		yes
SRR21049879	PRJNA869183	heat_8h	leaf	seedling		no
SRR21049880	PRJNA869183	heat_8h	leaf	seedling		no
SRR21049881	PRJNA869183	heat_4h	leaf	seedling		no
SRR21049882	PRJNA869183	heat_4h	leaf	seedling		no
SRR21049883	PRJNA869183	heat_4h	leaf	seedling		no
SRR21049884	PRJNA869183	heat_0h	leaf	seedling		yes
SRR21049885	PRJNA869183	heat_0h	leaf	seedling		yes
SRR21049886	PRJNA869183	heat_0h	leaf	seedling		yes
SRR21049887	PRJNA869183	drought_water_deficit	leaf	seedling		no
SRR21049888	PRJNA869183	drought_water_deficit	leaf	seedling		no
SRR21049889	PRJNA869183	drought_normal	leaf	seedling		yes
SRR21049890	PRJNA869183	drought_normal	leaf	seedling		yes
SRR22540857	PRJNA908908	sclerotinia	leaf	C6_DR		no
SRR22540858	PRJNA908908	sclerotinia	leaf	C6_DR		no
SRR22540859	PRJNA908908	sclerotinia	leaf	C6_DR		no
SRR22540860	PRJNA908908	control	leaf	C6_DR		yes
SRR22540861	PRJNA908908	control	leaf	C6_DR		yes
SRR22540862	PRJNA908908	control	leaf	C6_DR		yes
SRR22540863	PRJNA908908	sclerotinia	leaf	B728_DS		no
SRR22540864	PRJNA908908	sclerotinia	leaf	B728_DS		no
SRR22540865	PRJNA908908	sclerotinia	leaf	B728_DS		no
