gene_id	project	leaf_mean_TPM	root_mean_TPM	log2_root_over_leaf	n_leaf	n_root
LOC110875755	PRJNA1041959	3.289	16.102	2.257	6	6
LOC110875737	PRJNA1041959	73.488	28.144	-1.382	6	6
LOC110875557	PRJNA1041959	297.798	1505.590	2.338	6	6
LOC110878958	PRJNA1041959	37.616	177.013	2.231	6	6
LOC110937325	PRJNA1041959	6.701	191.836	4.819	6	6
LOC110937328	PRJNA1041959	4.013	11.427	1.487	6	6
LOC110906934	PRJNA1041959	0.000	0.000	0.000	6	6
LOC110927047	PRJNA1041959	171.271	392.801	1.197	6	6
LOC110930503	PRJNA1041959	90.798	424.566	2.224	6	6
LOC110930648	PRJNA1041959	8.849	732.823	6.356	6	6
LOC110933853	PRJNA1041959	0.000	11.329	6.837	6	6
LOC110938010	PRJNA1041959	0.218	0.341	0.470	6	6
LOC110939970	PRJNA1041959	0.000	0.000	0.000	6	6
LOC110941540	PRJNA1041959	17.126	10.430	-0.710	6	6
LOC110864409	PRJNA1041959	26.162	116.201	2.147	6	6
LOC110872387	PRJNA1041959	8.564	96.224	3.475	6	6
LOC110865440	PRJNA1041959	1.485	1.024	-0.496	6	6
LOC110868194	PRJNA1041959	0.000	0.000	0.000	6	6
LOC110868195	PRJNA1041959	0.000	0.000	0.000	6	6
LOC110889695	PRJNA1041959	80.248	17.251	-2.211	6	6
LOC110866810	PRJNA1041959	0.000	0.000	0.000	6	6
LOC110868334	PRJNA1041959	0.260	1.588	2.231	6	6
LOC110868335	PRJNA1041959	0.000	0.013	0.171	6	6
LOC110868323	PRJNA1041959	0.028	0.128	0.837	6	6
LOC110868318	PRJNA1041959	0.000	0.015	0.196	6	6
LOC110868317	PRJNA1041959	5.333	34.964	2.690	6	6
LOC110868358	PRJNA1041959	2.616	1.867	-0.465	6	6
LOC110908794	PRJNA1041959	381.362	74.631	-2.352	6	6
LOC110908807	PRJNA1041959	0.224	181.984	9.136	6	6
LOC110868941	PRJNA1041959	15.352	23.397	0.605	6	6
LOC110872551	PRJNA1041959	0.028	0.000	-0.359	6	6
LOC110873151	PRJNA1041959	0.501	1287.863	11.065	6	6
LOC110873322	PRJNA1041959	1.656	106.431	5.923	6	6
LOC110877765	PRJNA1041959	0.016	0.000	-0.209	6	6
LOC118481678	PRJNA1041959	0.055	0.013	-0.461	6	6
LOC118479416	PRJNA1041959	139.830	203.208	0.539	6	6
LOC110884851	PRJNA1041959	15.809	34.332	1.114	6	6
LOC110881936	PRJNA1041959	0.240	0.038	-1.303	6	6
LOC110885224	PRJNA1041959	13.846	35.512	1.353	6	6
LOC110886572	PRJNA1041959	629.075	403.954	-0.639	6	6
LOC110890809	PRJNA1041959	12.395	6.552	-0.910	6	6
LOC110890906	PRJNA1041959	0.509	101.275	7.380	6	6
LOC110891299	PRJNA1041959	0.792	823.851	9.851	6	6
LOC110894233	PRJNA1041959	39.944	312.472	2.965	6	6
LOC110892775	PRJNA1041959	0.000	0.000	0.000	6	6
LOC110894830	PRJNA1041959	2.759	4.738	0.759	6	6
LOC110896719	PRJNA1041959	1.286	0.663	-0.861	6	6
LOC110895309	PRJNA1041959	34.846	6.397	-2.427	6	6
LOC110897890	PRJNA1041959	359.692	965.416	1.424	6	6
