sample_id	project_id	library_name	condition	stress	tissue	genotype	stress_type
SRR17624338	PRJNA797473	DT14-1	drought_14d	drought	leaf	K58	abiotic
SRR17624339	PRJNA797473	DS14-3	drought_14d	drought	leaf	K55	abiotic
SRR17624340	PRJNA797473	DS14-2	drought_14d	drought	leaf	K55	abiotic
SRR17624341	PRJNA797473	DS14-1	drought_14d	drought	leaf	K55	abiotic
SRR17624342	PRJNA797473	DT7-3	drought_7d	drought	leaf	K58	abiotic
SRR17624343	PRJNA797473	DT7-2	drought_7d	drought	leaf	K58	abiotic
SRR17624344	PRJNA797473	DT7-1	drought_7d	drought	leaf	K58	abiotic
SRR17624345	PRJNA797473	DT0-3	control	drought	leaf	K58	abiotic
SRR17624346	PRJNA797473	DT0-2	control	drought	leaf	K58	abiotic
SRR17624347	PRJNA797473	DT0-1	control	drought	leaf	K58	abiotic
SRR17624348	PRJNA797473	DS0-3	control	drought	leaf	K55	abiotic
SRR17624349	PRJNA797473	DS7-3	drought_7d	drought	leaf	K55	abiotic
SRR17624350	PRJNA797473	DS0-2	control	drought	leaf	K55	abiotic
SRR17624351	PRJNA797473	DS0-1	control	drought	leaf	K55	abiotic
SRR17624352	PRJNA797473	DT21-3	drought_21d	drought	leaf	K58	abiotic
SRR17624353	PRJNA797473	DT21-2	drought_21d	drought	leaf	K58	abiotic
SRR17624354	PRJNA797473	DT21-1	drought_21d	drought	leaf	K58	abiotic
SRR17624355	PRJNA797473	DS21-3	drought_21d	drought	leaf	K55	abiotic
SRR17624356	PRJNA797473	DS21-2	drought_21d	drought	leaf	K55	abiotic
SRR17624357	PRJNA797473	DS21-1	drought_21d	drought	leaf	K55	abiotic
SRR17624358	PRJNA797473	DT14-3	drought_14d	drought	leaf	K58	abiotic
SRR17624359	PRJNA797473	DT14-2	drought_14d	drought	leaf	K58	abiotic
SRR17624360	PRJNA797473	DS7-2	drought_7d	drought	leaf	K55	abiotic
SRR17624361	PRJNA797473	DS7-1	drought_7d	drought	leaf	K55	abiotic
SRR19745122	PRJNA850121	MPC1	parasitized_C	orobanche	root	M	biotic
SRR19745123	PRJNA850121	MPB3	parasitized_B	orobanche	root	M	biotic
SRR19745124	PRJNA850121	MPB2	parasitized_B	orobanche	root	M	biotic
SRR19745125	PRJNA850121	MPB1	parasitized_B	orobanche	root	M	biotic
SRR19745126	PRJNA850121	MPA3	parasitized_A	orobanche	root	M	biotic
SRR19745127	PRJNA850121	MPA2	parasitized_A	orobanche	root	M	biotic
SRR19745128	PRJNA850121	KPE3	parasitized_E	orobanche	root	K	biotic
SRR19745129	PRJNA850121	KPE2	parasitized_E	orobanche	root	K	biotic
SRR19745130	PRJNA850121	KPE1	parasitized_E	orobanche	root	K	biotic
SRR19745131	PRJNA850121	KPD3	parasitized_D	orobanche	root	K	biotic
SRR19745132	PRJNA850121	KPD2	parasitized_D	orobanche	root	K	biotic
SRR19745133	PRJNA850121	KPD1	parasitized_D	orobanche	root	K	biotic
SRR19745134	PRJNA850121	MPA1	parasitized_A	orobanche	root	M	biotic
SRR19745135	PRJNA850121	KPC3	parasitized_C	orobanche	root	K	biotic
SRR19745136	PRJNA850121	KPC2	parasitized_C	orobanche	root	K	biotic
SRR19745137	PRJNA850121	KPC1	parasitized_C	orobanche	root	K	biotic
SRR19745138	PRJNA850121	KPB3	parasitized_B	orobanche	root	K	biotic
SRR19745139	PRJNA850121	KPB2	parasitized_B	orobanche	root	K	biotic
SRR19745140	PRJNA850121	KPB1	parasitized_B	orobanche	root	K	biotic
SRR19745141	PRJNA850121	KPA3	parasitized_A	orobanche	root	K	biotic
SRR19745142	PRJNA850121	KPA2	parasitized_A	orobanche	root	K	biotic
SRR19745143	PRJNA850121	KPA1	parasitized_A	orobanche	root	K	biotic
SRR19745144	PRJNA850121	KC3	control	orobanche	root	K	biotic
SRR19745145	PRJNA850121	GC3	control	orobanche	root	G	biotic
SRR19745146	PRJNA850121	KC2	control	orobanche	root	K	biotic
SRR19745147	PRJNA850121	KC1	control	orobanche	root	K	biotic
SRR19745148	PRJNA850121	MPE3	parasitized_E	orobanche	root	M	biotic
SRR19745149	PRJNA850121	MPE2	parasitized_E	orobanche	root	M	biotic
SRR19745150	PRJNA850121	MPE1	parasitized_E	orobanche	root	M	biotic
SRR19745151	PRJNA850121	MPD3	parasitized_D	orobanche	root	M	biotic
SRR19745152	PRJNA850121	MPD2	parasitized_D	orobanche	root	M	biotic
SRR19745153	PRJNA850121	MPD1	parasitized_D	orobanche	root	M	biotic
SRR19745154	PRJNA850121	MPC3	parasitized_C	orobanche	root	M	biotic
SRR19745155	PRJNA850121	MPC2	parasitized_C	orobanche	root	M	biotic
SRR19745156	PRJNA850121	GC2	control	orobanche	root	G	biotic
SRR19745157	PRJNA850121	GC1	control	orobanche	root	G	biotic
SRR21049834	PRJNA869183	WD_1	drought_water_deficit	drought	leaf	seedling	abiotic
SRR21049835	PRJNA869183	SD_3	drought_severe	drought	leaf	seedling	abiotic
SRR21049836	PRJNA869183	SD_2	drought_severe	drought	leaf	seedling	abiotic
SRR21049837	PRJNA869183	SD_1	drought_severe	drought	leaf	seedling	abiotic
SRR21049838	PRJNA869183	C32_3	cold_32h	cold	leaf	seedling	abiotic
SRR21049839	PRJNA869183	C32_2	cold_32h	cold	leaf	seedling	abiotic
SRR21049840	PRJNA869183	C32_1	cold_32h	cold	leaf	seedling	abiotic
SRR21049841	PRJNA869183	C16_3	cold_16h	cold	leaf	seedling	abiotic
SRR21049842	PRJNA869183	C16_2	cold_16h	cold	leaf	seedling	abiotic
SRR21049843	PRJNA869183	C16_1	cold_16h	cold	leaf	seedling	abiotic
SRR21049844	PRJNA869183	C8_3	cold_8h	cold	leaf	seedling	abiotic
SRR21049845	PRJNA869183	MD_3	drought_moderate	drought	leaf	seedling	abiotic
SRR21049846	PRJNA869183	C8_2	cold_8h	cold	leaf	seedling	abiotic
SRR21049847	PRJNA869183	C8_1	cold_8h	cold	leaf	seedling	abiotic
SRR21049848	PRJNA869183	C0_3	cold_0h	cold	leaf	seedling	abiotic
SRR21049849	PRJNA869183	C0_2	cold_0h	cold	leaf	seedling	abiotic
SRR21049850	PRJNA869183	C0_1	cold_0h	cold	leaf	seedling	abiotic
SRR21049851	PRJNA869183	SA4_3	salt_SA4	salt	leaf	seedling	abiotic
SRR21049852	PRJNA869183	SA4_2	salt_SA4	salt	leaf	seedling	abiotic
SRR21049853	PRJNA869183	SA4_1	salt_SA4	salt	leaf	seedling	abiotic
SRR21049854	PRJNA869183	SA3_3	salt_SA3	salt	leaf	seedling	abiotic
SRR21049855	PRJNA869183	SA3_2	salt_SA3	salt	leaf	seedling	abiotic
SRR21049856	PRJNA869183	MD_2	drought_moderate	drought	leaf	seedling	abiotic
SRR21049857	PRJNA869183	SA3_1	salt_SA3	salt	leaf	seedling	abiotic
SRR21049858	PRJNA869183	SA2_3	salt_SA2	salt	leaf	seedling	abiotic
SRR21049859	PRJNA869183	SA2_2	salt_SA2	salt	leaf	seedling	abiotic
SRR21049860	PRJNA869183	SA2_1	salt_SA2	salt	leaf	seedling	abiotic
SRR21049861	PRJNA869183	SA1_3	salt_SA1	salt	leaf	seedling	abiotic
SRR21049862	PRJNA869183	SA1_2	salt_SA1	salt	leaf	seedling	abiotic
SRR21049863	PRJNA869183	SA1_1	salt_SA1	salt	leaf	seedling	abiotic
SRR21049864	PRJNA869183	NaCl_3	salt_NaCl	salt	leaf	seedling	abiotic
SRR21049865	PRJNA869183	NaCl_2	salt_NaCl	salt	leaf	seedling	abiotic
SRR21049866	PRJNA869183	NaCl_1	salt_NaCl	salt	leaf	seedling	abiotic
SRR21049867	PRJNA869183	MD_1	drought_moderate	drought	leaf	seedling	abiotic
SRR21049868	PRJNA869183	CK_3	control	control	leaf	seedling	abiotic
SRR21049869	PRJNA869183	CK_2	control	control	leaf	seedling	abiotic
SRR21049870	PRJNA869183	CK_1	control	control	leaf	seedling	abiotic
SRR21049871	PRJNA869183	HT32_3	heat_32h	heat	leaf	seedling	abiotic
SRR21049872	PRJNA869183	HT32_2	heat_32h	heat	leaf	seedling	abiotic
SRR21049873	PRJNA869183	HT32_1	heat_32h	heat	leaf	seedling	abiotic
SRR21049874	PRJNA869183	HT16_3	heat_16h	heat	leaf	seedling	abiotic
SRR21049875	PRJNA869183	HT16_2	heat_16h	heat	leaf	seedling	abiotic
SRR21049876	PRJNA869183	HT16_1	heat_16h	heat	leaf	seedling	abiotic
SRR21049877	PRJNA869183	HT8_3	heat_8h	heat	leaf	seedling	abiotic
SRR21049878	PRJNA869183	ND_3	drought_normal	drought	leaf	seedling	abiotic
SRR21049879	PRJNA869183	HT8_2	heat_8h	heat	leaf	seedling	abiotic
SRR21049880	PRJNA869183	HT8_1	heat_8h	heat	leaf	seedling	abiotic
SRR21049881	PRJNA869183	HT4_3	heat_4h	heat	leaf	seedling	abiotic
SRR21049882	PRJNA869183	HT4_2	heat_4h	heat	leaf	seedling	abiotic
SRR21049883	PRJNA869183	HT4_1	heat_4h	heat	leaf	seedling	abiotic
SRR21049884	PRJNA869183	HT0_3	heat_0h	heat	leaf	seedling	abiotic
SRR21049885	PRJNA869183	HT0_2	heat_0h	heat	leaf	seedling	abiotic
SRR21049886	PRJNA869183	HT0_1	heat_0h	heat	leaf	seedling	abiotic
SRR21049887	PRJNA869183	WD_3	drought_water_deficit	drought	leaf	seedling	abiotic
SRR21049888	PRJNA869183	WD_2	drought_water_deficit	drought	leaf	seedling	abiotic
SRR21049889	PRJNA869183	ND_2	drought_normal	drought	leaf	seedling	abiotic
SRR21049890	PRJNA869183	ND_11	drought_normal	drought	leaf	seedling	abiotic
SRR22540857	PRJNA908908	C6_infected_rep3	sclerotinia	sclerotinia	leaf	C6_DR	biotic
SRR22540858	PRJNA908908	C6_infected_rep2	sclerotinia	sclerotinia	leaf	C6_DR	biotic
SRR22540859	PRJNA908908	C6_infected_rep1	sclerotinia	sclerotinia	leaf	C6_DR	biotic
SRR22540860	PRJNA908908	C6_mock_control_rep3	control	sclerotinia	leaf	C6_DR	biotic
SRR22540861	PRJNA908908	C6_mock_control_rep2	control	sclerotinia	leaf	C6_DR	biotic
SRR22540862	PRJNA908908	C6_mock_control_rep1	control	sclerotinia	leaf	C6_DR	biotic
SRR22540863	PRJNA908908	B728_infected_rep3	sclerotinia	sclerotinia	leaf	B728_DS	biotic
SRR22540864	PRJNA908908	B728_infected_rep2	sclerotinia	sclerotinia	leaf	B728_DS	biotic
SRR22540865	PRJNA908908	B728_infected_rep1	sclerotinia	sclerotinia	leaf	B728_DS	biotic
SRR22540866	PRJNA908908	B728_mock_control_rep3	control	sclerotinia	leaf	B728_DS	biotic
SRR22540867	PRJNA908908	B728_mock_control_rep2	control	sclerotinia	leaf	B728_DS	biotic
SRR22540868	PRJNA908908	B728_mock_control_rep1	control	sclerotinia	leaf	B728_DS	biotic
SRR26867805	PRJNA1041959	B72L1	drought_PEG_72h	drought	leaf	K55	abiotic
