ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	contrast	ontology
GO:0071554	cell wall organization or biogenesis	128/2373	317/11210	2.85719017744333e-15	5.52009142282051e-12	4.78203408645778e-12	AT2G46770/AT1G32640/AT2G45220/AT4G19410/AT5G13870/AT2G38080/AT2G39700/AT3G05620/AT5G46330/AT1G05850/AT2G21140/AT4G20170/AT5G20950/AT5G60920/AT1G07410/AT1G32170/AT3G47380/AT1G12260/AT5G53370/AT5G23870/AT1G69530/AT1G68560/AT1G65680/AT5G62360/AT4G07960/AT1G10070/AT5G09760/AT1G21310/AT2G44745/AT1G02730/AT2G36870/AT5G22940/AT1G79620/AT4G24910/AT5G16490/AT4G14130/AT3G05910/AT1G58370/AT2G40610/AT3G02230/AT5G15630/AT2G03090/AT1G75500/AT4G31500/AT3G12500/AT3G14310/AT2G37090/AT2G36570/AT3G19820/AT4G02320/AT1G02640/AT2G38320/AT5G03170/AT5G64570/AT2G41480/AT3G54420/AT1G51630/AT1G20190/AT5G65730/AT5G04885/AT5G67210/AT5G54690/AT5G26670/AT2G31210/AT2G18950/AT2G06850/AT1G23200/AT1G05310/AT5G02260/AT1G70370/AT1G73140/AT2G04780/AT1G70710/AT3G26610/AT1G78580/AT5G49360/AT4G00730/AT5G01360/AT4G23990/AT1G64440/AT5G51490/AT1G79500/AT2G28110/AT3G55990/AT1G62760/AT5G56320/AT5G06610/AT5G66460/AT3G03220/AT5G65270/AT5G15740/AT1G24100/AT4G03210/AT5G51500/AT3G28180/AT2G39770/AT2G32540/AT5G62880/AT5G47500/AT1G14720/AT1G78060/AT4G28250/AT5G19390/AT2G40320/AT2G20520/AT3G03050/AT3G45970/AT2G41850/AT3G57510/AT3G08500/AT3G24130/AT1G09610/AT2G14620/AT4G24000/AT1G33800/AT5G15490/AT3G18660/AT4G18780/AT4G28500/AT2G32530/AT2G26330/AT4G25810/AT5G17420/AT4G39010/AT1G66810/AT1G19300/AT4G26850/AT1G11545	128	1041:PEG	BP
GO:0019748	secondary metabolic process	78/2373	190/11210	3.21585424018873e-10	3.10651519602232e-07	2.69116223257899e-07	AT2G46770/AT1G32640/AT4G32980/AT2G29420/AT3G09270/AT2G38080/AT5G52020/AT1G05850/AT4G37400/AT4G37990/AT5G60020/AT2G38470/AT5G05340/AT5G15210/AT3G03190/AT5G54160/AT4G12910/AT5G62470/AT1G04770/AT3G56400/AT5G13930/AT4G37750/AT3G12203/AT3G11980/AT4G31500/AT5G48930/AT3G19820/AT1G78380/AT5G64120/AT2G41480/AT4G34050/AT2G03440/AT3G52430/AT3G12220/AT1G18590/AT5G66390/AT1G52340/AT1G17840/AT3G53480/AT4G30210/AT4G33790/AT5G48100/AT2G40890/AT3G13610/AT4G27260/AT5G51990/AT1G64670/AT4G01070/AT2G44450/AT5G41240/AT1G68320/AT4G13430/AT5G03260/AT3G26744/AT1G24100/AT5G48850/AT1G80360/AT1G32100/AT4G31940/AT4G23690/AT1G10370/AT1G61590/AT1G68360/AT2G37040/AT2G22840/AT1G61810/AT4G22880/AT1G33800/AT2G02540/AT1G04880/AT4G18780/AT4G02520/AT4G37260/AT3G12900/AT4G30550/AT1G02930/AT5G65640/AT1G24625	78	1041:PEG	BP
GO:0042445	hormone metabolic process	42/2373	83/11210	2.66257704461276e-09	1.71469961673062e-06	1.48543771962607e-06	AT1G48410/AT5G06300/AT2G37210/AT4G24670/AT5G05730/AT5G54160/AT1G14130/AT1G44350/AT3G08510/AT4G37750/AT1G75500/AT4G31500/AT2G23260/AT3G19820/AT3G63110/AT1G48910/AT3G13730/AT4G13260/AT2G26710/AT1G50430/AT5G14400/AT5G25620/AT3G02580/AT4G37650/AT3G05290/AT5G38970/AT2G03760/AT5G17300/AT4G35160/AT5G05690/AT1G68460/AT1G80360/AT5G54140/AT3G30180/AT5G14420/AT5G56970/AT5G21482/AT1G73340/AT1G75450/AT3G46110/AT5G43270/AT4G35190	42	1041:PEG	BP
GO:0071669	plant-type cell wall organization or biogenesis	73/2373	185/11210	9.17395924876765e-09	4.43102231715477e-06	3.83857768566857e-06	AT2G46770/AT1G32640/AT2G38080/AT2G39700/AT2G21140/AT5G60920/AT3G47380/AT1G12260/AT1G69530/AT1G65680/AT5G62360/AT1G10070/AT1G21310/AT2G44745/AT1G02730/AT1G79620/AT4G24910/AT5G16490/AT2G40610/AT3G02230/AT5G15630/AT2G03090/AT1G75500/AT2G37090/AT2G36570/AT3G19820/AT5G03170/AT2G41480/AT1G51630/AT1G20190/AT5G67210/AT2G06850/AT5G02260/AT1G70370/AT2G04780/AT3G26610/AT1G78580/AT4G00730/AT5G01360/AT4G23990/AT1G64440/AT1G79500/AT2G28110/AT1G62760/AT5G56320/AT5G06610/AT5G66460/AT3G03220/AT5G15740/AT4G03210/AT2G32540/AT5G62880/AT4G28250/AT5G19390/AT2G40320/AT2G20520/AT3G03050/AT3G45970/AT2G41850/AT3G57510/AT3G08500/AT1G09610/AT4G24000/AT1G33800/AT5G15490/AT3G18660/AT4G18780/AT4G28500/AT2G32530/AT2G26330/AT5G17420/AT4G39010/AT1G66810	73	1041:PEG	BP
GO:0010410	hemicellulose metabolic process	35/2373	66/11210	1.16166200805004e-08	4.48866199910536e-06	3.8885107216833e-06	AT5G13870/AT5G20950/AT1G32170/AT1G68560/AT2G36870/AT5G22940/AT4G24910/AT4G14130/AT1G58370/AT2G37090/AT1G02640/AT2G38320/AT5G64570/AT5G65730/AT5G04885/AT5G67210/AT5G54690/AT2G06850/AT1G73140/AT5G49360/AT5G01360/AT1G64440/AT2G28110/AT3G55990/AT4G03210/AT1G14720/AT1G78060/AT2G40320/AT1G09610/AT2G14620/AT1G33800/AT3G18660/AT4G25810/AT1G19300/AT1G11545	35	1041:PEG	BP
GO:0045229	external encapsulating structure organization	72/2373	187/11210	3.8342689399854e-08	1.2346345986753e-05	1.06955923062751e-05	AT2G45220/AT4G19410/AT2G39700/AT3G05620/AT5G46330/AT2G21140/AT5G60920/AT5G53370/AT5G23870/AT1G69530/AT1G65680/AT5G62360/AT4G20050/AT4G07960/AT5G09760/AT1G21310/AT1G70170/AT5G16490/AT3G05910/AT2G40610/AT5G15630/AT3G11980/AT2G03090/AT4G31500/AT3G14310/AT4G02320/AT2G41480/AT1G51630/AT1G20190/AT5G54690/AT5G26670/AT2G31210/AT4G20460/AT2G18950/AT1G23200/AT1G05310/AT5G02260/AT1G70370/AT1G70710/AT3G26610/AT4G00730/AT5G01360/AT5G51490/AT4G16640/AT1G79500/AT5G56320/AT5G06610/AT5G66460/AT3G03220/AT5G15740/AT1G24100/AT5G51500/AT3G28180/AT5G05690/AT2G39350/AT5G62880/AT5G47500/AT4G28250/AT3G45970/AT2G41850/AT4G35420/AT3G57510/AT1G69500/AT3G24130/AT4G39400/AT3G07390/AT5G15490/AT2G26330/AT5G17420/AT4G39010/AT1G19300/AT4G26850	72	1041:PEG	BP
GO:0010383	cell wall polysaccharide metabolic process	43/2373	94/11210	7.90544022445986e-08	2.18190150195092e-05	1.8901729258483e-05	AT5G13870/AT5G20950/AT5G60920/AT1G32170/AT1G68560/AT2G36870/AT5G22940/AT4G24910/AT4G14130/AT1G58370/AT5G15630/AT2G37090/AT1G02640/AT2G38320/AT5G64570/AT1G51630/AT5G65730/AT5G04885/AT5G67210/AT5G54690/AT2G06850/AT1G73140/AT5G49360/AT5G01360/AT1G64440/AT1G79500/AT2G28110/AT3G55990/AT5G06610/AT5G15740/AT4G03210/AT5G62880/AT1G14720/AT1G78060/AT2G40320/AT1G09610/AT2G14620/AT1G33800/AT3G18660/AT4G25810/AT5G17420/AT1G19300/AT1G11545	43	1041:PEG	BP
GO:0071555	cell wall organization	61/2373	153/11210	9.67678243092194e-08	2.33694295706765e-05	2.02448474541656e-05	AT2G45220/AT4G19410/AT2G39700/AT3G05620/AT5G46330/AT2G21140/AT5G60920/AT5G53370/AT5G23870/AT1G69530/AT1G65680/AT5G62360/AT4G07960/AT5G09760/AT1G21310/AT5G16490/AT3G05910/AT2G40610/AT5G15630/AT2G03090/AT4G31500/AT3G14310/AT4G02320/AT2G41480/AT1G51630/AT1G20190/AT5G54690/AT5G26670/AT2G31210/AT2G18950/AT1G23200/AT1G05310/AT5G02260/AT1G70370/AT1G70710/AT3G26610/AT4G00730/AT5G01360/AT5G51490/AT1G79500/AT5G56320/AT5G06610/AT5G66460/AT3G03220/AT5G15740/AT1G24100/AT5G51500/AT3G28180/AT5G62880/AT5G47500/AT4G28250/AT3G45970/AT2G41850/AT3G57510/AT3G24130/AT5G15490/AT2G26330/AT5G17420/AT4G39010/AT1G19300/AT4G26850	61	1041:PEG	BP
GO:0009828	plant-type cell wall loosening	13/2373	15/11210	1.13462415091722e-07	2.43565984396897e-05	2.11000280696887e-05	AT2G39700/AT1G69530/AT1G65680/AT2G40610/AT2G03090/AT1G20190/AT5G02260/AT5G56320/AT5G66460/AT3G03220/AT4G28250/AT3G45970/AT4G39010	13	1041:PEG	BP
GO:0044036	cell wall macromolecule metabolic process	47/2373	109/11210	1.84636367090069e-07	3.56717461218013e-05	3.09022972287589e-05	AT5G13870/AT1G05850/AT5G20950/AT5G60920/AT1G32170/AT1G68560/AT2G36870/AT5G22940/AT4G24910/AT4G14130/AT1G58370/AT5G15630/AT3G12500/AT2G37090/AT1G02640/AT2G38320/AT5G64570/AT3G54420/AT1G51630/AT5G65730/AT5G04885/AT5G67210/AT5G54690/AT2G06850/AT1G73140/AT5G49360/AT5G01360/AT1G64440/AT1G79500/AT2G28110/AT3G55990/AT5G06610/AT5G15740/AT4G03210/AT2G39770/AT5G62880/AT1G14720/AT1G78060/AT2G40320/AT1G09610/AT2G14620/AT1G33800/AT3G18660/AT4G25810/AT5G17420/AT1G19300/AT1G11545	47	1041:PEG	BP
