module	trait	correlation	pvalue
ME12	drought	0.816863471184002	1.29308456985582e-10
ME12	cold	0.269235216599635	0.0929614588744897
ME12	salt	-0.49411166142375	0.00119327825109451
ME12	control	-0.252677891746484	0.115707776411925
ME12	heat	-0.39442203784379	0.0117865213226119
ME15	drought	0.549029989798416	0.000243865712150805
ME15	cold	-0.128533009671298	0.429280519589719
ME15	salt	-0.571349431472687	0.000117836242191181
ME15	control	-0.396917024444471	0.0112175422011112
ME15	heat	0.214606304982189	0.183582564954295
ME26	drought	0.654899067623779	4.54139426530805e-06
ME26	cold	-0.00824861037952853	0.959711740185677
ME26	salt	-0.168620786125721	0.29829102203783
ME26	control	-0.426871111877468	0.0060147485000641
ME26	heat	-0.250835749125318	0.118477462234694
ME1	drought	0.742299221151372	4.19456384153566e-08
ME1	cold	-0.54944182091371	0.000240725926849603
ME1	salt	-0.189494379528309	0.24155382311788
ME1	control	-0.312443631809479	0.0496627882479212
ME1	heat	-0.0849979151448534	0.602037393498523
ME4	drought	0.798044567092495	6.95398083860931e-10
ME4	cold	-0.201783104884752	0.211807167211086
ME4	salt	0.0456620593228127	0.779645884504892
ME4	control	0.00552601741210458	0.973003487080334
ME4	heat	-0.684470025251822	1.11385487936712e-06
ME27	drought	0.580865181071667	8.50289557858566e-05
ME27	cold	0.00840267319017177	0.958959890703846
ME27	salt	-0.370070384666279	0.0187510586854095
ME27	control	0.0329155044000794	0.840206629718967
ME27	heat	-0.281858468113581	0.0780654954369829
ME18	drought	-0.406059057462263	0.0093282595629016
ME18	cold	0.797165117346295	7.49022825042116e-10
ME18	salt	-0.368231481351553	0.0193942308894622
ME18	control	0.160520796149755	0.322435453928426
ME18	heat	0.152335912548993	0.348039795126233
ME21	drought	-0.0423224052134907	0.79540479062393
ME21	cold	0.581532484726368	8.3073696835382e-05
ME21	salt	-0.196252407576881	0.224863953128151
ME21	control	0.336814665984022	0.0335709696380522
ME21	heat	-0.305543619314813	0.0552022320200155
ME2	drought	-0.614293016146903	2.482811625394e-05
ME2	cold	0.644565065945967	7.16413858816798e-06
ME2	salt	0.16670513901773	0.303893646473015
ME2	control	0.309941847616248	0.0516170976024562
ME2	heat	-0.0686745074957182	0.673710775538368
ME6	drought	0.106166150663585	0.514395668077307
ME6	cold	0.37956509641836	0.0157080726483374
ME6	salt	0.256877916506366	0.109575946536011
ME6	control	0.344811373666184	0.0293361711919328
ME6	heat	-0.696209741999848	6.08937687363474e-07
ME23	drought	0.212710816170483	0.187576822929025
ME23	cold	0.251288581805606	0.117792042139903
ME23	salt	-0.0591849956772973	0.716778636186579
ME23	control	-0.0258709029232589	0.874094420415096
ME23	heat	-0.277535003023323	0.082941182966266
ME29	drought	-0.154487441972768	0.34119215637969
ME29	cold	0.356021210562272	0.0241508555447056
ME29	salt	-0.422695671490513	0.00658257001708333
ME29	control	-0.120031842337292	0.460666956410467
ME29	heat	0.349597027044463	0.0270199909355597
ME19	drought	0.480729350331315	0.00169042228076369
ME19	cold	0.255862588212059	0.111035169546884
ME19	salt	-0.271060813810055	0.0906811789147602
ME19	control	-0.078547866121089	0.629967246043601
ME19	heat	-0.33877106003411	0.0324912027505509
ME7	drought	0.26168845677915	0.102859288752978
ME7	cold	0.804458004579254	4.00034487650353e-10
ME7	salt	-0.372335343709411	0.0179835676274421
ME7	control	-0.142028132014347	0.381995980086828
ME7	heat	-0.315878101431871	0.047077362030757
ME8	drought	0.429926129785263	0.0056265922050417
