gene_id	product	subfamily	Cold_LFC	Cold_padj	Heat_LFC	Heat_padj	Drought_869_LFC	Drought_869_padj	Salt_NaCl_LFC	Salt_NaCl_padj	Rehydration_LFC	Rehydration_padj	Drought_7d_LFC	Drought_7d_padj	Drought_14d_LFC	Drought_14d_padj	Drought_21d_LFC	Drought_21d_padj	PEG_72h_LFC	PEG_72h_padj	Flooding_LFC	Flooding_padj	Sclerotinia_LFC	Sclerotinia_padj	Orobanche_A_LFC	Orobanche_A_padj	Orobanche_B_LFC	Orobanche_B_padj	Orobanche_C_LFC	Orobanche_C_padj	Orobanche_D_LFC	Orobanche_D_padj	Orobanche_E_LFC	Orobanche_E_padj
LOC110875755	aquaporin NIP1-1	NIP	-0.690933	0.111567	-0.00559397	0.992464	-0.0098691	0.997458	1.73348	0.000359116	0.272308	0.910527	-1.01709	0.197629	2.12655	0.00149821	1.3631	0.0914918	0.619888	8.45097e-05	-0.050941	0.803944	-0.963973	7.592e-05	0.309586	0.578907	0.439744	0.236368	0.330054	0.382564	0.573912	0.0922713	-0.227605	0.581003
LOC110875737	probable aquaporin TIP1-1	TIP	1.79756	0.000227247	0.512586	0.101412	0.00838007	0.997482	-0.449071	0.582005	0.417559	0.669505	-2.51832	0.00197843	-3.92433	3.08092e-07	-2.96752	0.000449151	-1.49871	0.00462642	-0.636761	0.0535436	-6.07803	7.16408e-30	0.874154	0.74466	1.31263	0.420542	1.46157	0.336531	2.47406	0.0714667	0.653268	0.721157
LOC110875557	aquaporin PIP2-2	PIP	-1.99143	1.4927e-10	0.172829	0.757806	0.188577	0.949632	-1.76099	6.74436e-08	0.396609	0.620291	-1.51201	0.000107826	0.459641	0.279605	-0.146838	0.819361	0.223626	0.332186	0.0185582	0.937545	1.21985	3.85252e-06	0.0978525	0.859353	-0.252678	0.377758	0.510218	0.0373704	-0.117076	0.71608	-0.229117	0.414246
LOC110878958	aquaporin SIP1-1	SIP	-0.297436	0.459218	-0.0364235	0.912139	-0.0573677	0.963731	1.20826	1.16385e-05	0.00526432	0.997996	0.501064	0.388375	1.74039	0.000209421	0.771763	0.196058	0.17627	0.267441	0.0538581	0.696534	-0.287358	0.431541	0.309331	0.164578	0.273207	0.145197	0.142865	0.484345	0.112163	0.603203	-0.114194	0.597482
LOC110937325	aquaporin PIP1-3	PIP	2.24948	2.91001e-10	0.785206	0.29719	0.550077	0.540882	-0.391219	0.275103	0.149031	0.945714	0.0625795	0.959172	-0.777275	0.367915	-2.99369	0.000309027	-0.0942547	0.83281	0.057014	0.90146	3.7262	1.7157e-33	-0.588293	0.223439	-0.62645	0.104711	0.395524	0.328606	-0.537203	0.159317	-0.889454	0.0102068
LOC110937328	aquaporin PIP1-3	PIP	1.68632	0.170729	1.81851	0.0396049	-0.389693	0.944394	-0.64482	0.698986	0.141842	0.980995	-2.40459	0.00780606	-1.94727	0.0248236	-1.70516	0.0924693	-2.38066	1.18216e-07	0.0614103	0.911905	4.84696	1.10392e-09	-0.830415	0.17093	-0.750796	0.138856	-0.216845	0.726534	-1.30364	0.00443591	-1.75188	4.79452e-05
LOC110906934	aquaporin PIP2-1	PIP	NA	NA	NA	NA	-1.23197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.148894	0.820305	-0.307236	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC110927047	aquaporin TIP1-1	TIP	-0.760655	0.162742	0.171736	0.403993	0.109018	0.97776	0.340119	0.364659	0.293783	0.641442	-0.223632	0.692861	0.124782	0.818379	-1.15196	0.0155717	-0.144126	0.776846	-0.563563	1.06091e-05	0.781497	0.0767668	0.0067842	0.998191	-0.350313	0.575287	0.0586242	0.937215	-0.407543	0.477253	-0.0221448	0.978242
LOC110930503	aquaporin PIP1-3	PIP	1.95985	4.85513e-13	-0.310614	0.343434	0.206476	0.849647	0.169212	0.574464	-0.446043	0.275355	-0.202112	0.678534	-0.640563	0.096383	-1.30841	0.000942835	0.130801	0.667816	-0.134004	0.561133	0.488068	0.0836714	0.485874	0.110698	-0.833508	0.000545609	-0.294027	0.279318	-0.68717	0.0042788	-1.07328	1.21024e-06
LOC110930648	probable aquaporin TIP-type	TIP	1.84232	0.0048076	-2.9315	NA	1.41389	0.536513	-0.896176	0.257189	-0.519425	0.927145	-0.266439	0.709453	-0.759329	0.186118	-0.260342	0.760571	-0.404381	0.667879	0.404707	0.131839	-0.381978	0.0969578	-0.128358	0.924566	-1.00564	0.0703706	-0.673986	0.239318	-0.761635	0.17394	-1.58051	0.00133684
