ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	contrast	ontology
GO:0010035	response to inorganic substance	212/3300	484/11533	2.52357079530887e-13	5.14303728083947e-10	4.31663425513359e-10	AT5G59320/AT1G02930/AT1G61120/AT3G51860/AT1G09340/AT1G53540/AT3G49260/AT1G32450/AT2G37170/AT1G51340/AT3G45140/AT2G05620/AT1G52340/AT2G35930/AT5G06530/AT5G25620/AT3G16857/AT1G15360/AT5G63160/AT5G14420/AT1G62400/AT1G27730/AT2G26560/AT4G36020/AT1G78080/AT4G24020/AT1G12520/AT4G00430/AT2G37040/AT2G28190/AT1G05850/AT3G23920/AT3G24500/AT4G31300/AT5G12020/AT4G08500/AT1G62280/AT2G26150/AT3G06930/AT4G31390/AT5G40010/AT4G31940/AT3G12490/AT1G54160/AT1G52760/AT1G15690/AT1G45249/AT4G08920/AT5G53550/AT2G30580/AT1G30100/AT1G03020/AT4G02280/AT4G02520/AT3G62950/AT2G46680/AT2G37770/AT3G21670/AT3G12900/AT1G61660/AT5G06760/AT3G46200/AT3G48670/AT2G40300/AT5G24030/AT3G48090/AT1G77120/AT1G32540/AT4G33010/AT3G16640/AT5G58070/AT5G24270/AT3G18490/AT4G27410/AT4G15680/AT1G31770/AT1G70520/AT1G65930/AT3G50980/AT5G17920/AT2G37430/AT2G41430/AT1G62660/AT3G56400/AT1G13440/AT1G69270/AT5G39040/AT1G68560/AT1G20440/AT2G33590/AT4G35090/AT1G79600/AT1G56600/AT1G75270/AT3G46620/AT3G10985/AT5G39000/AT1G32080/AT2G47900/AT5G55580/AT1G64750/AT4G32551/AT1G02730/AT4G26150/AT4G30960/AT2G39450/AT5G24090/AT5G44650/AT5G63980/AT4G39410/AT5G65140/AT3G02570/AT5G65730/AT5G67480/AT4G33950/AT3G17800/AT1G47128/AT1G56280/AT3G48360/AT5G50720/AT1G16060/AT1G15520/AT2G47800/AT3G05500/AT1G02820/AT2G47180/AT2G41870/AT4G39730/AT3G23250/AT5G26340/AT1G58440/AT2G26530/AT1G78380/AT2G21490/AT1G11755/AT5G56550/AT2G25180/AT2G06050/AT1G22810/AT1G78850/AT3G20660/AT5G55120/AT3G12630/AT3G49210/AT5G35630/AT1G54050/AT1G27320/AT1G12820/AT3G29320/AT2G01830/AT1G13740/AT3G02130/AT5G67030/AT5G66880/AT1G12940/AT1G48030/AT5G35220/AT2G37330/AT3G63520/AT5G13030/AT1G68090/AT1G52890/AT1G56190/AT1G64670/AT4G01370/AT3G23400/AT4G10250/AT4G20260/AT1G22990/AT2G17820/AT2G22125/AT5G64940/AT4G37790/AT5G14570/AT3G10550/AT3G10920/AT1G02860/AT1G21750/AT2G01980/AT5G65020/AT4G21870/AT5G17450/AT1G32640/AT2G33860/AT5G13750/AT2G32520/AT3G50310/AT5G67300/AT2G39770/AT3G19210/AT4G39090/AT5G23060/AT1G74910/AT4G34220/AT5G01820/AT2G41010/AT3G60320/AT1G02205/AT2G18170/AT1G73260/AT4G03240/AT1G05260/AT1G10370/AT5G40390/AT4G39950/AT4G20940/AT4G28300/AT2G42620/AT1G18390/AT3G61050/AT1G01470/AT1G70670	212	869:cold	BP
GO:0044262	cellular carbohydrate metabolic process	139/3300	296/11533	9.77929603103183e-12	9.96510265562144e-09	8.36387160548775e-09	AT4G32410/AT3G54050/AT5G22940/AT1G04770/AT1G05630/AT2G37090/AT3G16910/AT1G80460/AT4G08170/AT2G28110/AT2G36870/AT1G05850/AT3G23920/AT5G20280/AT5G19220/AT1G09610/AT4G22590/AT3G22190/AT1G15690/AT1G33800/AT1G78060/AT5G49720/AT5G24300/AT4G26260/AT4G13830/AT4G02280/AT4G18240/AT1G32900/AT2G32530/AT4G33820/AT5G06700/AT4G25810/AT5G17520/AT2G40320/AT3G06580/AT3G06483/AT4G10120/AT4G33330/AT5G42810/AT1G27680/AT5G63470/AT3G01090/AT1G43670/AT1G63180/AT2G19800/AT5G13870/AT5G17420/AT1G05470/AT5G03650/AT4G34860/AT3G25140/AT5G04885/AT5G10170/AT1G01050/AT4G39940/AT5G20950/AT3G03710/AT2G28315/AT5G60920/AT3G55830/AT3G55800/AT1G62660/AT5G51970/AT1G60140/AT1G67330/AT1G68560/AT2G28760/AT4G26690/AT3G15480/AT1G22100/AT3G06500/AT1G02730/AT4G09020/AT5G63980/AT5G65140/AT1G71890/AT5G65730/AT5G67230/AT5G67210/AT4G33950/AT5G15630/AT4G10260/AT5G41040/AT1G35910/AT5G64740/AT5G48850/AT2G20370/AT1G02640/AT3G08590/AT2G38320/AT3G10740/AT5G64570/AT3G21190/AT1G51630/AT3G43190/AT5G10560/AT5G48300/AT5G54690/AT4G14130/AT3G29320/AT1G10760/AT1G73140/AT3G14570/AT5G15740/AT4G39770/AT1G32170/AT5G49360/AT4G38190/AT5G01360/AT3G62720/AT4G23990/AT1G14520/AT3G61130/AT1G42430/AT3G23730/AT2G22125/AT5G62220/AT3G01040/AT3G01180/AT3G10940/AT1G03310/AT4G37800/AT1G68020/AT4G03210/AT5G17310/AT5G54390/AT2G39770/AT5G07720/AT2G32540/AT5G05170/AT3G59100/AT1G14720/AT2G01940/AT4G18010/AT5G40390/AT3G01640/AT3G21720/AT3G02870/AT1G10550	139	869:cold	BP
GO:0009266	response to temperature stimulus	180/3300	414/11533	3.67988090093113e-11	2.49986575869922e-08	2.09817770667126e-08	AT4G02330/AT3G22830/AT3G08920/AT2G39730/AT3G09350/AT3G54050/AT1G09340/AT5G13650/AT2G28840/AT1G53540/AT3G07370/AT3G49260/AT5G20720/AT2G43130/AT3G24320/AT1G52340/AT2G25790/AT1G27730/AT3G47520/AT4G36020/AT1G78080/AT2G36400/AT2G37220/AT1G05850/AT3G24520/AT3G24500/AT5G12020/AT4G08500/AT1G10930/AT5G49910/AT4G34150/AT2G03500/AT5G54470/AT5G55160/AT5G56000/AT2G26150/AT3G22370/AT5G40010/AT4G14690/AT3G22840/AT1G21910/AT3G12490/AT2G26640/AT1G50500/AT5G47550/AT5G47910/AT1G47490/AT1G03680/AT3G25230/AT5G46170/AT5G50950/AT2G47730/AT4G02520/AT1G29390/AT3G53990/AT5G17710/AT2G37770/AT1G05200/AT5G06760/AT1G07890/AT3G12580/AT4G30200/AT2G40140/AT1G42970/AT3G17020/AT1G77490/AT3G26744/AT4G26850/AT5G56040/AT1G77000/AT1G77120/AT5G65940/AT4G26840/AT2G24500/AT3G61470/AT5G58070/AT5G04590/AT2G36530/AT4G38840/AT1G54380/AT4G25470/AT1G20823/AT3G50980/AT5G03280/AT1G13980/AT5G15450/AT3G55580/AT5G05580/AT1G69270/AT1G20440/AT2G33590/AT4G35090/AT1G56600/AT2G40340/AT4G27670/AT1G32060/AT3G51780/AT3G47470/AT2G18950/AT5G24090/AT5G10010/AT4G38580/AT5G44650/AT1G66080/AT5G63980/AT1G71960/AT1G67090/AT1G01060/AT2G46830/AT3G50330/AT1G45474/AT1G74310/AT3G48360/AT5G50720/AT5G07350/AT1G15520/AT1G76560/AT2G22540/AT2G47180/AT5G02500/AT4G39730/AT3G23250/AT5G09590/AT1G80030/AT2G21490/AT2G26250/AT5G20250/AT1G36160/AT2G22840/AT3G20740/AT1G16670/AT5G17690/AT4G29520/AT1G54050/AT1G27320/AT3G29320/AT3G54890/AT1G10760/AT1G53240/AT2G16280/AT3G02130/AT5G67030/AT5G53170/AT5G06290/AT1G13080/AT1G68090/AT1G56070/AT4G19020/AT4G01370/AT4G10250/AT4G20260/AT3G01570/AT5G22060/AT5G62390/AT5G52640/AT5G65020/AT4G21870/AT1G64520/AT1G23740/AT1G68530/AT3G50310/AT3G50260/AT5G67300/AT2G39770/AT1G15950/AT5G42900/AT5G01820/AT1G25450/AT3G16770/AT2G25140/AT1G05260/AT2G16500/AT2G21060/AT2G20990/AT3G01500/AT2G21320/AT4G28140/AT3G02870/AT2G46210/AT2G03440	180	869:cold	BP
GO:0008610	lipid biosynthetic process	175/3300	403/11533	7.84323965047521e-11	3.22157306311117e-08	2.70391830357711e-08	AT2G48030/AT1G61120/AT5G23960/AT3G14490/AT2G38050/AT3G10230/AT3G12120/AT2G29390/AT3G45140/AT2G43710/AT1G52340/AT3G53130/AT1G15550/AT3G25585/AT3G47630/AT3G03990/AT1G19440/AT1G12640/AT4G32810/AT4G15560/AT3G25830/AT2G24210/AT4G31390/AT1G31910/AT1G78950/AT1G32200/AT1G20510/AT1G32440/AT4G17600/AT2G26640/AT1G17420/AT5G42650/AT4G13830/AT1G30100/AT2G34500/AT2G45970/AT2G45690/AT2G45150/AT3G07700/AT5G53390/AT1G62430/AT2G26670/AT3G25810/AT2G07050/AT5G04760/AT5G61670/AT5G25900/AT4G24160/AT3G26744/AT4G27030/AT1G74320/AT4G12110/AT5G21050/AT3G61680/AT2G32720/AT4G32980/AT1G11680/AT4G36810/AT3G54010/AT3G18000/AT5G42150/AT1G42470/AT5G42000/AT3G21420/AT5G17230/AT3G02580/AT3G03710/AT5G05580/AT5G63380/AT1G28100/AT1G68320/AT3G15850/AT3G45740/AT5G05350/AT2G28630/AT3G25180/AT5G62790/AT5G56610/AT2G19880/AT1G08510/AT2G26830/AT5G20410/AT2G18950/AT2G17570/AT5G63980/AT3G25780/AT5G65640/AT4G33950/AT1G75000/AT5G42870/AT5G42750/AT1G75020/AT5G07350/AT1G16060/AT2G41490/AT4G02780/AT1G02400/AT2G38670/AT4G03560/AT4G34640/AT2G20860/AT3G16785/AT3G06470/AT2G36690/AT1G58440/AT1G78510/AT1G30040/AT1G11755/AT1G49430/AT2G26250/AT3G14270/AT3G14205/AT2G06050/AT1G14290/AT1G36160/AT1G78440/AT5G57190/AT1G55020/AT1G61680/AT4G22330/AT4G13840/AT3G11980/AT4G29010/AT3G49210/AT1G15110/AT2G03890/AT3G58830/AT2G39290/AT2G16280/AT1G67080/AT5G67030/AT1G71010/AT3G19820/AT5G52920/AT3G11945/AT5G38020/AT1G56190/AT1G64670/AT5G46290/AT4G23850/AT5G47110/AT1G73600/AT5G16440/AT1G10830/AT2G32260/AT3G51520/AT5G64940/AT3G54320/AT4G37760/AT1G06520/AT4G34350/AT5G51310/AT4G01950/AT5G38970/AT1G76490/AT1G68530/AT1G54570/AT5G54390/AT4G25700/AT2G40690/AT4G14210/AT4G16760/AT1G02205/AT1G79460/AT5G13710/AT1G25450/AT4G36380/AT2G16530/AT1G20330/AT3G30180/AT3G01640/AT3G02870/AT2G32440/AT2G46210/AT2G03440	175	869:cold	BP
GO:0009611	response to wounding	84/3300	159/11533	9.45966572260819e-11	3.22157306311117e-08	2.70391830357711e-08	AT4G02260/AT1G61120/AT1G09340/AT3G48520/AT3G45140/AT1G05630/AT3G16857/AT1G27730/AT1G78080/AT4G08170/AT2G37040/AT5G46050/AT2G26690/AT4G08500/AT1G33980/AT2G24210/AT3G13790/AT5G18860/AT1G20510/AT3G54420/AT5G40990/AT1G17420/AT5G47910/AT5G42650/AT3G25230/AT1G30135/AT4G02020/AT4G20140/AT3G61060/AT4G21670/AT5G53750/AT4G15440/AT1G05200/AT5G48150/AT3G21240/AT1G80840/AT2G02220/AT2G30490/AT1G55480/AT5G08790/AT3G51480/AT5G03280/AT2G30020/AT4G32551/AT3G53260/AT5G09810/AT5G24090/AT1G76650/AT5G67480/AT3G17800/AT3G48360/AT3G12500/AT1G73080/AT2G47800/AT3G44540/AT2G25180/AT2G06050/AT5G13930/AT3G14840/AT1G55020/AT4G14720/AT1G19180/AT2G27690/AT1G74100/AT3G17860/AT4G39980/AT4G17980/AT5G43580/AT4G01370/AT2G32800/AT4G24220/AT2G18060/AT5G47240/AT2G21970/AT5G64930/AT4G37760/AT1G01720/AT1G32640/AT4G16760/AT1G17840/AT4G35770/AT1G73260/AT2G20990/AT1G01470	84	869:cold	BP
GO:0009414	response to water deprivation	121/3300	255/11533	9.48451343408588e-11	3.22157306311117e-08	2.70391830357711e-08	AT5G59320/AT1G02930/AT1G09340/AT2G37170/AT3G45140/AT2G05620/AT1G52340/AT2G35930/AT5G06530/AT5G25620/AT3G16857/AT1G15360/AT5G14420/AT1G27730/AT4G36020/AT1G78080/AT4G24020/AT4G00430/AT2G37040/AT1G05850/AT3G23920/AT3G24500/AT1G62280/AT4G31390/AT5G40010/AT3G12490/AT1G54160/AT1G15690/AT1G45249/AT4G08920/AT2G30580/AT1G30100/AT4G02280/AT2G46680/AT2G37770/AT1G61660/AT5G06760/AT5G24030/AT1G77120/AT3G16640/AT5G58070/AT3G18490/AT4G27410/AT3G50980/AT2G41430/AT1G62660/AT3G56400/AT1G69270/AT1G20440/AT2G33590/AT1G79600/AT1G56600/AT3G46620/AT1G32080/AT4G32551/AT1G02730/AT4G30960/AT5G24090/AT5G44650/AT5G63980/AT5G65730/AT4G33950/AT1G47128/AT1G56280/AT5G50720/AT1G16060/AT1G15520/AT2G47800/AT3G05500/AT1G02820/AT2G47180/AT2G41870/AT4G39730/AT3G23250/AT5G26340/AT1G58440/AT1G78380/AT2G21490/AT1G11755/AT2G25180/AT1G22810/AT3G20660/AT3G12630/AT3G49210/AT1G27320/AT3G29320/AT2G01830/AT1G13740/AT3G02130/AT5G67030/AT5G66880/AT3G63520/AT5G13030/AT1G68090/AT1G52890/AT1G64670/AT4G20260/AT2G17820/AT2G22125/AT4G37790/AT3G10550/AT5G65020/AT1G32640/AT2G33860/AT5G13750/AT3G50310/AT5G67300/AT4G39090/AT4G34220/AT5G01820/AT2G41010/AT1G02205/AT1G05260/AT1G10370/AT5G40390/AT4G39950/AT2G42620/AT1G18390/AT3G61050/AT1G01470/AT1G70670	121	869:cold	BP
GO:0009415	response to water	122/3300	259/11533	1.43359270204213e-10	3.79443187002116e-08	3.18472795247372e-08	AT5G59320/AT1G02930/AT1G09340/AT2G37170/AT3G45140/AT2G05620/AT1G52340/AT2G35930/AT5G06530/AT5G25620/AT3G16857/AT1G15360/AT5G14420/AT1G27730/AT4G36020/AT1G78080/AT4G24020/AT4G00430/AT2G37040/AT1G05850/AT3G23920/AT3G24500/AT1G62280/AT4G31390/AT5G40010/AT3G12490/AT1G54160/AT1G15690/AT1G45249/AT4G08920/AT2G30580/AT1G30100/AT4G02280/AT2G46680/AT2G37770/AT1G61660/AT5G06760/AT5G24030/AT1G77120/AT3G16640/AT5G58070/AT3G18490/AT4G27410/AT3G50980/AT2G41430/AT1G62660/AT3G56400/AT1G69270/AT1G20440/AT2G33590/AT1G79600/AT1G56600/AT3G46620/AT1G32080/AT4G32551/AT1G02730/AT4G30960/AT5G24090/AT5G44650/AT5G63980/AT5G65730/AT4G33950/AT1G47128/AT1G56280/AT5G50720/AT1G16060/AT1G15520/AT2G47800/AT3G05500/AT1G02820/AT2G47180/AT2G41870/AT4G39730/AT3G23250/AT5G26340/AT1G58440/AT1G78380/AT2G21490/AT1G11755/AT2G25180/AT1G22810/AT3G20660/AT3G12630/AT3G49210/AT1G27320/AT3G29320/AT2G01830/AT1G13740/AT3G02130/AT5G67030/AT5G66880/AT3G63520/AT5G13030/AT1G68090/AT1G52890/AT1G64670/AT4G20260/AT2G17820/AT2G22125/AT4G37790/AT3G10550/AT5G65020/AT1G32640/AT2G33860/AT5G13750/AT3G50310/AT5G67300/AT4G39090/AT4G34220/AT5G01820/AT2G41010/AT1G02205/AT1G05260/AT1G10370/AT5G40390/AT4G39950/AT4G28300/AT2G42620/AT1G18390/AT3G61050/AT1G01470/AT1G70670	122	869:cold	BP
GO:0036294	cellular response to decreased oxygen levels	75/3300	138/11533	1.67565686114771e-10	3.79443187002116e-08	3.18472795247372e-08	AT4G27450/AT4G33070/AT5G03380/AT1G27730/AT2G26560/AT5G64260/AT3G24500/AT5G12020/AT5G19120/AT1G03220/AT4G34150/AT5G54470/AT2G26150/AT1G09070/AT5G47910/AT5G45630/AT2G44800/AT2G47730/AT4G32480/AT5G35735/AT1G19250/AT2G40140/AT4G38470/AT4G24160/AT1G19530/AT1G77120/AT4G01250/AT4G10265/AT2G18670/AT4G30380/AT5G58070/AT1G76600/AT3G02040/AT1G23710/AT2G40000/AT2G41430/AT3G56400/AT1G13360/AT1G25550/AT2G33590/AT1G76650/AT1G66080/AT1G74310/AT1G76560/AT1G72360/AT1G78070/AT1G10140/AT4G34131/AT1G30040/AT5G20250/AT5G20150/AT3G43190/AT1G78850/AT5G24530/AT3G22550/AT5G39890/AT1G54050/AT3G03280/AT2G01150/AT1G53620/AT3G02550/AT3G23150/AT5G42200/AT4G10250/AT1G01720/AT3G03270/AT2G15890/AT2G41010/AT5G54960/AT3G60520/AT1G68620/AT1G14550/AT1G14540/AT1G13260/AT5G41080	75	869:cold	BP
GO:0071453	cellular response to oxygen levels	75/3300	138/11533	1.67565686114771e-10	3.79443187002116e-08	3.18472795247372e-08	AT4G27450/AT4G33070/AT5G03380/AT1G27730/AT2G26560/AT5G64260/AT3G24500/AT5G12020/AT5G19120/AT1G03220/AT4G34150/AT5G54470/AT2G26150/AT1G09070/AT5G47910/AT5G45630/AT2G44800/AT2G47730/AT4G32480/AT5G35735/AT1G19250/AT2G40140/AT4G38470/AT4G24160/AT1G19530/AT1G77120/AT4G01250/AT4G10265/AT2G18670/AT4G30380/AT5G58070/AT1G76600/AT3G02040/AT1G23710/AT2G40000/AT2G41430/AT3G56400/AT1G13360/AT1G25550/AT2G33590/AT1G76650/AT1G66080/AT1G74310/AT1G76560/AT1G72360/AT1G78070/AT1G10140/AT4G34131/AT1G30040/AT5G20250/AT5G20150/AT3G43190/AT1G78850/AT5G24530/AT3G22550/AT5G39890/AT1G54050/AT3G03280/AT2G01150/AT1G53620/AT3G02550/AT3G23150/AT5G42200/AT4G10250/AT1G01720/AT3G03270/AT2G15890/AT2G41010/AT5G54960/AT3G60520/AT1G68620/AT1G14550/AT1G14540/AT1G13260/AT5G41080	75	869:cold	BP
GO:0071456	cellular response to hypoxia	74/3300	136/11533	2.06078018318154e-10	4.19987001332398e-08	3.52501873438948e-08	AT4G27450/AT4G33070/AT5G03380/AT1G27730/AT2G26560/AT5G64260/AT3G24500/AT5G12020/AT5G19120/AT1G03220/AT4G34150/AT5G54470/AT2G26150/AT1G09070/AT5G47910/AT5G45630/AT2G44800/AT2G47730/AT4G32480/AT5G35735/AT1G19250/AT2G40140/AT4G38470/AT4G24160/AT1G19530/AT1G77120/AT4G01250/AT4G10265/AT2G18670/AT4G30380/AT5G58070/AT1G76600/AT3G02040/AT1G23710/AT2G40000/AT2G41430/AT3G56400/AT1G13360/AT1G25550/AT2G33590/AT1G76650/AT1G66080/AT1G74310/AT1G72360/AT1G78070/AT1G10140/AT4G34131/AT1G30040/AT5G20250/AT5G20150/AT3G43190/AT1G78850/AT5G24530/AT3G22550/AT5G39890/AT1G54050/AT3G03280/AT2G01150/AT1G53620/AT3G02550/AT3G23150/AT5G42200/AT4G10250/AT1G01720/AT3G03270/AT2G15890/AT2G41010/AT5G54960/AT3G60520/AT1G68620/AT1G14550/AT1G14540/AT1G13260/AT5G41080	74	869:cold	BP
