Contrast	BioProject	Total DEGs	Up	Down
Cold (8/16/32h vs 0h)	PRJNA869183	7195	4547	2648
Heat (4/8/16/32h vs 0h)	PRJNA869183	6064	3107	2957
Salt (NaCl vs control)	PRJNA869183	7470	3480	3990
Drought (stress vs normal)	PRJNA869183	83	13	70
Rehydration (vs severe)	PRJNA869183	127	67	60
Drought 7d (vs control)	PRJNA797473	7840	2555	5285
Drought 14d (vs control)	PRJNA797473	11673	4459	7214
Drought 21d (vs control)	PRJNA797473	4290	1902	2388
PEG 72h (vs control)	PRJNA1041959	5493	1912	3581
Flooding (vs control)	PRJNA492303	1671	594	1077
Sclerotinia (vs control)	PRJNA908908	9123	4616	4507
Orobanche stage A	PRJNA850121	963	641	322
Orobanche stage B	PRJNA850121	1997	1299	698
Orobanche stage C	PRJNA850121	2174	1604	570
Orobanche stage D	PRJNA850121	3691	2651	1040
Orobanche stage E	PRJNA850121	3509	2110	1399
