element	contrast	n	present_DE	present_notDE	absent_DE	absent_notDE	frac_DE_present	frac_DE_absent	odds_ratio	fisher_p	fisher_q	spearman_rho	spearman_p	spearman_q
ABRE	Drought_869	63	0	52	0	11	0	0	nan	1	1	-0.1245	0.331	0.7149
ABRE	Drought_7d	73	30	31	7	5	0.4918	0.5833	0.6912	0.7537	1	-0.1796	0.1285	0.4979
ABRE	Drought_14d	73	39	22	8	4	0.6393	0.6667	0.8864	1	1	-0.1296	0.2744	0.7149
ABRE	Drought_21d	71	23	36	3	9	0.3898	0.25	1.917	0.5151	1	-0.06006	0.6188	0.8588
ABRE	PEG_72h	71	18	42	3	8	0.3	0.2727	1.143	1	1	0.1908	0.1109	0.4979
ABRE	Salt_NaCl	64	22	31	4	7	0.4151	0.3636	1.242	1	1	-0.09275	0.466	0.8086
DRE_CRT	Cold	67	32	17	12	6	0.6531	0.6667	0.9412	1	1	-0.2004	0.1039	0.4979
DRE_CRT	Drought_869	63	0	47	0	16	0	0	nan	1	1	0.04153	0.7466	0.893
DRE_CRT	Drought_7d	73	22	29	15	7	0.4314	0.6818	0.354	0.07378	1	-0.2456	0.0362	0.4979
DRE_CRT	Drought_14d	73	33	18	14	8	0.6471	0.6364	1.048	1	1	-0.2381	0.04252	0.4979
DRE_CRT	Drought_21d	71	18	33	8	12	0.3529	0.4	0.8182	0.7869	1	-0.007327	0.9516	0.9834
DRE_CRT	PEG_72h	71	12	35	9	15	0.2553	0.375	0.5714	0.4101	1	-0.1299	0.2804	0.7149
LTR	Cold	67	20	13	24	10	0.6061	0.7059	0.641	0.4469	1	2.165e-05	0.9999	0.9999
MBS	Drought_869	63	0	49	0	14	0	0	nan	1	1	0.1229	0.3372	0.7149
MBS	Drought_7d	73	26	27	11	9	0.4906	0.55	0.7879	0.794	1	-0.02221	0.8521	0.9434
MBS	Drought_14d	73	33	20	14	6	0.6226	0.7	0.7071	0.5948	1	-0.06398	0.5907	0.8588
MBS	Drought_21d	71	22	31	4	14	0.4151	0.2222	2.484	0.168	1	0.03865	0.749	0.893
MBS	PEG_72h	71	14	38	7	12	0.2692	0.3684	0.6316	0.5577	1	-0.1966	0.1003	0.4979
HSE	Heat	62	1	1	10	50	0.5	0.1667	5	0.3258	1	-0.05611	0.6649	0.8588
ARE	Flooding	75	3	65	0	7	0.04412	0	inf	1	1	-0.1806	0.121	0.4979
W_box	Sclerotinia	69	19	50	0	0	0.2754	nan	nan	1	1	-0.08856	0.4693	0.8086
W_box	Orobanche_A	65	0	64	0	1	0	0	nan	1	1	-0.009822	0.9381	0.9834
W_box	Orobanche_B	65	19	45	0	1	0.2969	0	inf	1	1	0.06703	0.5958	0.8588
W_box	Orobanche_C	65	5	59	0	1	0.07812	0	inf	1	1	0.2298	0.0656	0.4979
W_box	Orobanche_D	69	4	64	1	0	0.05882	1	0	0.07246	1	0.1583	0.1938	0.6674
W_box	Orobanche_E	66	25	40	1	0	0.3846	1	0	0.3939	1	0.026	0.8358	0.9434
STRE	Cold	67	35	21	9	2	0.625	0.8182	0.3704	0.3069	1	-0.129	0.298	0.7149
STRE	Heat	62	10	42	1	9	0.1923	0.1	2.143	0.6743	1	0.05868	0.6505	0.8588
STRE	Drought_14d	73	37	24	10	2	0.6066	0.8333	0.3083	0.1921	1	-0.08598	0.4695	0.8086
STRE	Salt_NaCl	64	20	33	6	5	0.3774	0.5455	0.5051	0.3311	1	-0.07585	0.5514	0.8588
STRE	Sclerotinia	69	16	42	3	8	0.2759	0.2727	1.016	1	1	-0.1152	0.3459	0.7149
