chr1	chr2	species1	gene1	prot1	species2	gene2	prot2
Ha_NC_035433.2	Ha_NC_035434.2	Ha	LOC110875737	XP_021979635.1	Ha	LOC110927047	XP_022026331.1
Ha_NC_035433.2	Ha_NC_035439.2	Ha	LOC110875557	XP_021979449.1	Ha	LOC110908794	XP_022009469.1
Ha_NC_035433.2	Ha_NC_035443.2	Ha	LOC110875557	XP_021979449.1	Ha	LOC110890906	XP_035835924.1
Ha_NC_035433.2	Ha_NC_035445.2	Ha	LOC110875737	XP_021979635.1	Ha	LOC110898014	XP_022000445.1
Ha_NC_035433.2	Ha_NC_035445.2	Ha	LOC110878958	XP_021983051.1	Ha	LOC110898128	XP_022000573.1
Ha_NC_035434.2	Ha_NC_035438.2	Ha	LOC110937325	XP_022035417.1	Ha	LOC110864409	XP_021969156.1
Ha_NC_035434.2	Ha_NC_035445.2	Ha	LOC110927047	XP_022026331.1	Ha	LOC110898014	XP_022000445.1
Ha_NC_035434.2	Ha_NC_035445.2	Ha	LOC110937325	XP_022035417.1	Ha	LOC110897890	XP_022000317.1
Ha_NC_035434.2	Ha_NC_035445.2	Ha	LOC110937325	XP_022035417.1	Ha	LOC110899589	XP_022002167.1
Ha_NC_035434.2	Ha_NC_035449.2	Ha	LOC110937325	XP_022035417.1	Ha	LOC110923014	XP_022022901.1
Ha_NC_035435.2	Ha_NC_035445.2	Ha	LOC110930503	XP_022029508.1	Ha	LOC110899589	XP_022002167.1
Ha_NC_035435.2	Ha_NC_035445.2	Ha	LOC110930648	XP_022029689.1	Ha	LOC110899655	XP_022002237.1
Ha_NC_035435.2	Ha_NC_035445.2	Ha	LOC110930503	XP_022029508.1	Ha	LOC110897890	XP_022000317.1
Ha_NC_035436.2	Ha_NC_035438.2	Ha	LOC110938010	XP_022036172.1	Ha	LOC110865440	XP_021970374.1
Ha_NC_035436.2	Ha_NC_035447.2	Ha	LOC110933853	XP_022032747.1	Ha	LOC110911761	XP_022012102.1
Ha_NC_035437.2	Ha_NC_035440.2	Ha	LOC110939970	XP_022037229.1	Ha	LOC110872551	XP_021977057.1
Ha_NC_035437.2	Ha_NC_035444.2	Ha	LOC110939970	XP_022037229.1	Ha	LOC110896719	XP_021999580.1
Ha_NC_035438.2	Ha_NC_035445.2	Ha	LOC110864409	XP_021969156.1	Ha	LOC110897890	XP_022000317.1
Ha_NC_035438.2	Ha_NC_035445.2	Ha	LOC110864409	XP_021969156.1	Ha	LOC110899592	XP_022002168.1
Ha_NC_035438.2	Ha_NC_035449.2	Ha	LOC110864409	XP_021969156.1	Ha	LOC110923014	XP_022022901.1
Ha_NC_035438.2	Ha_NC_035449.2	Ha	LOC110872387	XP_021976874.1	Ha	LOC110926365	XP_022025807.1
Ha_NC_035439.2	Ha_NC_035441.2	Ha	LOC110868941	XP_021973917.1	Ha	LOC118481678	XP_035832764.1
Ha_NC_035439.2	Ha_NC_035446.2	Ha	LOC110889695	XP_021992949.1	Ha	LOC110868884	XP_021973843.1
Ha_NC_035439.2	Ha_NC_035446.2	Ha	LOC110868323	XP_021973148.1	Ha	LOC110904451	XP_022005990.1
Ha_NC_035439.2	Ha_NC_035446.2	Ha	LOC110868317	XP_021973144.1	Ha	LOC110904457	XP_022005993.1
Ha_NC_035439.2	Ha_NC_035446.2	Ha	LOC110908794	XP_022009469.1	Ha	LOC110904303	XP_022005838.1
Ha_NC_035439.2	Ha_NC_035446.2	Ha	LOC110868941	XP_021973917.1	Ha	LOC110904925	XP_022006482.1
Ha_NC_035439.2	Ha_NC_035446.2	Ha	LOC110868194	XP_021972988.1	Ha	LOC110905693	XP_022006941.1
Ha_NC_035440.2	Ha_NC_035444.2	Ha	LOC110872551	XP_021977057.1	Ha	LOC110896719	XP_021999580.1
Ha_NC_035441.2	Ha_NC_035446.2	Ha	LOC118481678	XP_035832764.1	Ha	LOC110904925	XP_022006482.1
Ha_NC_035443.2	Ha_NC_035446.2	Ha	LOC110890906	XP_035835924.1	Ha	LOC110904303	XP_022005838.1
Ha_NC_035445.2	Ha_NC_035445.2	Ha	LOC110897890	XP_022000317.1	Ha	LOC110899589	XP_022002167.1
Ha_NC_035445.2	Ha_NC_035449.2	Ha	LOC110897890	XP_022000317.1	Ha	LOC110923014	XP_022022901.1
Ha_NC_035445.2	Ha_NC_035449.2	Ha	LOC110899592	XP_022002168.1	Ha	LOC110923014	XP_022022901.1
Ha_NC_035447.2	Ha_NC_035448.2	Ha	LOC110912639	XP_022013098.1	Ha	LOC110937771	XP_022035921.1
