gene	motif_id	start	end	strand	pvalue
XP_035831160.1	motif_1	82	109	none	1.25e-32
XP_022005993.1	motif_1	83	110	none	1.25e-32
XP_022005990.1	motif_1	83	110	none	1.25e-32
XP_022005989.1	motif_1	83	110	none	1.25e-32
XP_022005838.1	motif_1	82	109	none	1.25e-32
XP_021997756.1	motif_1	80	107	none	1.25e-32
XP_021992949.1	motif_1	81	108	none	1.25e-32
XP_021973843.1	motif_1	82	109	none	1.25e-32
XP_021973181.1	motif_1	83	110	none	1.25e-32
XP_021973155.1	motif_1	83	110	none	1.25e-32
XP_021973154.1	motif_1	83	110	none	1.25e-32
XP_021973148.1	motif_1	83	110	none	1.25e-32
XP_021973145.1	motif_1	83	110	none	1.25e-32
XP_021973144.1	motif_1	83	110	none	1.25e-32
XP_021971649.1	motif_1	92	119	none	1.25e-32
XP_035835925.1	motif_1	88	115	none	7.28e-32
XP_035835924.1	motif_1	88	115	none	7.28e-32
XP_035835923.1	motif_1	88	115	none	7.28e-32
XP_035835922.1	motif_1	88	115	none	7.28e-32
XP_035835921.1	motif_1	88	115	none	7.28e-32
XP_035835920.1	motif_1	88	115	none	7.28e-32
XP_035835918.1	motif_1	88	115	none	7.28e-32
XP_035835917.1	motif_1	88	115	none	7.28e-32
XP_035835916.1	motif_1	88	115	none	7.28e-32
XP_022025446.1	motif_1	76	103	none	7.28e-32
XP_022009469.1	motif_1	82	109	none	7.28e-32
XP_021998290.1	motif_1	76	103	none	7.28e-32
XP_021994243.1	motif_1	88	115	none	7.28e-32
XP_021979449.1	motif_1	88	115	none	7.28e-32
XP_022035419.1	motif_1	91	118	none	2.84e-31
XP_022035417.1	motif_1	91	118	none	2.84e-31
XP_022029508.1	motif_1	91	118	none	2.84e-31
XP_022022901.1	motif_1	91	118	none	2.84e-31
XP_022006482.1	motif_1	92	119	none	2.84e-31
XP_022002168.1	motif_1	91	118	none	2.84e-31
XP_022002167.1	motif_1	91	118	none	2.84e-31
XP_022000317.1	motif_1	91	118	none	2.84e-31
XP_021973917.1	motif_1	92	119	none	2.84e-31
XP_021969157.1	motif_1	91	118	none	2.84e-31
XP_021969156.1	motif_1	91	118	none	2.84e-31
XP_035832764.1	motif_1	92	119	none	1.97e-28
XP_035837035.1	motif_1	80	107	none	3.84e-28
XP_022007682.2	motif_1	51	78	none	7.37e-27
XP_022021453.1	motif_1	76	103	none	1.34e-24
XP_021997121.1	motif_1	60	87	none	6.98e-24
XP_021990076.1	motif_1	60	87	none	6.98e-24
XP_021984447.2	motif_1	60	87	none	6.98e-24
XP_022002249.1	motif_1	60	87	none	1.23e-23
XP_022002235.1	motif_1	60	87	none	1.23e-23
XP_035833912.1	motif_1	60	87	none	2.13e-23
XP_021977771.1	motif_1	60	87	none	2.95e-23
XP_022002237.1	motif_1	60	87	none	3.66e-23
XP_021994152.1	motif_1	65	92	none	3.66e-23
XP_021979651.1	motif_1	78	105	none	3.66e-23
XP_022016725.1	motif_1	60	87	none	4.08e-23
XP_022016546.1	motif_1	60	87	none	4.54e-23
XP_022000445.1	motif_1	69	96	none	5.61e-23
XP_021994685.2	motif_1	62	89	none	6.92e-23
XP_022029689.1	motif_1	60	87	none	8.52e-23
XP_022012100.1	motif_1	73	100	none	8.52e-23
XP_021989956.1	motif_1	79	106	none	1.43e-22
XP_021987957.1	motif_1	74	101	none	1.43e-22
XP_021987955.1	motif_1	78	105	none	1.43e-22
XP_021977943.1	motif_1	78	105	none	1.43e-22
XP_022012102.1	motif_1	78	105	none	1.58e-22
XP_022011398.1	motif_1	85	112	none	2.89e-22
XP_022011339.1	motif_1	78	105	none	2.89e-22
XP_022032747.1	motif_1	76	103	none	4.28e-22
XP_022026331.1	motif_1	69	96	none	4.28e-22
XP_022023717.1	motif_1	78	105	none	4.28e-22
XP_021972988.1	motif_1	67	94	none	1.23e-21
XP_022002236.1	motif_1	60	87	none	1.36e-21
XP_022006941.1	motif_1	67	94	none	1.49e-21
XP_022037229.1	motif_1	62	89	none	2.85e-21
XP_021979635.1	motif_1	66	93	none	3.42e-21
XP_021999580.1	motif_1	62	89	none	3.75e-21
XP_022014304.1	motif_1	74	101	none	4.49e-21
XP_021977057.1	motif_1	62	89	none	5.88e-21
XP_022035921.1	motif_1	62	89	none	1.84e-20
XP_022013098.1	motif_1	62	89	none	1.84e-20
XP_021972990.2	motif_1	65	92	none	2.01e-20
XP_022014704.1	motif_1	76	103	none	5.53e-20
XP_022000943.1	motif_1	57	84	none	3.28e-19
XP_022025807.1	motif_1	108	135	none	4.49e-19
XP_022021536.1	motif_1	104	131	none	4.49e-19
XP_021976874.1	motif_1	102	129	none	4.49e-19
XP_035833123.1	motif_1	96	123	none	7.15e-19
XP_035833122.1	motif_1	96	123	none	7.15e-19
XP_021981655.1	motif_1	66	93	none	7.15e-19
XP_022007155.1	motif_1	63	90	none	1.53e-18
XP_022038870.1	motif_1	113	140	none	4.65e-18
XP_035834143.1	motif_1	101	128	none	7.21e-15
XP_035834144.1	motif_1	99	126	none	6.01e-14
XP_035837035.1	motif_2	192	232	none	3.27e-45
XP_035835925.1	motif_2	200	240	none	3.27e-45
XP_035835924.1	motif_2	200	240	none	3.27e-45
XP_035835923.1	motif_2	200	240	none	3.27e-45
XP_035835922.1	motif_2	200	240	none	3.27e-45
XP_035835921.1	motif_2	200	240	none	3.27e-45
XP_035835920.1	motif_2	200	240	none	3.27e-45
XP_035835918.1	motif_2	200	240	none	3.27e-45
XP_035835917.1	motif_2	200	240	none	3.27e-45
XP_035835916.1	motif_2	200	240	none	3.27e-45
XP_022025446.1	motif_2	188	228	none	3.27e-45
XP_022009469.1	motif_2	194	234	none	3.27e-45
XP_022007682.2	motif_2	163	203	none	3.27e-45
XP_022005993.1	motif_2	195	235	none	3.27e-45
XP_022005990.1	motif_2	195	235	none	3.27e-45
XP_022005989.1	motif_2	195	235	none	3.27e-45
XP_022005838.1	motif_2	194	234	none	3.27e-45
XP_021998290.1	motif_2	188	228	none	3.27e-45
XP_021994243.1	motif_2	200	240	none	3.27e-45
XP_021979449.1	motif_2	200	240	none	3.27e-45
XP_021973181.1	motif_2	195	235	none	3.27e-45
XP_021973155.1	motif_2	195	235	none	3.27e-45
XP_021973154.1	motif_2	195	235	none	3.27e-45
XP_021973148.1	motif_2	195	235	none	3.27e-45
XP_021973145.1	motif_2	195	235	none	3.27e-45
XP_021973144.1	motif_2	195	235	none	3.27e-45
XP_021971649.1	motif_2	204	244	none	3.27e-45
XP_021997756.1	motif_2	192	232	none	2.60e-44
XP_021973843.1	motif_2	194	234	none	2.60e-44
XP_021992949.1	motif_2	193	233	none	5.45e-43
XP_022035417.1	motif_2	204	244	none	1.61e-42
XP_022022901.1	motif_2	204	244	none	1.61e-42
XP_022006482.1	motif_2	205	245	none	1.61e-42
XP_022002168.1	motif_2	204	244	none	1.61e-42
XP_022002167.1	motif_2	204	244	none	1.61e-42
XP_022000317.1	motif_2	204	244	none	1.61e-42
XP_021969157.1	motif_2	204	244	none	1.61e-42
XP_021969156.1	motif_2	204	244	none	1.61e-42
XP_022029508.1	motif_2	204	244	none	3.29e-41
XP_021973917.1	motif_2	205	245	none	3.56e-40
XP_035832764.1	motif_2	205	245	none	2.32e-39
XP_035831160.1	motif_2	194	234	none	9.92e-39
XP_022035419.1	motif_2	204	244	none	4.06e-37
XP_021997121.1	motif_2	165	205	none	1.29e-35
XP_022016546.1	motif_2	165	205	none	1.88e-35
XP_035833912.1	motif_2	165	205	none	3.09e-35
XP_021984447.2	motif_2	165	205	none	3.09e-35
XP_022029689.1	motif_2	165	205	none	4.46e-35
XP_022002249.1	motif_2	165	205	none	4.46e-35
XP_022002237.1	motif_2	165	205	none	5.69e-35
XP_022002236.1	motif_2	165	205	none	5.69e-35
XP_022002235.1	motif_2	165	205	none	5.69e-35
XP_022016725.1	motif_2	165	205	none	1.67e-34
XP_021990076.1	motif_2	165	205	none	2.11e-34
XP_021977771.1	motif_2	164	204	none	2.27e-33
XP_021994685.2	motif_2	167	207	none	1.33e-31
XP_022013098.1	motif_2	167	207	none	1.47e-31
XP_021994152.1	motif_2	168	208	none	1.47e-31
XP_021979651.1	motif_2	181	221	none	1.47e-31
XP_022037229.1	motif_2	167	207	none	3.91e-31
XP_022032747.1	motif_2	179	219	none	6.34e-31
XP_022038870.1	motif_2	215	255	none	1.80e-30
XP_021979635.1	motif_2	171	211	none	2.38e-30
XP_022035921.1	motif_2	167	207	none	2.61e-30
XP_022025807.1	motif_2	210	250	none	2.87e-30
XP_022021453.1	motif_2	179	219	none	3.45e-30
XP_022026331.1	motif_2	174	214	none	5.46e-30
XP_022012100.1	motif_2	176	216	none	6.56e-30
XP_022012102.1	motif_2	181	221	none	1.03e-29
XP_022014304.1	motif_2	177	217	none	1.24e-29
XP_021989956.1	motif_2	181	221	none	1.77e-29
XP_021987955.1	motif_2	180	220	none	1.77e-29
XP_022011339.1	motif_2	180	220	none	1.93e-29
XP_022011398.1	motif_2	187	227	none	2.11e-29
XP_021977057.1	motif_2	167	207	none	5.56e-29
XP_021976874.1	motif_2	204	244	none	5.56e-29
XP_022023717.1	motif_2	180	220	none	8.57e-29
XP_022021536.1	motif_2	206	246	none	8.57e-29
XP_021987957.1	motif_2	176	216	none	1.11e-28
XP_021977943.1	motif_2	180	220	none	1.11e-28
XP_021999580.1	motif_2	167	207	none	1.44e-28
XP_021972988.1	motif_2	170	210	none	1.56e-28
XP_022000445.1	motif_2	174	214	none	1.85e-28
XP_022014704.1	motif_2	182	222	none	1.89e-27
XP_022006941.1	motif_2	170	210	none	1.89e-27
XP_022000943.1	motif_2	162	202	none	1.01e-26
XP_021972990.2	motif_2	168	208	none	1.39e-26
XP_022007155.1	motif_2	167	207	none	1.85e-25
XP_035833122.1	motif_2	198	238	none	1.37e-21
XP_021981655.1	motif_2	168	208	none	1.37e-21
XP_035835925.1	motif_3	20	69	none	5.80e-62
XP_035835924.1	motif_3	20	69	none	5.80e-62
XP_035835923.1	motif_3	20	69	none	5.80e-62
XP_035835922.1	motif_3	20	69	none	5.80e-62
XP_035835921.1	motif_3	20	69	none	5.80e-62
XP_035835920.1	motif_3	20	69	none	5.80e-62
XP_035835918.1	motif_3	20	69	none	5.80e-62
XP_035835917.1	motif_3	20	69	none	5.80e-62
XP_035835916.1	motif_3	20	69	none	5.80e-62
XP_021994243.1	motif_3	20	69	none	5.80e-62
