loc_id	product	subfamily	subfamily_from_name	tree_support	chromosome	chr_name	start	end	strand	gene_length_bp	exon_count	intron_count	avg_intron_length	mrna_variants	representative_protein	protein_ids
LOC110875755	aquaporin NIP1-1	NIP	NIP	1.00	NC_035433.2	Ha1	111407258	111411598	+	4341	5	4	756.2	1	XP_021979651.1	XP_021979651.1
LOC110875737	probable aquaporin TIP1-1	TIP	TIP	1.00	NC_035433.2	Ha1	118858363	118860009	-	1647	2	1	599.0	1	XP_021979635.1	XP_021979635.1
LOC110875557	aquaporin PIP2-2	PIP	PIP	1.00	NC_035433.2	Ha1	122456136	122459050	+	2915	4	3	573.0	1	XP_021979449.1	XP_021979449.1
LOC110878958	aquaporin SIP1-1	SIP	SIP	1.00	NC_035433.2	Ha1	133758482	133764635	+	6154	3	2	2598.0	1	XP_021983051.1	XP_021983051.1
LOC110937325	aquaporin PIP1-3	PIP	PIP	1.00	NC_035434.2	Ha2	135407960	135410684	+	2725	4	3	469.7	1	XP_022035417.1	XP_022035417.1
LOC110937328	aquaporin PIP1-3	PIP	PIP	1.00	NC_035434.2	Ha2	135449674	135451033	+	1360	3	2	121.5	1	XP_022035419.1	XP_022035419.1
LOC110906934	aquaporin PIP2-1	PIP	PIP	1.00	NC_035434.2	Ha2	153495019	153496193	+	1175	4	3	85.7	1	XP_022007682.2	XP_022007682.2
LOC110927047	aquaporin TIP1-1	TIP	TIP	1.00	NC_035434.2	Ha2	166250290	166252037	+	1748	2	1	749.0	1	XP_022026331.1	XP_022026331.1
LOC110930503	aquaporin PIP1-3	PIP	PIP	1.00	NC_035435.2	Ha3	163300314	163302838	-	2525	4	3	480.0	1	XP_022029508.1	XP_022029508.1
LOC110930648	probable aquaporin TIP-type	TIP	unassigned	1.00	NC_035435.2	Ha3	167829005	167830856	+	1852	3	2	403.5	1	XP_022029689.1	XP_022029689.1
LOC110933853	aquaporin NIP1-1	NIP	NIP	1.00	NC_035436.2	Ha4	163382054	163384124	-	2071	5	4	269.0	1	XP_022032747.1	XP_022032747.1
LOC110938010	probable aquaporin SIP2-1	SIP	SIP	1.00	NC_035436.2	Ha4	202501181	202504365	+	3185	3	2	961.5	1	XP_022036172.1	XP_022036172.1
LOC110939970	aquaporin TIP1-3	TIP	TIP	1.00	NC_035437.2	Ha5	11889108	11890313	+	1206	3	2	120.5	1	XP_022037229.1	XP_022037229.1
LOC110941540	aquaporin NIP6-1	NIP	NIP	1.00	NC_035437.2	Ha5	153436199	153439654	-	3456	5	4	539.2	1	XP_022038870.1	XP_022038870.1
LOC110864409	aquaporin PIP1-1	PIP	PIP	1.00	NC_035438.2	Ha6	3761973	3769494	+	7522	4	3	965.7	2	XP_021969157.1	XP_021969156.1;XP_021969157.1
LOC110872387	probable aquaporin NIP5-1	NIP	NIP	1.00	NC_035438.2	Ha6	6725442	6728514	-	3073	5	4	299.0	1	XP_021976874.1	XP_021976874.1
LOC110865440	probable aquaporin SIP2-1	SIP	SIP	1.00	NC_035438.2	Ha6	47755436	47758420	+	2985	3	2	896.5	1	XP_021970374.1	XP_021970374.1
LOC110868194	probable aquaporin NIP-type	NIP	unassigned	1.00	NC_035439.2	Ha7	98648385	98649923	+	1539	5	4	145.5	1	XP_021972988.1	XP_021972988.1
LOC110868195	probable aquaporin NIP-type	NIP	unassigned	1.00	NC_035439.2	Ha7	98654820	98659435	+	4616	6	5	757.6	1	XP_021972990.2	XP_021972990.2
LOC110889695	probable aquaporin PIP2-5	PIP	PIP	1.00	NC_035439.2	Ha7	110555409	110558472	-	3064	4	3	640.7	1	XP_021992949.1	XP_021992949.1
LOC110866810	aquaporin PIP2-4	PIP	PIP	1.00	NC_035439.2	Ha7	119735398	119737473	+	2076	4	3	300.7	1	XP_021971649.1	XP_021971649.1
LOC110868334	aquaporin PIP2-1	PIP	PIP	1.00	NC_035439.2	Ha7	119863945	119865688	-	1744	4	3	219.7	1	XP_021973154.1	XP_021973154.1
LOC110868335	aquaporin PIP2-4	PIP	PIP	1.00	NC_035439.2	Ha7	119895848	119897953	-	2106	4	3	311.3	1	XP_021973155.1	XP_021973155.1
LOC110868323	probable aquaporin PIP2-4	PIP	PIP	1.00	NC_035439.2	Ha7	120106244	120109396	+	3153	4	3	268.3	1	XP_021973148.1	XP_021973148.1
LOC110868318	probable aquaporin PIP2-4	PIP	PIP	1.00	NC_035439.2	Ha7	120156300	120159035	+	2736	4	3	268.3	1	XP_021973145.1	XP_021973145.1
LOC110868317	aquaporin PIP2-4	PIP	PIP	1.00	NC_035439.2	Ha7	120170669	120172599	-	1931	4	3	228.7	1	XP_021973144.1	XP_021973144.1
LOC110868358	aquaporin PIP2-4	PIP	PIP	1.00	NC_035439.2	Ha7	120285272	120287478	-	2207	4	3	308.3	1	XP_021973181.1	XP_021973181.1
LOC110908794	aquaporin PIP2-2	PIP	PIP	1.00	NC_035439.2	Ha7	129058310	129060704	-	2395	4	3	416.7	1	XP_022009469.1	XP_022009469.1
LOC110908807	aquaporin PIP2-2-like	PIP	PIP	1.00	NC_035439.2	Ha7	129103100	129106231	-	3132	4	3	644.0	1	XP_035831160.1	XP_035831160.1
LOC110868941	probable aquaporin PIP1-4	PIP	PIP	1.00	NC_035439.2	Ha7	142797261	142801210	+	3950	4	3	942.0	1	XP_021973917.1	XP_021973917.1
LOC110872551	aquaporin TIP1-3	TIP	TIP	1.00	NC_035440.2	Ha8	31697135	31699477	+	2343	3	2	550.5	1	XP_021977057.1	XP_021977057.1
LOC110873151	probable aquaporin TIP2-1	TIP	TIP	1.00	NC_035440.2	Ha8	80023625	80024873	+	1249	3	2	90.0	1	XP_021977771.1	XP_021977771.1
LOC110873322	aquaporin NIP2-2	NIP	NIP	1.00	NC_035440.2	Ha8	86248730	86251926	-	3197	5	4	540.0	1	XP_021977943.1	XP_021977943.1
LOC110877765	probable aquaporin NIP7-1	NIP	NIP	1.00	NC_035441.2	Ha9	58444677	58457317	-	12641	6	5	1749.0	3	XP_035833123.1	XP_021981655.1;XP_035833122.1;XP_035833123.1
LOC118481678	probable aquaporin PIP1-4	PIP	PIP	1.00	NC_035441.2	Ha9	100909435	100911255	+	1821	4	3	234.3	1	XP_035832764.1	XP_035832764.1
LOC118479416	aquaporin TIP2-1-like	TIP	TIP	1.00	NC_035441.2	Ha9	185884581	185885696	+	1116	3	2	88.0	1	XP_035833912.1	XP_035833912.1
LOC110884851	probable aquaporin SIP2-1	SIP	SIP	1.00	NC_035442.2	Ha10	76051070	76053808	-	2739	3	2	804.5	1	XP_021988248.1	XP_021988248.1
LOC110881936	aquaporin-5	TIP	unassigned	0.40	NC_035442.2	Ha10	100902148	100903625	+	1478	3	2	216.5	1	XP_035834143.1	XP_035834143.1
LOC110885224	aquaporin	TIP	unassigned	0.40	NC_035442.2	Ha10	101125600	101141735	+	16136	3	2	7571.0	1	XP_035834144.1	XP_035834144.1
LOC110886572	aquaporin TIP2-1	TIP	TIP	1.00	NC_035442.2	Ha10	169786191	169787451	-	1261	3	2	147.5	1	XP_021990076.1	XP_021990076.1
LOC110890809	aquaporin NIP1-1	NIP	NIP	1.00	NC_035443.2	Ha11	154284272	154290348	+	6077	5	4	1268.5	1	XP_021994152.1	XP_021994152.1
LOC110890906	aquaporin PIP2-7	PIP	PIP	1.00	NC_035443.2	Ha11	165665782	165671445	-	5664	8	7	184.3	10	XP_035835925.1	XP_021994243.1;XP_035835916.1;XP_035835917.1;XP_035835918.1;XP_035835920.1;XP_035835921.1;XP_035835922.1;XP_035835923.1;XP_035835924.1;XP_035835925.1
LOC110891299	aquaporin TIP1-1	TIP	TIP	1.00	NC_035443.2	Ha11	179779294	179781918	-	2625	2	1	1608.0	1	XP_021994685.2	XP_021994685.2
LOC110894233	aquaporin TIP2-1	TIP	TIP	1.00	NC_035444.2	Ha12	15130101	15131520	-	1420	3	2	182.0	1	XP_021997121.1	XP_021997121.1
LOC110892775	aquaporin PIP2-2-like	PIP	PIP	1.00	NC_035444.2	Ha12	47043367	47139426	+	96060	4	3	31641.7	1	XP_035837035.1	XP_035837035.1
LOC110894830	aquaporin PIP2-1	PIP	PIP	1.00	NC_035444.2	Ha12	50504395	50507124	-	2730	4	3	549.7	1	XP_021997756.1	XP_021997756.1
LOC110896719	probable aquaporin TIP1-2	TIP	TIP	1.00	NC_035444.2	Ha12	52868473	52869622	-	1150	3	2	104.0	1	XP_021999580.1	XP_021999580.1
LOC110895309	probable aquaporin PIP2-8	PIP	PIP	1.00	NC_035444.2	Ha12	77463396	77466254	-	2859	4	3	570.3	1	XP_021998290.1	XP_021998290.1
LOC110897890	aquaporin PIP1-3	PIP	PIP	1.00	NC_035445.2	Ha13	52701936	52703695	+	1760	4	3	158.7	1	XP_022000317.1	XP_022000317.1
LOC110898014	aquaporin TIP1-1	TIP	TIP	1.00	NC_035445.2	Ha13	66823905	66825925	+	2021	2	1	995.0	1	XP_022000445.1	XP_022000445.1
LOC110898128	aquaporin SIP1-2	SIP	SIP	1.00	NC_035445.2	Ha13	71325317	71328372	+	3056	3	2	1056.5	1	XP_022000573.1	XP_022000573.1
LOC110898466	aquaporin TIP4-1	TIP	TIP	1.00	NC_035445.2	Ha13	86515549	86517081	-	1533	3	2	311.5	1	XP_022000943.1	XP_022000943.1
LOC110899589	aquaporin PIP1-3	PIP	PIP	1.00	NC_035445.2	Ha13	142927394	142930503	-	3110	4	3	659.3	1	XP_022002167.1	XP_022002167.1
LOC110899592	aquaporin PIP1-3	PIP	PIP	1.00	NC_035445.2	Ha13	142940337	142943450	-	3114	4	3	660.7	1	XP_022002168.1	XP_022002168.1
LOC110899655	probable aquaporin TIP-type	TIP	unassigned	1.00	NC_035445.2	Ha13	147558273	147559842	+	1570	3	2	249.0	1	XP_022002237.1	XP_022002237.1
LOC110899654	probable aquaporin TIP-type RB7-5A	TIP	unassigned	1.00	NC_035445.2	Ha13	147630911	147632444	+	1534	3	2	245.0	1	XP_022002236.1	XP_022002236.1
LOC110899653	probable aquaporin TIP-type RB7-5A	TIP	unassigned	1.00	NC_035445.2	Ha13	147645910	147647572	+	1663	3	2	324.0	1	XP_022002235.1	XP_022002235.1
LOC110899667	probable aquaporin TIP-type RB7-5A	TIP	unassigned	1.00	NC_035445.2	Ha13	147793752	147795394	+	1643	3	2	316.5	1	XP_022002249.1	XP_022002249.1
