loc_id	TAIR	ENTREZID
LOC110863689	AT3G63380	825513
LOC110863697	AT1G64660	842774
LOC110863704	AT2G38905	818475
LOC110863707	AT3G03180	821059
LOC110863713	AT2G35200	818087
LOC110863718	AT4G17940	827519
LOC110863724	AT5G41220	834124
LOC110863731	AT5G46940	834740
LOC110863735	AT2G35930	818166
LOC110863740	AT1G19210	838504
LOC110863744	AT3G62020	825375
LOC110863745	AT3G62020	825375
LOC110863746	AT3G62020	825375
LOC110863749	AT3G60550	825226
LOC110863755	AT3G60650	825236
LOC110863759	AT1G62770	842576
LOC110863769	AT1G04760	839424
LOC110863770	AT5G42800	834291
LOC110863782	AT3G15355	820772
LOC110863788	AT1G01280	839470
LOC110863790	AT2G26640	817205
LOC110863795	AT3G14250	820645
LOC110863799	AT5G55050	835596
LOC110863801	AT4G10265	826618
LOC110863803	AT4G10265	826618
LOC110863810	AT4G20970	827844
LOC110863815	AT2G33870	817957
LOC110863821	AT2G26150	817155
LOC110863829	AT4G16260	827320
LOC110863830	AT2G37430	818319
LOC110863843	AT5G41980	834203
LOC110863846	AT2G33310	817894
LOC110863849	AT4G00160	828180
LOC110863851	AT2G38620	818444
LOC110863854	AT1G19670	838554
LOC110863863	AT1G60360	842331
LOC110863868	AT4G21120	827860
LOC110863869	AT2G38440	818425
LOC110863870	AT3G06778	5007987
LOC110863881	AT5G14320	831282
LOC110863891	AT5G24860	832555
LOC110863897	AT4G01100	827899
LOC110863908	AT1G30620	839942
LOC110863910	AT4G38180	829974
LOC110863911	AT3G56190	824785
LOC110863912	AT5G40780	834078
LOC110863919	AT5G14070	831256
LOC110863922	AT1G30700	839950
LOC110863924	AT5G01750	831684
LOC110863929	AT1G31260	840014
LOC110863935	AT4G04650	825798
LOC110863936	AT3G57090	824876
LOC110863938	AT4G20990	827846
LOC110863939	AT5G05090	830391
LOC110863964	AT2G13770	815861
LOC110863965	AT1G74320	843772
LOC110863966	AT5G59320	836051
LOC110863970	AT3G17675	5008006
LOC110863971	AT3G17675	5008006
LOC110863974	AT3G17675	5008006
LOC110863975	AT1G22480	838854
LOC110863982	AT4G38180	829974
LOC110863983	AT5G20820	832205
LOC110863987	AT4G02370	828057
LOC110863997	AT3G48670	824027
LOC110864005	AT2G38905	818475
LOC110864013	AT4G25760	828681
LOC110864016	AT4G25760	828681
LOC110864017	AT4G25760	828681
LOC110864020	AT4G37790	829935
LOC110864025	AT1G30410	839921
LOC110864030	AT1G54350	841876
LOC110864031	AT5G26680	832721
LOC110864033	AT4G20460	827794
LOC110864040	AT1G11020	837644
LOC110864047	AT4G38180	829974
LOC110864054	AT4G21534	10723114
LOC110864056	AT1G21650	838767
LOC110864070	AT5G03040	831696
LOC110864074	AT1G19670	838554
LOC110864080	AT1G12700	837825
LOC110864082	AT5G59320	836051
LOC110864084	AT2G17080	816213
LOC110864087	AT4G14720	827125
LOC110864098	AT5G03790	831723
LOC110864120	AT1G56250	842078
LOC110864123	AT1G56250	842078
LOC110864128	AT3G20300	821574
LOC110864135	AT5G53390	835420
LOC110864141	AT3G13980	820612
LOC110864154	AT4G02680	828205
LOC110864156	AT3G50910	824255
LOC110864168	AT2G13770	815861
LOC110864173	AT3G51690	824332
LOC110864178	AT1G75580	843893
LOC110864182	AT5G23760	832441
LOC110864191	AT5G36930	833662
LOC110864192	AT3G22830	821854
LOC110864193	AT4G38840	830039
LOC110864195	AT5G27730	832835
LOC110864196	AT4G38840	830039
LOC110864209	AT4G02670	828206
LOC110864217	AT1G61560	842450
LOC110864223	AT2G13770	815861
LOC110864224	AT3G52860	824452
LOC110864225	AT3G05560	819722
LOC110864226	AT3G49000	824061
LOC110864229	AT3G49000	824061
LOC110864231	AT3G05560	819722
LOC110864232	AT3G52860	824452
LOC110864234	AT2G47640	819377
LOC110864235	AT3G62830	825458
