gene	motif_1	motif_2	motif_3	motif_4	motif_5	motif_6	motif_7	motif_8	motif_9	motif_10	motif_11	motif_12	motif_13	motif_14	motif_15	motif_16	motif_17	motif_18	motif_19	motif_20
XP_021969156.1	91	204	29	159	245	129	-	-	-	80	-	119	1	-	-	-	-	-	-	-
XP_021969157.1	91	204	29	159	-	129	-	-	-	80	-	119	1	-	-	-	-	-	-	-
XP_021970374.1	-	-	-	-	-	86	-	-	-	-	-	-	-	-	-	-	-	-	-	143
XP_021971649.1	92	204	24	159	245	130	-	-	-	81	-	120	-	10	-	-	-	-	152	-
XP_021972988.1	67	170	-	-	-	105	-	148	211	-	31	-	-	-	-	-	-	235	-	-
XP_021972990.2	65	168	-	-	-	214	-	146	-	-	29	-	-	-	-	-	-	-	-	-
XP_021973144.1	83	195	15	150	236	121	-	-	-	72	-	111	-	1	277	-	-	-	143	-
XP_021973145.1	83	195	15	150	236	121	-	-	-	72	-	111	-	1	-	-	-	-	143	-
XP_021973148.1	83	195	15	150	236	121	-	-	-	72	-	111	-	1	-	-	-	-	143	-
XP_021973154.1	83	195	15	150	236	121	-	-	-	72	-	111	-	1	277	-	-	-	143	-
XP_021973155.1	83	195	15	150	236	121	-	-	-	72	-	111	-	1	277	-	-	-	143	-
XP_021973181.1	83	195	15	150	236	121	-	-	-	72	-	111	-	1	277	-	-	-	143	-
XP_021973843.1	82	194	14	149	235	120	-	-	-	71	-	110	-	1	276	-	-	-	142	-
XP_021973917.1	92	205	30	160	246	130	-	-	-	81	-	120	1	-	-	-	-	-	152	-
XP_021976874.1	102	204	-	-	-	140	-	182	245	-	66	-	-	-	-	-	-	-	-	-
XP_021977057.1	62	167	-	-	-	100	9	143	208	-	-	-	-	-	-	122	229	-	-	-
XP_021977771.1	60	164	-	-	-	98	7	140	205	-	-	-	-	-	-	-	226	-	-	-
XP_021977943.1	78	180	-	-	-	253	-	158	221	-	42	-	-	-	-	-	-	-	-	-
XP_021979449.1	88	200	20	155	241	126	-	-	-	77	-	116	-	1	282	-	-	-	148	-
XP_021979635.1	66	171	-	-	-	104	13	147	212	-	-	-	-	-	-	-	233	-	-	-
XP_021979651.1	78	181	-	-	-	116	-	159	222	-	42	-	-	-	-	-	-	246	-	-
XP_021981655.1	66	168	-	-	-	214	-	-	-	-	31	-	-	-	-	-	-	-	-	-
XP_021983051.1	-	-	-	-	-	87	-	-	197	-	-	-	-	-	-	-	-	-	-	148
XP_021984447.2	60	165	-	-	-	98	7	141	206	-	-	-	-	-	-	120	227	-	-	-
XP_021987955.1	78	180	-	-	-	116	-	158	221	-	42	-	-	-	-	-	-	245	-	-
XP_021987957.1	74	176	-	-	-	112	-	154	217	-	38	-	-	-	-	-	-	241	-	-
XP_021988248.1	-	-	-	-	-	202	-	-	-	-	-	-	-	-	-	-	-	-	-	144
XP_021989956.1	79	181	-	-	-	-	-	159	222	-	43	-	-	-	-	-	-	246	-	-
XP_021990076.1	60	165	-	-	-	98	7	141	206	-	-	-	-	-	-	120	227	-	-	-
XP_021992949.1	81	193	12	148	234	119	-	-	-	70	-	109	-	-	-	-	-	-	141	-
XP_021994152.1	65	168	-	-	-	103	-	146	209	-	29	-	-	-	-	-	-	233	-	-
XP_021994243.1	88	200	20	155	241	126	-	-	-	77	-	116	-	1	282	-	-	-	148	-
XP_021994685.2	62	167	-	-	-	100	9	143	208	-	-	-	-	-	-	122	229	-	-	-
XP_021997121.1	60	165	-	-	-	98	7	141	206	-	-	-	-	-	-	120	227	-	-	-
XP_021997756.1	80	192	14	147	233	118	-	-	-	69	-	108	-	1	274	-	-	-	140	-
XP_021998290.1	76	188	14	143	229	114	-	-	-	65	-	104	-	-	270	-	-	-	-	-
XP_021999580.1	62	167	-	-	-	100	9	143	208	-	-	-	-	-	-	122	229	-	-	-
XP_022000317.1	91	204	29	159	245	129	-	-	-	80	-	119	1	-	-	-	-	-	-	-
XP_022000445.1	69	174	-	-	-	107	16	150	215	-	-	-	-	-	-	129	236	-	-	-
XP_022000573.1	-	-	-	-	-	87	-	-	197	-	-	-	-	-	-	-	-	-	-	148
XP_022000943.1	57	162	-	-	-	95	7	138	203	-	-	-	-	-	-	117	224	-	-	-
XP_022002167.1	91	204	29	159	245	129	-	-	-	80	-	119	1	-	-	-	-	-	-	-
XP_022002168.1	91	204	29	159	245	129	-	-	-	80	-	119	1	-	-	-	-	-	-	-
XP_022002235.1	60	165	-	-	-	98	7	141	206	-	-	-	-	-	-	120	227	-	-	-
XP_022002236.1	60	165	-	-	-	98	7	141	206	-	-	-	-	-	-	120	227	-	-	-
XP_022002237.1	60	165	-	-	-	98	7	141	206	-	-	-	-	-	-	120	227	-	-	-
XP_022002249.1	60	165	-	-	-	98	7	141	206	-	-	-	-	-	-	120	227	-	-	-
XP_022005838.1	82	194	14	149	235	120	-	-	-	71	-	110	-	1	276	-	-	-	142	-
XP_022005989.1	83	195	15	150	236	121	-	-	-	72	-	111	-	1	277	-	-	-	143	-
XP_022005990.1	83	195	15	150	236	121	-	-	-	72	-	111	-	1	277	-	-	-	143	-
XP_022005993.1	83	195	15	150	236	121	-	-	-	72	-	111	-	1	277	-	-	-	143	-
XP_022006482.1	92	205	30	160	246	130	-	-	-	81	-	120	1	-	-	-	-	-	-	-
XP_022006941.1	67	170	-	-	-	105	-	148	211	-	31	-	-	-	-	-	-	235	-	-
XP_022007155.1	63	167	-	-	-	101	8	144	208	-	-	-	-	-	-	123	-	-	-	-
XP_022007682.2	51	163	-	118	204	89	-	-	-	40	-	79	-	-	-	-	-	-	111	-
XP_022009396.1	-	-	-	-	-	89	-	-	199	-	-	-	-	-	-	-	-	-	-	150
XP_022009469.1	82	194	14	149	235	120	-	-	-	71	-	110	-	1	276	-	-	-	142	-
XP_022011339.1	78	180	-	-	-	41	-	158	221	-	-	-	-	-	-	-	-	245	-	-
XP_022011398.1	85	187	-	-	-	123	-	165	228	-	49	-	-	-	-	-	-	252	-	-
XP_022012100.1	73	176	-	-	-	111	-	154	217	-	37	-	-	-	-	-	-	241	-	-
XP_022012102.1	78	181	-	-	-	116	-	159	222	-	42	-	-	-	-	-	-	-	-	-
XP_022013098.1	62	167	-	-	-	100	8	143	208	-	-	-	-	-	-	-	-	-	-	-
XP_022014304.1	74	177	-	-	-	-	-	155	218	-	38	-	-	-	-	-	-	-	-	-
XP_022014704.1	76	182	-	-	-	114	-	160	223	-	42	-	-	-	-	-	-	247	-	-
XP_022016546.1	60	165	-	-	-	98	7	141	206	-	-	-	-	-	-	120	227	-	-	-
XP_022016725.1	60	165	-	-	-	98	7	141	206	-	-	-	-	-	-	120	227	-	-	-
XP_022021453.1	76	179	-	-	-	114	-	157	220	-	41	-	-	-	-	-	-	244	-	-
XP_022021536.1	104	206	-	-	-	142	-	184	247	-	68	-	-	-	-	-	-	-	-	-
XP_022022901.1	91	204	29	159	245	129	-	-	-	80	-	119	1	-	-	-	-	-	-	-
XP_022023717.1	78	180	-	-	-	116	-	158	221	-	42	-	-	-	-	-	-	245	-	-
XP_022025446.1	76	188	14	143	229	114	-	-	-	65	-	104	-	-	270	-	-	-	136	-
XP_022025807.1	108	210	-	-	-	146	-	188	251	-	72	-	-	-	-	-	-	-	-	-
XP_022026331.1	69	174	-	-	-	107	16	150	215	-	-	-	-	-	-	129	236	-	-	-
XP_022029508.1	91	204	29	159	245	129	-	-	-	80	-	119	1	-	-	-	-	-	-	-
XP_022029689.1	60	165	-	-	-	98	7	141	206	-	-	-	-	-	-	120	227	-	-	-
XP_022032747.1	76	179	-	-	-	114	-	157	220	-	41	-	-	-	-	-	-	244	-	-
XP_022035417.1	91	204	29	159	245	129	-	-	-	80	-	119	1	-	-	-	-	-	-	-
XP_022035419.1	91	204	29	159	245	129	-	-	-	80	-	119	1	-	-	-	-	-	-	-
XP_022035921.1	62	167	-	-	-	100	8	143	208	-	-	-	-	-	-	122	-	-	-	-
XP_022036172.1	-	-	-	-	-	86	-	-	-	-	-	-	-	-	-	-	-	-	-	143
XP_022037229.1	62	167	-	-	-	100	9	143	208	-	-	-	-	-	-	122	229	-	-	-
XP_022038870.1	113	215	-	-	-	151	-	193	256	-	77	-	-	-	-	-	-	-	-	-
XP_035831160.1	82	194	14	149	235	120	-	-	-	71	-	110	-	1	276	-	-	-	142	-
XP_035832764.1	92	205	30	160	246	130	-	-	-	81	-	120	1	-	-	-	-	-	-	-
XP_035833122.1	96	198	-	-	-	244	-	-	-	-	61	-	-	-	-	-	-	-	-	-
XP_035833123.1	96	-	-	-	-	154	-	-	-	-	61	-	-	-	-	-	-	-	-	-
XP_035833912.1	60	165	-	-	-	98	7	141	206	-	-	-	-	-	-	120	227	-	-	-
XP_035834143.1	101	-	-	-	-	139	-	198	273	-	-	-	-	-	-	-	-	-	-	-
XP_035834144.1	99	-	-	-	-	137	-	196	271	-	-	-	-	-	-	-	-	-	-	-
XP_035835916.1	88	200	20	155	241	126	-	-	-	77	-	116	-	1	282	-	-	-	148	-
XP_035835917.1	88	200	20	155	241	126	-	-	-	77	-	116	-	1	282	-	-	-	148	-
XP_035835918.1	88	200	20	155	241	126	-	-	-	77	-	116	-	1	282	-	-	-	148	-
XP_035835920.1	88	200	20	155	241	126	-	-	-	77	-	116	-	1	282	-	-	-	148	-
XP_035835921.1	88	200	20	155	241	126	-	-	-	77	-	116	-	1	282	-	-	-	148	-
XP_035835922.1	88	200	20	155	241	126	-	-	-	77	-	116	-	1	282	-	-	-	148	-
XP_035835923.1	88	200	20	155	241	126	-	-	-	77	-	116	-	1	282	-	-	-	148	-
XP_035835924.1	88	200	20	155	241	126	-	-	-	77	-	116	-	1	282	-	-	-	148	-
XP_035835925.1	88	200	20	155	241	126	-	-	-	77	-	116	-	1	282	-	-	-	148	-
XP_035837035.1	80	192	14	147	233	118	-	-	-	69	-	108	-	1	-	-	-	-	140	-
