protein_id	has_mip	num_tm	seq_length	reason
ref|XP_021969156.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021969157.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021969385.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021969854.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021970125.2|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021970762.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021970823.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021971190.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021971344.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021971582.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021971649.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021971698.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021972047.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021972120.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021972321.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021972770.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021972789.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021972908.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021972988.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021972990.2|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021973144.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021973145.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021973148.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021973154.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021973155.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021973181.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021973491.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021973492.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021973790.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021973791.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021973792.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021973793.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021973794.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021973795.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021973796.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021973843.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021973917.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021973985.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021974284.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021974287.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021974383.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
ref|XP_021974576.1|	no	0	NA	no_MIP_domain;insufficient_TM_helices(0)
