protein_id	gene_id	mrna_id	chromosome	gene_start	gene_end	strand
XP_021969156.1	gene-LOC110864409	rna-XM_022113464.2	NC_035438.2	3761973	3769494	+
XP_021969157.1	gene-LOC110864409	rna-XM_022113465.2	NC_035438.2	3761973	3769494	+
XP_021970374.1	gene-LOC110865440	rna-XM_022114682.2	NC_035438.2	47755436	47758420	+
XP_021971649.1	gene-LOC110866810	rna-XM_022115957.2	NC_035439.2	119735398	119737473	+
XP_021972988.1	gene-LOC110868194	rna-XM_022117296.2	NC_035439.2	98648385	98649923	+
XP_021972990.2	gene-LOC110868195	rna-XM_022117298.2	NC_035439.2	98654820	98659435	+
XP_021973144.1	gene-LOC110868317	rna-XM_022117452.2	NC_035439.2	120170669	120172599	-
XP_021973145.1	gene-LOC110868318	rna-XM_022117453.2	NC_035439.2	120156300	120159035	+
XP_021973148.1	gene-LOC110868323	rna-XM_022117456.2	NC_035439.2	120106244	120109396	+
XP_021973154.1	gene-LOC110868334	rna-XM_022117462.2	NC_035439.2	119863945	119865688	-
XP_021973155.1	gene-LOC110868335	rna-XM_022117463.2	NC_035439.2	119895848	119897953	-
XP_021973181.1	gene-LOC110868358	rna-XM_022117489.2	NC_035439.2	120285272	120287478	-
XP_021973843.1	gene-LOC110868884	rna-XM_022118151.2	NC_035446.2	160857907	160859585	+
XP_021973917.1	gene-LOC110868941	rna-XM_022118225.2	NC_035439.2	142797261	142801210	+
XP_021976874.1	gene-LOC110872387	rna-XM_022121182.2	NC_035438.2	6725442	6728514	-
XP_021977057.1	gene-LOC110872551	rna-XM_022121365.2	NC_035440.2	31697135	31699477	+
XP_021977771.1	gene-LOC110873151	rna-XM_022122079.2	NC_035440.2	80023625	80024873	+
XP_021977943.1	gene-LOC110873322	rna-XM_022122251.2	NC_035440.2	86248730	86251926	-
XP_021979449.1	gene-LOC110875557	rna-XM_022123757.2	NC_035433.2	122456136	122459050	+
XP_021979635.1	gene-LOC110875737	rna-XM_022123943.2	NC_035433.2	118858363	118860009	-
XP_021979651.1	gene-LOC110875755	rna-XM_022123959.2	NC_035433.2	111407258	111411598	+
XP_021981655.1	gene-LOC110877765	rna-XM_022125963.2	NC_035441.2	58444677	58457317	-
XP_021983051.1	gene-LOC110878958	rna-XM_022127359.2	NC_035433.2	133758482	133764635	+
XP_021984447.2	gene-LOC110880175	rna-XM_022128755.2	NC_035448.2	7445030	7446258	+
XP_021987955.1	gene-LOC110884546	rna-XM_022132263.2	NC_035449.2	41606439	41609104	+
XP_021987957.1	gene-LOC110884547	rna-XM_022132265.2	NC_035449.2	41553202	41555055	+
XP_021988248.1	gene-LOC110884851	rna-XM_022132556.2	NC_035442.2	76051070	76053808	-
XP_021989956.1	gene-LOC110886457	rna-XM_022134264.2	NC_035447.2	27154145	27157134	+
XP_021990076.1	gene-LOC110886572	rna-XM_022134384.2	NC_035442.2	169786191	169787451	-
XP_021992949.1	gene-LOC110889695	rna-XM_022137257.2	NC_035439.2	110555409	110558472	-
XP_021994152.1	gene-LOC110890809	rna-XM_022138460.2	NC_035443.2	154284272	154290348	+
XP_021994243.1	gene-LOC110890906	rna-XM_022138551.2	NC_035443.2	165665782	165671445	-
XP_021994685.2	gene-LOC110891299	rna-XM_022138993.2	NC_035443.2	179779294	179781918	-
XP_021997121.1	gene-LOC110894233	rna-XM_022141429.1	NC_035444.2	15130101	15131520	-
XP_021997756.1	gene-LOC110894830	rna-XM_022142064.2	NC_035444.2	50504395	50507124	-
XP_021998290.1	gene-LOC110895309	rna-XM_022142598.2	NC_035444.2	77463396	77466254	-
XP_021999580.1	gene-LOC110896719	rna-XM_022143888.2	NC_035444.2	52868473	52869622	-
XP_022000317.1	gene-LOC110897890	rna-XM_022144625.2	NC_035445.2	52701936	52703695	+
XP_022000445.1	gene-LOC110898014	rna-XM_022144753.2	NC_035445.2	66823905	66825925	+
XP_022000573.1	gene-LOC110898128	rna-XM_022144881.2	NC_035445.2	71325317	71328372	+
XP_022000943.1	gene-LOC110898466	rna-XM_022145251.2	NC_035445.2	86515549	86517081	-
XP_022002167.1	gene-LOC110899589	rna-XM_022146475.2	NC_035445.2	142927394	142930503	-
XP_022002168.1	gene-LOC110899592	rna-XM_022146476.2	NC_035445.2	142940337	142943450	-
XP_022002235.1	gene-LOC110899653	rna-XM_022146543.2	NC_035445.2	147645910	147647572	+
XP_022002236.1	gene-LOC110899654	rna-XM_022146544.2	NC_035445.2	147630911	147632444	+
XP_022002237.1	gene-LOC110899655	rna-XM_022146545.2	NC_035445.2	147558273	147559842	+
XP_022002249.1	gene-LOC110899667	rna-XM_022146557.2	NC_035445.2	147793752	147795394	+
XP_022005838.1	gene-LOC110904303	rna-XM_022150146.2	NC_035446.2	148783863	148786430	+
XP_022005989.1	gene-LOC110904450	rna-XM_022150297.2	NC_035446.2	153688197	153689535	-
XP_022005990.1	gene-LOC110904451	rna-XM_022150298.2	NC_035446.2	153762249	153763512	-
XP_022005993.1	gene-LOC110904457	rna-XM_022150301.2	NC_035446.2	153674353	153675807	+
XP_022006482.1	gene-LOC110904925	rna-XM_022150790.2	NC_035446.2	167862157	167864457	-
XP_022006941.1	gene-LOC110905693	rna-XM_022151249.2	NC_035446.2	106361596	106363630	+
XP_022007155.1	gene-LOC110906290	rna-XM_022151463.2	NC_035446.2	169823176	169825171	-
XP_022007682.2	gene-LOC110906934	rna-XM_022151990.2	NC_035434.2	153495019	153496193	+
XP_022009396.1	gene-LOC110908730	rna-XM_022153704.2	NC_035446.2	99839574	99842559	-
XP_022009469.1	gene-LOC110908794	rna-XM_022153777.2	NC_035439.2	129058310	129060704	-
XP_022011339.1	gene-LOC110911072	rna-XM_022155647.2	NC_035447.2	26963553	26965384	+
XP_022011398.1	gene-LOC110911125	rna-XM_022155706.2	NC_035447.2	27278908	27281036	+
XP_022012100.1	gene-LOC110911759	rna-XM_022156408.2	NC_035447.2	62068821	62071242	-
XP_022012102.1	gene-LOC110911761	rna-XM_022156410.2	NC_035447.2	62119483	62121453	-
XP_022013098.1	gene-LOC110912639	rna-XM_022157406.2	NC_035447.2	146264526	146265993	+
XP_022014304.1	gene-LOC110913792	rna-XM_022158612.1	NC_035447.2	62176462	62179210	-
XP_022014704.1	gene-LOC110914202	rna-XM_022159012.2	NC_035447.2	140220777	140223602	+
XP_022016546.1	gene-LOC110916097	rna-XM_022160854.2	NC_035448.2	93174593	93176205	-
XP_022016725.1	gene-LOC110916291	rna-XM_022161033.2	NC_035448.2	93139465	93140773	-
XP_022021453.1	gene-LOC110921437	rna-XM_022165761.2	NC_035449.2	181068048	181073557	+
XP_022021536.1	gene-LOC110921506	rna-XM_022165844.2	NC_035449.2	1891811	1893822	+
XP_022022901.1	gene-LOC110923014	rna-XM_022167209.2	NC_035449.2	990482	992775	+
XP_022023717.1	gene-LOC110923973	rna-XM_022168025.2	NC_035449.2	41335426	41337409	+
XP_022025446.1	gene-LOC110925968	rna-XM_022169754.2	NC_035449.2	30003876	30005529	-
XP_022025807.1	gene-LOC110926365	rna-XM_022170115.2	NC_035449.2	1877852	1880421	+
XP_022026331.1	gene-LOC110927047	rna-XM_022170639.2	NC_035434.2	166250290	166252037	+
XP_022029508.1	gene-LOC110930503	rna-XM_022173816.2	NC_035435.2	163300314	163302838	-
XP_022029689.1	gene-LOC110930648	rna-XM_022173997.2	NC_035435.2	167829005	167830856	+
XP_022032747.1	gene-LOC110933853	rna-XM_022177055.2	NC_035436.2	163382054	163384124	-
XP_022035417.1	gene-LOC110937325	rna-XM_022179725.2	NC_035434.2	135407960	135410684	+
XP_022035419.1	gene-LOC110937328	rna-XM_022179727.2	NC_035434.2	135449674	135451033	+
XP_022035921.1	gene-LOC110937771	rna-XM_022180229.2	NC_035448.2	104520431	104522993	+
XP_022036172.1	gene-LOC110938010	rna-XM_022180480.2	NC_035436.2	202501181	202504365	+
XP_022037229.1	gene-LOC110939970	rna-XM_022181537.2	NC_035437.2	11889108	11890313	+
XP_022038870.1	gene-LOC110941540	rna-XM_022183178.2	NC_035437.2	153436199	153439654	-
XP_035831160.1	gene-LOC110908807	rna-XM_035975267.1	NC_035439.2	129103100	129106231	-
XP_035832764.1	gene-LOC118481678	rna-XM_035976871.1	NC_035441.2	100909435	100911255	+
XP_035833122.1	gene-LOC110877765	rna-XM_035977229.1	NC_035441.2	58444677	58457317	-
XP_035833123.1	gene-LOC110877765	rna-XM_035977230.1	NC_035441.2	58444677	58457317	-
XP_035833912.1	gene-LOC118479416	rna-XM_035978019.1	NC_035441.2	185884581	185885696	+
XP_035834143.1	gene-LOC110881936	rna-XM_035978250.1	NC_035442.2	100902148	100903625	+
XP_035834144.1	gene-LOC110885224	rna-XM_035978251.1	NC_035442.2	101125600	101141735	+
XP_035835916.1	gene-LOC110890906	rna-XM_035980023.1	NC_035443.2	165665782	165671445	-
XP_035835917.1	gene-LOC110890906	rna-XM_035980024.1	NC_035443.2	165665782	165671445	-
XP_035835918.1	gene-LOC110890906	rna-XM_035980025.1	NC_035443.2	165665782	165671445	-
XP_035835920.1	gene-LOC110890906	rna-XM_035980027.1	NC_035443.2	165665782	165671445	-
XP_035835921.1	gene-LOC110890906	rna-XM_035980028.1	NC_035443.2	165665782	165671445	-
XP_035835922.1	gene-LOC110890906	rna-XM_035980029.1	NC_035443.2	165665782	165671445	-
XP_035835923.1	gene-LOC110890906	rna-XM_035980030.1	NC_035443.2	165665782	165671445	-
XP_035835924.1	gene-LOC110890906	rna-XM_035980031.1	NC_035443.2	165665782	165671445	-
XP_035835925.1	gene-LOC110890906	rna-XM_035980032.1	NC_035443.2	165665782	165671445	-
XP_035837035.1	gene-LOC110892775	rna-XM_035981142.1	NC_035444.2	47043367	47139426	+
