accession	title	length
NC_056623.2	Lactuca sativa cultivar Salinas chromosome 1, Lsat_Salinas_v11, whole genome shotgun sequence	252620903
NC_056624.2	Lactuca sativa cultivar Salinas chromosome 2, Lsat_Salinas_v11, whole genome shotgun sequence	236378258
NC_056625.2	Lactuca sativa cultivar Salinas chromosome 3, Lsat_Salinas_v11, whole genome shotgun sequence	324658466
NC_056626.2	Lactuca sativa cultivar Salinas chromosome 4, Lsat_Salinas_v11, whole genome shotgun sequence	410295809
NC_056627.2	Lactuca sativa cultivar Salinas chromosome 5, Lsat_Salinas_v11, whole genome shotgun sequence	371842284
NC_056628.2	Lactuca sativa cultivar Salinas chromosome 6, Lsat_Salinas_v11, whole genome shotgun sequence	206656949
NC_056629.2	Lactuca sativa cultivar Salinas chromosome 7, Lsat_Salinas_v11, whole genome shotgun sequence	209897964
NC_056630.2	Lactuca sativa cultivar Salinas chromosome 8, Lsat_Salinas_v11, whole genome shotgun sequence	343517054
NC_056631.2	Lactuca sativa cultivar Salinas chromosome 9, Lsat_Salinas_v11, whole genome shotgun sequence	229423371
NC_003070.9	Arabidopsis thaliana chromosome 1 sequence	30427671
NC_003071.7	Arabidopsis thaliana chromosome 2, partial sequence	19698289
NC_003074.8	Arabidopsis thaliana chromosome 3, partial sequence	23459830
NC_003075.7	Arabidopsis thaliana chromosome 4, partial sequence	18585056
NC_003076.8	Arabidopsis thaliana chromosome 5, partial sequence	26975502
