loc_id	product	subfamily
LOC110864409	aquaporin PIP1-3%2C transcript variant X2	PIP
LOC110865440	probable aquaporin SIP2-1	SIP
LOC110866810	aquaporin PIP2-4	PIP
LOC110868194	probable aquaporin NIP-type	NIP
LOC110868195	probable aquaporin NIP-type	NIP
LOC110868317	aquaporin PIP2-4	PIP
LOC110868318	probable aquaporin PIP2-4	PIP
LOC110868323	probable aquaporin PIP2-4	PIP
LOC110868334	aquaporin PIP2-1	PIP
LOC110868335	aquaporin PIP2-4	PIP
LOC110868358	aquaporin PIP2-4	PIP
LOC110868884	probable aquaporin PIP2-5	PIP
LOC110868941	probable aquaporin PIP1-4	PIP
LOC110872387	probable aquaporin NIP5-1	NIP
LOC110872551	aquaporin TIP1-3	TIP
LOC110875557	aquaporin PIP2-2	PIP
LOC110875737	probable aquaporin TIP1-1	TIP
LOC110878958	aquaporin SIP1-1	SIP
LOC110887087	probable aquaporin PIP2-8	PIP
LOC110889695	probable aquaporin PIP2-5	PIP
LOC110890906	aquaporin PIP2-7%2C transcript variant X1	PIP
LOC110891299	aquaporin TIP1-1	TIP
LOC110892775	aquaporin PIP2-2-like	PIP
LOC110894830	aquaporin PIP2-1	PIP
LOC110895309	probable aquaporin PIP2-8	PIP
LOC110896719	probable aquaporin TIP1-2	TIP
LOC110897890	aquaporin PIP1-3	PIP
LOC110898014	aquaporin TIP1-1	TIP
LOC110899589	aquaporin PIP1-3	PIP
LOC110899592	aquaporin PIP1-3	PIP
LOC110899653	probable aquaporin TIP-type RB7-5A	TIP
LOC110899654	probable aquaporin TIP-type RB7-5A	TIP
LOC110899655	probable aquaporin TIP-type	TIP
LOC110899667	probable aquaporin TIP-type RB7-5A	TIP
LOC110904303	aquaporin PIP2-2	PIP
LOC110904450	probable aquaporin PIP2-4	PIP
LOC110904451	probable aquaporin PIP2-4	PIP
LOC110904457	probable aquaporin PIP2-4	PIP
LOC110904925	probable aquaporin PIP1-4	PIP
LOC110905693	probable aquaporin NIP-type	NIP
LOC110906290	probable aquaporin TIP5-1	TIP
LOC110906934	aquaporin PIP2-1	PIP
LOC110908794	aquaporin PIP2-2	PIP
LOC110908807	aquaporin PIP2-2-like	PIP
LOC110911761	aquaporin NIP1-1	NIP
LOC110912639	probable aquaporin TIP3-2	TIP
LOC110914202	nodulin-26	unknown
LOC110916097	probable aquaporin TIP-type	TIP
LOC110916291	probable aquaporin TIP-type RB7-5A	TIP
LOC110921506	probable aquaporin NIP5-1	NIP
LOC110923014	aquaporin PIP1-3	PIP
LOC110925968	aquaporin PIP2-7	PIP
LOC110926365	probable aquaporin NIP5-1	NIP
LOC110927047	aquaporin TIP1-1	TIP
LOC110930503	aquaporin PIP1-3	PIP
LOC110930648	probable aquaporin TIP-type	TIP
LOC110933853	aquaporin NIP1-1	NIP
LOC110937325	aquaporin PIP1-3	PIP
LOC110937771	aquaporin TIP3-1	TIP
LOC110939970	aquaporin TIP1-3	TIP
LOC110941540	aquaporin NIP6-1	NIP
