loc_id	product	subfamily.x	chromosome	start	end	strand	gene_name	subfamily.y	gene_length_bp	exon_count	total_exon_length	intron_count	avg_intron_length	mrna_variants
LOC110864409	aquaporin PIP1-3%2C transcript variant X2	PIP	NC_035438.2	3761973	3769494	+	aquaporin PIP1-3, transcript variant X2	PIP	7522	8	2030	7	785	2
LOC110865440	probable aquaporin SIP2-1	SIP	NC_035438.2	47755436	47758420	+	probable aquaporin SIP2-1	SIP	2985	3	1192	2	896	1
LOC110866810	aquaporin PIP2-4	PIP	NC_035439.2	119735398	119737473	+	aquaporin PIP2-4	PIP	2076	4	1174	3	301	1
LOC110868194	probable aquaporin NIP-type	NIP	NC_035439.2	98648385	98649923	+	probable aquaporin NIP-type	NIP	1539	5	957	4	146	1
LOC110868195	probable aquaporin NIP-type	NIP	NC_035439.2	98654820	98659435	+	probable aquaporin NIP-type	NIP	4616	6	828	5	758	1
LOC110868317	aquaporin PIP2-4	PIP	NC_035439.2	120170669	120172599	-	aquaporin PIP2-4	PIP	1931	4	1245	3	229	1
LOC110868318	probable aquaporin PIP2-4	PIP	NC_035439.2	120156300	120159035	+	probable aquaporin PIP2-4	PIP	2736	4	1931	3	268	1
LOC110868323	probable aquaporin PIP2-4	PIP	NC_035439.2	120106244	120109396	+	probable aquaporin PIP2-4	PIP	3153	4	2348	3	268	1
LOC110868334	aquaporin PIP2-1	PIP	NC_035439.2	119863945	119865688	-	aquaporin PIP2-1	PIP	1744	4	1085	3	220	1
LOC110868335	aquaporin PIP2-4	PIP	NC_035439.2	119895848	119897953	-	aquaporin PIP2-4	PIP	2106	4	1172	3	311	1
LOC110868358	aquaporin PIP2-4	PIP	NC_035439.2	120285272	120287478	-	aquaporin PIP2-4	PIP	2207	4	1282	3	308	1
LOC110868884	probable aquaporin PIP2-5	PIP	NC_035446.2	160857907	160859585	+	probable aquaporin PIP2-5	PIP	1679	4	1012	3	222	1
LOC110868941	probable aquaporin PIP1-4	PIP	NC_035439.2	142797261	142801210	+	probable aquaporin PIP1-4	PIP	3950	4	1124	3	942	1
LOC110872387	probable aquaporin NIP5-1	NIP	NC_035438.2	6725442	6728514	-	probable aquaporin NIP5-1	NIP	3073	5	1877	4	299	1
LOC110872551	aquaporin TIP1-3	TIP	NC_035440.2	31697135	31699477	+	aquaporin TIP1-3	TIP	2343	3	1242	2	550	1
LOC110875557	aquaporin PIP2-2	PIP	NC_035433.2	122456136	122459050	+	aquaporin PIP2-2	PIP	2915	4	1196	3	573	1
LOC110875737	probable aquaporin TIP1-1	TIP	NC_035433.2	118858363	118860009	-	probable aquaporin TIP1-1	TIP	1647	2	1048	1	599	1
LOC110878958	aquaporin SIP1-1	SIP	NC_035433.2	133758482	133764635	+	aquaporin SIP1-1	SIP	6154	3	958	2	2598	1
LOC110887087	probable aquaporin PIP2-8	PIP	NC_035434.2	18872278	18876043	+	probable aquaporin PIP2-8	PIP	3766	2	549	1	3217	1
LOC110889695	probable aquaporin PIP2-5	PIP	NC_035439.2	110555409	110558472	-	probable aquaporin PIP2-5	PIP	3064	4	1142	3	641	1
LOC110890906	aquaporin PIP2-7%2C transcript variant X1	PIP	NC_035443.2	165665782	165671445	-	aquaporin PIP2-7, transcript variant X1	PIP	5664	15	8003	14	0	10
LOC110891299	aquaporin TIP1-1	TIP	NC_035443.2	179779294	179781918	-	aquaporin TIP1-1	TIP	2625	2	1017	1	1608	1
LOC110892775	aquaporin PIP2-2-like	PIP	NC_035444.2	47043367	47139426	+	aquaporin PIP2-2-like	PIP	96060	4	1135	3	31642	1
LOC110894830	aquaporin PIP2-1	PIP	NC_035444.2	50504395	50507124	-	aquaporin PIP2-1	PIP	2730	4	1081	3	550	1
LOC110895309	probable aquaporin PIP2-8	PIP	NC_035444.2	77463396	77466254	-	probable aquaporin PIP2-8	PIP	2859	4	1148	3	570	1
LOC110896719	probable aquaporin TIP1-2	TIP	NC_035444.2	52868473	52869622	-	probable aquaporin TIP1-2	TIP	1150	3	942	2	104	1
LOC110897890	aquaporin PIP1-3	PIP	NC_035445.2	52701936	52703695	+	aquaporin PIP1-3	PIP	1760	4	1284	3	159	1
LOC110898014	aquaporin TIP1-1	TIP	NC_035445.2	66823905	66825925	+	aquaporin TIP1-1	TIP	2021	2	1026	1	995	1
LOC110899589	aquaporin PIP1-3	PIP	NC_035445.2	142927394	142930503	-	aquaporin PIP1-3	PIP	3110	4	1132	3	659	1
LOC110899592	aquaporin PIP1-3	PIP	NC_035445.2	142940337	142943450	-	aquaporin PIP1-3	PIP	3114	4	1132	3	661	1
LOC110899653	probable aquaporin TIP-type RB7-5A	TIP	NC_035445.2	147645910	147647572	+	probable aquaporin TIP-type RB7-5A	TIP	1663	3	1015	2	324	1
LOC110899654	probable aquaporin TIP-type RB7-5A	TIP	NC_035445.2	147630911	147632444	+	probable aquaporin TIP-type RB7-5A	TIP	1534	3	1044	2	245	1
LOC110899655	probable aquaporin TIP-type	TIP	NC_035445.2	147558273	147559842	+	probable aquaporin TIP-type	TIP	1570	3	1072	2	249	1
