gene_id	protein_id	chromosome	gene_start	gene_end	strand	gene_length	num_exons	total_exon_length	num_introns	total_intron_length	avg_intron_length	num_utr5	num_utr3
gene-LOC110864409	XP_021969157.1	NC_035438.2	3761973	3769494	+	7522	5	1240	4	6282	1570.5	0	0
gene-LOC110864409	XP_021969157.1	NC_035438.2	3761973	3769494	+	7522	4	1089	3	2897	965.7	0	0
gene-LOC110865440	XP_021970374.1	NC_035438.2	47755436	47758420	+	2985	3	1192	2	1793	896.5	0	0
gene-LOC110866810	XP_021971649.1	NC_035439.2	119735398	119737473	+	2076	4	1174	3	902	300.7	0	0
gene-LOC110868194	XP_021972988.1	NC_035439.2	98648385	98649923	+	1539	5	957	4	582	145.5	0	0
gene-LOC110868195	XP_021972990.2	NC_035439.2	98654820	98659435	+	4616	6	828	5	3788	757.6	0	0
gene-LOC110868317	XP_021973144.1	NC_035439.2	120170669	120172599	-	1931	4	1245	3	686	228.7	0	0
gene-LOC110868318	XP_021973145.1	NC_035439.2	120156300	120159035	+	2736	4	1931	3	805	268.3	0	0
gene-LOC110868323	XP_021973148.1	NC_035439.2	120106244	120109396	+	3153	4	2348	3	805	268.3	0	0
gene-LOC110868334	XP_021973154.1	NC_035439.2	119863945	119865688	-	1744	4	1085	3	659	219.7	0	0
gene-LOC110868335	XP_021973155.1	NC_035439.2	119895848	119897953	-	2106	4	1172	3	934	311.3	0	0
gene-LOC110868358	XP_021973181.1	NC_035439.2	120285272	120287478	-	2207	4	1282	3	925	308.3	0	0
gene-LOC110868884	XP_021973843.1	NC_035446.2	160857907	160859585	+	1679	4	1012	3	667	222.3	0	0
gene-LOC110868941	XP_021973917.1	NC_035439.2	142797261	142801210	+	3950	4	1124	3	2826	942.0	0	0
gene-LOC110872387	XP_021976874.1	NC_035438.2	6725442	6728514	-	3073	5	1877	4	1196	299.0	0	0
gene-LOC110872551	XP_021977057.1	NC_035440.2	31697135	31699477	+	2343	3	1242	2	1101	550.5	0	0
gene-LOC110873151	XP_021977771.1	NC_035440.2	80023625	80024873	+	1249	3	1069	2	180	90.0	0	0
gene-LOC110873322	XP_021977943.1	NC_035440.2	86248730	86251926	-	3197	5	1037	4	2160	540.0	0	0
gene-LOC110875557	XP_021979449.1	NC_035433.2	122456136	122459050	+	2915	4	1196	3	1719	573.0	0	0
gene-LOC110875737	XP_021979635.1	NC_035433.2	118858363	118860009	-	1647	2	1048	1	599	599.0	0	0
gene-LOC110875755	XP_021979651.1	NC_035433.2	111407258	111411598	+	4341	5	1316	4	3025	756.2	0	0
gene-LOC110877765	XP_035833123.1	NC_035441.2	58444677	58457317	-	12641	5	1039	4	11602	2900.5	0	0
gene-LOC110878958	XP_021983051.1	NC_035433.2	133758482	133764635	+	6154	3	958	2	5196	2598.0	0	0
gene-LOC110880175	XP_021984447.2	NC_035448.2	7445030	7446258	+	1229	3	979	2	250	125.0	0	0
gene-LOC110884546	XP_021987955.1	NC_035449.2	41606439	41609104	+	2666	5	1095	4	1571	392.8	0	0
gene-LOC110884547	XP_021987957.1	NC_035449.2	41553202	41555055	+	1854	5	1048	4	806	201.5	0	0
gene-LOC110884851	XP_021988248.1	NC_035442.2	76051070	76053808	-	2739	3	1130	2	1609	804.5	0	0
