gene1	gene2	protein1	protein2	identity	Ka	Ks	Ka_Ks	selection
LOC110864409	LOC110923014	XP_021969156.1	XP_022022901.1	98.258	0.0123	0.4327	0.0285	purifying
LOC110864409	LOC110937325	XP_021969156.1	XP_022035417.1	97.909	0.0139	0.6761	0.0205	purifying
LOC110864409	LOC110897890	XP_021969156.1	XP_022000317.1	96.516	0.028	0.6752	0.0415	purifying
LOC110864409	LOC110899592	XP_021969156.1	XP_022002168.1	95.122	0.0296	0.7176	0.0412	purifying
LOC110864409	LOC110899589	XP_021969156.1	XP_022002167.1	95.122	0.0296	0.7176	0.0412	purifying
LOC110864409	LOC110930503	XP_021969156.1	XP_022029508.1	94.425	0.0344	0.6827	0.0505	purifying
LOC110864409	LOC110904925	XP_021969156.1	XP_022006482.1	91.638	1.6602	2.9286	0.5669	purifying
LOC110864409	LOC110868941	XP_021969156.1	XP_021973917.1	88.502	1.6921	2.2786	0.7426	purifying
LOC110864409	LOC110864409	XP_021969156.1	XP_021969157.1	98.092	0.0909	0.0817	1.1121	positive
LOC110864409	LOC110868884	XP_021969156.1	XP_021973843.1	75.379				neutral/NA
LOC110864409	LOC110890906	XP_021969156.1	XP_035835925.1	73.432				neutral/NA
LOC110864409	LOC110890906	XP_021969156.1	XP_035835924.1	73.432				neutral/NA
LOC110864409	LOC110890906	XP_021969156.1	XP_035835923.1	73.432				neutral/NA
LOC110864409	LOC110890906	XP_021969156.1	XP_035835922.1	73.432				neutral/NA
LOC110864409	LOC110890906	XP_021969156.1	XP_035835921.1	73.432				neutral/NA
LOC110864409	LOC110890906	XP_021969156.1	XP_035835920.1	73.432				neutral/NA
LOC110864409	LOC110890906	XP_021969156.1	XP_035835918.1	73.432				neutral/NA
LOC110864409	LOC110890906	XP_021969156.1	XP_035835917.1	73.432				neutral/NA
LOC110864409	LOC110890906	XP_021969156.1	XP_035835916.1	73.432				neutral/NA
LOC110864409	LOC110923014	XP_021969157.1	XP_022022901.1	96.947	0.1012	0.4792	0.2112	purifying
LOC110864409	LOC110937325	XP_021969157.1	XP_022035417.1	95.167	0.1047	0.7965	0.1314	purifying
LOC110864409	LOC110897890	XP_021969157.1	XP_022000317.1	95.42	0.1171	0.7284	0.1607	purifying
LOC110864409	LOC110899592	XP_021969157.1	XP_022002168.1	93.893	0.1169	0.7344	0.1592	purifying
LOC110864409	LOC110899589	XP_021969157.1	XP_022002167.1	93.893	0.1169	0.7344	0.1592	purifying
LOC110864409	LOC110930503	XP_021969157.1	XP_022029508.1	93.13	0.119	0.7492	0.1589	purifying
LOC110864409	LOC110904925	XP_021969157.1	XP_022006482.1	89.63	1.6006	3.4166	0.4685	purifying
LOC110864409	LOC110868941	XP_021969157.1	XP_021973917.1	85.926	1.6712	2.4436	0.6839	purifying
LOC110864409	LOC110868884	XP_021969157.1	XP_021973843.1	75.104				neutral/NA
LOC110864409	LOC110890906	XP_021969157.1	XP_035835925.1	72.581	2.2443	2.6726	0.8398	purifying
