chr1	chr2	species1	gene1	prot1	species2	gene2	prot2	partner_in_reference_set
At_NC_003070.9	Ha_NC_035437.2	At	LOC844415	NP_178191.1	Ha	LOC110941540	XP_022038870.1	yes
At_NC_003070.9	Ha_NC_035448.2	At	LOC841648	NP_175629.1	Ha	LOC110880175	XP_021984447.2	yes
At_NC_003071.7	Ha_NC_035443.2	At	LOC818255	NP_181221.1	Ha	LOC110891299	XP_021994685.2	yes
At_NC_003071.7	Ha_NC_035449.2	At	LOC816186	NP_179277.1	Ha	LOC110925968	XP_022025446.1	yes
At_NC_003074.8	Ha_NC_035441.2	At	LOC820870	NP_188245.1	Ha	LOC118479416	XP_035833912.1	yes
At_NC_003074.8	Ha_NC_035448.2	At	LOC820870	NP_188245.1	Ha	LOC110880175	XP_021984447.2	yes
At_NC_003075.7	Ha_NC_035438.2	At	LOC826630	NP_192776.1	Ha	LOC110872387	XP_021976874.1	yes
At_NC_003075.7	Ha_NC_035444.2	At	LOC829662	NP_195236.1	Ha	LOC110895309	XP_021998290.1	yes
At_NC_003075.7	Ha_NC_035445.2	At	LOC827446	NP_193465.1	Ha	LOC110899655	XP_022002237.1	yes
At_NC_003075.7	Ha_NC_035449.2	At	LOC829662	NP_195236.1	Ha	LOC110925968	XP_022025446.1	yes
At_NC_003076.8	Ha_NC_035445.2	At	LOC834794	NP_199556.1	Ha	LOC110899655	XP_022002237.1	yes
Ha_NC_035433.2	Ha_NC_035434.2	Ha	LOC110875737	XP_021979635.1	Ha	LOC110927047	XP_022026331.1	no
Ha_NC_035433.2	Ha_NC_035439.2	Ha	LOC110875557	XP_021979449.1	Ha	LOC110908794	XP_022009469.1	no
Ha_NC_035433.2	Ha_NC_035443.2	Ha	LOC110875557	XP_021979449.1	Ha	LOC110890906	XP_035835924.1	no
Ha_NC_035433.2	Ha_NC_035445.2	Ha	LOC110878958	XP_021983051.1	Ha	LOC110898128	XP_022000573.1	no
Ha_NC_035433.2	Ha_NC_035445.2	Ha	LOC110875737	XP_021979635.1	Ha	LOC110898014	XP_022000445.1	no
Ha_NC_035434.2	Ha_NC_035438.2	Ha	LOC110937325	XP_022035417.1	Ha	LOC110864409	XP_021969156.1	no
Ha_NC_035434.2	Ha_NC_035445.2	Ha	LOC110927047	XP_022026331.1	Ha	LOC110898014	XP_022000445.1	no
Ha_NC_035434.2	Ha_NC_035445.2	Ha	LOC110937325	XP_022035417.1	Ha	LOC110897890	XP_022000317.1	no
Ha_NC_035434.2	Ha_NC_035445.2	Ha	LOC110937325	XP_022035417.1	Ha	LOC110899589	XP_022002167.1	no
