gene_id	gene_length_bp	exon_count	total_exon_length	intron_count	avg_intron_length	mrna_variants
LOC110864409	7522	8	2030	7	785	2
LOC110865440	2985	3	1192	2	896	1
LOC110866810	2076	4	1174	3	301	1
LOC110868194	1539	5	957	4	146	1
LOC110868195	4616	6	828	5	758	1
LOC110868317	1931	4	1245	3	229	1
LOC110868318	2736	4	1931	3	268	1
LOC110868323	3153	4	2348	3	268	1
LOC110868334	1744	4	1085	3	220	1
LOC110868335	2106	4	1172	3	311	1
LOC110868358	2207	4	1282	3	308	1
LOC110868884	1679	4	1012	3	222	1
LOC110868941	3950	4	1124	3	942	1
LOC110872387	3073	5	1877	4	299	1
LOC110872551	2343	3	1242	2	550	1
LOC110875557	2915	4	1196	3	573	1
LOC110875737	1647	2	1048	1	599	1
LOC110878958	6154	3	958	2	2598	1
LOC110887087	3766	2	549	1	3217	1
LOC110889695	3064	4	1142	3	641	1
LOC110890906	5664	15	8003	14	0	10
LOC110891299	2625	2	1017	1	1608	1
LOC110892775	96060	4	1135	3	31642	1
LOC110894830	2730	4	1081	3	550	1
LOC110895309	2859	4	1148	3	570	1
LOC110896719	1150	3	942	2	104	1
LOC110897890	1760	4	1284	3	159	1
LOC110898014	2021	2	1026	1	995	1
LOC110899589	3110	4	1132	3	659	1
LOC110899592	3114	4	1132	3	661	1
LOC110899653	1663	3	1015	2	324	1
LOC110899654	1534	3	1044	2	245	1
LOC110899655	1570	3	1072	2	249	1
LOC110899667	1643	3	1010	2	316	1
LOC110904303	2568	4	1188	3	460	1
LOC110904450	1339	3	1135	2	102	1
LOC110904451	1264	3	1060	2	102	1
LOC110904457	1455	3	1236	2	110	1
LOC110904925	2301	3	1228	2	536	1
LOC110905693	2035	5	967	4	267	1
LOC110906290	1996	3	1433	2	282	1
LOC110906934	1175	4	918	3	86	1
LOC110908794	2395	4	1145	3	417	1
LOC110908807	3132	4	1200	3	644	1
LOC110911761	1971	5	1029	4	236	1
LOC110912639	1468	3	939	2	264	1
LOC110914202	2826	5	1260	4	392	1
LOC110916097	1613	3	1258	2	178	1
LOC110916291	1309	3	1019	2	145	1
LOC110921506	2012	4	1727	3	95	1
LOC110923014	2294	4	1171	3	374	1
LOC110925968	1654	4	1216	3	146	1
LOC110926365	2570	4	1721	3	283	1
LOC110927047	1748	2	999	1	749	1
LOC110930503	2525	4	1085	3	480	1
LOC110930648	1852	3	1045	2	404	1
LOC110933853	2071	5	995	4	269	1
LOC110937325	2725	4	1316	3	470	1
LOC110937771	2563	3	1325	2	619	1
LOC110939970	1206	3	965	2	120	1
LOC110941540	3456	5	1299	4	539	1
