gene	total_motifs	motif_1	motif_2	motif_3	motif_4	motif_5	motif_6	motif_7	motif_8	motif_9	motif_10	motif_11	motif_12	motif_13	motif_14	motif_15	motif_16	motif_17	motif_18	motif_19	motif_20
XP_021969156.1	9	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0
XP_021969157.1	8	1	1	1	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0
XP_021970374.1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
XP_021971649.1	10	1	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0
XP_021972988.1	7	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0
XP_021972990.2	5	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
XP_021973144.1	11	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0
XP_021973145.1	10	1	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0
XP_021973148.1	10	1	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0
XP_021973154.1	11	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0
XP_021973155.1	11	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0
XP_021973181.1	11	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0
XP_021973843.1	11	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0
XP_021973917.1	10	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0
XP_021976874.1	6	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0
XP_021977057.1	8	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0
XP_021977771.1	7	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0
XP_021977943.1	6	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0
XP_021979449.1	11	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0
XP_021979635.1	7	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0
XP_021979651.1	7	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0
XP_021981655.1	4	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
XP_021983051.1	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
XP_021984447.2	8	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0
XP_021987955.1	7	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0
XP_021987957.1	7	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0
XP_021988248.1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
XP_021989956.1	6	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0
XP_021990076.1	8	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0
XP_021992949.1	9	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0
XP_021994152.1	7	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0
