protein_id	dom_evalue	dom_score	ali_from	ali_to	domain_len
XP_021969156.1	3.2e-86	281.4	44	274	231
XP_021969157.1	3.5e-75	245.3	44	259	216
XP_021970374.1	4.5e-10	32.4	36	218	183
XP_021971649.1	4.4e-87	284.2	39	274	236
XP_021972988.1	8.6e-62	201.5	26	237	212
XP_021972990.2	2.5e-59	193.4	24	235	212
XP_021973144.1	2e-87	285.3	30	265	236
XP_021973145.1	3e-87	284.7	30	265	236
XP_021973148.1	3e-87	284.7	30	265	236
XP_021973154.1	9e-87	283.2	30	265	236
XP_021973155.1	2.3e-87	285.1	30	265	236
XP_021973181.1	2.9e-87	284.8	30	265	236
XP_021973843.1	2.6e-88	288.2	29	264	236
XP_021973917.1	8.4e-85	276.7	45	275	231
XP_021975607.1	2e-18	59.7	29	95	67
XP_021976874.1	9.9e-54	175.1	62	271	210
XP_021977057.1	2e-76	249.3	14	234	221
XP_021977771.1	1.6e-79	259.4	14	231	218
XP_021977943.1	1.7e-58	190.7	40	247	208
XP_021979449.1	8.8e-87	283.2	35	270	236
XP_021979635.1	9.7e-78	253.6	18	238	221
XP_021979651.1	2e-67	219.9	37	248	212
XP_021981655.1	4.9e-44	143.4	31	234	204
XP_021983051.1	3.7e-22	71.9	4	223	220
XP_021984447.2	1.7e-80	262.7	14	232	219
XP_021985922.2	1.4e-13	43.9	55	103	49
XP_021987955.1	1.3e-57	187.9	40	247	208
XP_021987957.1	4.7e-58	189.3	36	243	208
XP_021988248.1	2.7e-10	33.1	8	219	212
XP_021989956.1	7.5e-57	185.3	40	248	209
XP_021990076.1	3.5e-81	264.9	14	232	219
XP_021990674.1	4.5e-17	55.3	30	95	66
XP_021992949.1	2.3e-87	285.1	27	263	237
XP_021994152.1	2.2e-66	216.5	24	235	212
XP_021994243.1	1.6e-86	282.4	35	270	236
XP_021994685.2	3.1e-82	268.3	14	234	221
XP_021997121.1	1.4e-81	266.2	14	232	219
XP_021997756.1	2.8e-86	281.6	29	262	234
XP_021998290.1	3.8e-87	284.4	29	258	230
XP_021999580.1	2.1e-75	246.0	14	234	221
XP_022000317.1	9.2e-86	279.9	44	274	231
XP_022000445.1	1.5e-78	256.3	24	241	218
XP_022000573.1	3e-20	65.7	5	223	219
XP_022000943.1	1.8e-71	233.2	12	229	218
XP_022002167.1	2.1e-85	278.7	44	274	231
XP_022002168.1	2.1e-85	278.7	44	274	231
XP_022002235.1	6.7e-83	270.5	15	232	218
XP_022002236.1	1.7e-81	265.9	15	232	218
XP_022002237.1	9e-83	270.1	15	232	218
XP_022002249.1	6.7e-83	270.5	15	232	218
XP_022005838.1	1.6e-87	285.6	29	264	236
XP_022005989.1	4.9e-89	290.6	30	265	236
XP_022005990.1	4e-89	290.9	30	265	236
XP_022005993.1	4.8e-89	290.6	30	265	236
XP_022006482.1	3.6e-86	281.2	45	275	231
XP_022006941.1	4.2e-61	199.2	27	237	211
XP_022007155.1	1.9e-62	203.6	16	234	219
XP_022007682.2	1.1e-81	266.6	2	233	232
XP_022009396.1	2.3e-19	62.8	4	225	222
XP_022009418.1	8e-13	41.4	32	82	51
XP_022009469.1	5.8e-88	287.1	29	264	236
XP_022011339.1	1.9e-57	187.3	39	247	209
XP_022011398.1	4.2e-57	186.2	47	254	208
XP_022012100.1	1.7e-67	220.2	32	243	212
XP_022012102.1	8.5e-65	211.3	37	248	212
XP_022013098.1	5.4e-82	267.6	13	234	222
XP_022014304.1	2.1e-62	203.5	35	244	210
XP_022014704.1	1.2e-62	204.3	39	249	211
XP_022016546.1	4.5e-81	264.5	14	232	219
XP_022016725.1	1.5e-80	262.9	14	232	219
XP_022021453.1	1.4e-64	210.7	39	246	208
XP_022021536.1	1.7e-51	167.8	65	273	209
XP_022022901.1	3.6e-86	281.2	44	274	231
XP_022023717.1	3.4e-57	186.4	40	247	208
XP_022025446.1	9.2e-86	279.9	29	258	230
XP_022025807.1	5.4e-51	166.2	69	277	209
XP_022026331.1	6.5e-79	257.5	21	241	221
XP_022029508.1	7.3e-84	273.7	44	274	231
XP_022029689.1	1e-82	269.9	15	232	218
XP_022031599.1	3.1e-17	55.8	30	95	66
XP_022032747.1	7.9e-64	208.2	36	246	211
XP_022035417.1	2.7e-86	281.6	44	274	231
XP_022035419.1	4.4e-84	274.4	44	274	231
XP_022035921.1	4.8e-81	264.5	13	234	222
XP_022036172.1	4.3e-09	29.2	8	217	210
XP_022037229.1	1.7e-79	259.4	15	234	220
XP_022038870.1	4.2e-55	179.6	74	282	209
XP_035831160.1	2.6e-88	288.2	29	264	236
XP_035832764.1	1.1e-80	263.3	46	275	230
XP_035833122.1	1.2e-43	142.2	58	264	207
XP_035833123.1	3.2e-25	81.9	58	223	166
XP_035833912.1	6e-81	264.1	14	232	219
XP_035834143.1	5.6e-39	126.9	60	293	234
XP_035834144.1	5.5e-38	123.7	58	292	235
XP_035835143.1	4.9e-23	74.7	37	96	60
XP_035835916.1	1.6e-86	282.4	35	270	236
XP_035835917.1	1.6e-86	282.4	35	270	236
XP_035835918.1	1.6e-86	282.4	35	270	236
XP_035835920.1	1.6e-86	282.4	35	270	236
XP_035835921.1	1.6e-86	282.4	35	270	236
XP_035835922.1	1.6e-86	282.4	35	270	236
XP_035835923.1	1.6e-86	282.4	35	270	236
XP_035835924.1	1.6e-86	282.4	35	270	236
XP_035835925.1	1.6e-86	282.4	35	270	236
XP_035837035.1	7.7e-83	270.3	30	262	233
