accession	title	organism
NP_001030851.1	plasma membrane intrinsic protein 2A [Arabidopsis thaliana]	Arabidopsis thaliana
NP_001077441.1	plasma membrane intrinsic protein 1C [Arabidopsis thaliana]	Arabidopsis thaliana
NP_001078066.1	plasma membrane intrinsic protein 1B [Arabidopsis thaliana]	Arabidopsis thaliana
NP_001078067.1	plasma membrane intrinsic protein 1B [Arabidopsis thaliana]	Arabidopsis thaliana
NP_001078323.1	plasma membrane intrinsic protein 1A [Arabidopsis thaliana]	Arabidopsis thaliana
NP_001190113.1	small and basic intrinsic protein 2;1 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_001190329.1	Aquaporin-like superfamily protein [Arabidopsis thaliana]	Arabidopsis thaliana
NP_001190920.1	plasma membrane intrinsic protein 3 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_001233846.2	aquaporin PIP2-9 [Solanum lycopersicum]	Solanum lycopersicum
NP_001234103.1	aquaporin-like [Solanum lycopersicum]	Solanum lycopersicum
NP_001234139.1	aquaporin PIP1-5 [Solanum lycopersicum]	Solanum lycopersicum
NP_001234413.2	Aqp2 protein [Solanum lycopersicum]	Solanum lycopersicum
NP_001234625.1	aquaporin PIP2-4 [Solanum lycopersicum]	Solanum lycopersicum
NP_001238800.1	X intrinsic isoform 1 [Solanum lycopersicum]	Solanum lycopersicum
NP_001266257.2	plasmamembrane intrinsic protein 2.8 [Solanum lycopersicum]	Solanum lycopersicum
NP_001274279.1	nodulin-26-like [Solanum lycopersicum]	Solanum lycopersicum
NP_001274281.1	aquaporin SIP1-3 [Solanum lycopersicum]	Solanum lycopersicum
NP_001274283.1	Lsi-1 [Solanum lycopersicum]	Solanum lycopersicum
NP_001274288.1	probable aquaporin NIP5-1-like [Solanum lycopersicum]	Solanum lycopersicum
NP_001274290.1	aquaporin SIP1-2-like [Solanum lycopersicum]	Solanum lycopersicum
NP_001274291.1	aquaporin PIP1-3 [Solanum lycopersicum]	Solanum lycopersicum
NP_001274296.1	tonoplast intrinsic protein 2.2 [Solanum lycopersicum]	Solanum lycopersicum
NP_001274301.1	probable aquaporin TIP3-2-like [Solanum lycopersicum]	Solanum lycopersicum
NP_001274308.1	aquaporin PIP2-1-like [Solanum lycopersicum]	Solanum lycopersicum
NP_001274695.1	aquaporin TIP1-3-like [Solanum lycopersicum]	Solanum lycopersicum
NP_001274703.1	TIP protein [Solanum lycopersicum]	Solanum lycopersicum
