gene_id	chromosome	start	end	strand	gene_name	subfamily
LOC110864409	NC_035438.2	3761973	3769494	+	aquaporin PIP1-3, transcript variant X2	PIP
LOC110865440	NC_035438.2	47755436	47758420	+	probable aquaporin SIP2-1	SIP
LOC110866810	NC_035439.2	119735398	119737473	+	aquaporin PIP2-4	PIP
LOC110868194	NC_035439.2	98648385	98649923	+	probable aquaporin NIP-type	NIP
LOC110868195	NC_035439.2	98654820	98659435	+	probable aquaporin NIP-type	NIP
LOC110868317	NC_035439.2	120170669	120172599	-	aquaporin PIP2-4	PIP
LOC110868318	NC_035439.2	120156300	120159035	+	probable aquaporin PIP2-4	PIP
LOC110868323	NC_035439.2	120106244	120109396	+	probable aquaporin PIP2-4	PIP
LOC110868334	NC_035439.2	119863945	119865688	-	aquaporin PIP2-1	PIP
LOC110868335	NC_035439.2	119895848	119897953	-	aquaporin PIP2-4	PIP
LOC110868358	NC_035439.2	120285272	120287478	-	aquaporin PIP2-4	PIP
LOC110868884	NC_035446.2	160857907	160859585	+	probable aquaporin PIP2-5	PIP
LOC110868941	NC_035439.2	142797261	142801210	+	probable aquaporin PIP1-4	PIP
LOC110872387	NC_035438.2	6725442	6728514	-	probable aquaporin NIP5-1	NIP
LOC110872551	NC_035440.2	31697135	31699477	+	aquaporin TIP1-3	TIP
LOC110875557	NC_035433.2	122456136	122459050	+	aquaporin PIP2-2	PIP
LOC110875737	NC_035433.2	118858363	118860009	-	probable aquaporin TIP1-1	TIP
LOC110878958	NC_035433.2	133758482	133764635	+	aquaporin SIP1-1	SIP
LOC110887087	NC_035434.2	18872278	18876043	+	probable aquaporin PIP2-8	PIP
LOC110889695	NC_035439.2	110555409	110558472	-	probable aquaporin PIP2-5	PIP
LOC110890906	NC_035443.2	165665782	165671445	-	aquaporin PIP2-7, transcript variant X1	PIP
LOC110891299	NC_035443.2	179779294	179781918	-	aquaporin TIP1-1	TIP
LOC110892775	NC_035444.2	47043367	47139426	+	aquaporin PIP2-2-like	PIP
LOC110894830	NC_035444.2	50504395	50507124	-	aquaporin PIP2-1	PIP
LOC110895309	NC_035444.2	77463396	77466254	-	probable aquaporin PIP2-8	PIP
LOC110896719	NC_035444.2	52868473	52869622	-	probable aquaporin TIP1-2	TIP
LOC110897890	NC_035445.2	52701936	52703695	+	aquaporin PIP1-3	PIP
LOC110898014	NC_035445.2	66823905	66825925	+	aquaporin TIP1-1	TIP
LOC110899589	NC_035445.2	142927394	142930503	-	aquaporin PIP1-3	PIP
LOC110899592	NC_035445.2	142940337	142943450	-	aquaporin PIP1-3	PIP
LOC110899653	NC_035445.2	147645910	147647572	+	probable aquaporin TIP-type RB7-5A	TIP
LOC110899654	NC_035445.2	147630911	147632444	+	probable aquaporin TIP-type RB7-5A	TIP
LOC110899655	NC_035445.2	147558273	147559842	+	probable aquaporin TIP-type	TIP
LOC110899667	NC_035445.2	147793752	147795394	+	probable aquaporin TIP-type RB7-5A	TIP
LOC110904303	NC_035446.2	148783863	148786430	+	aquaporin PIP2-2	PIP
LOC110904450	NC_035446.2	153688197	153689535	-	probable aquaporin PIP2-4	PIP
LOC110904451	NC_035446.2	153762249	153763512	-	probable aquaporin PIP2-4	PIP
LOC110904457	NC_035446.2	153674353	153675807	+	probable aquaporin PIP2-4	PIP
LOC110904925	NC_035446.2	167862157	167864457	-	probable aquaporin PIP1-4	PIP
LOC110905693	NC_035446.2	106361596	106363630	+	probable aquaporin NIP-type	NIP
LOC110906290	NC_035446.2	169823176	169825171	-	probable aquaporin TIP5-1	TIP
LOC110906934	NC_035434.2	153495019	153496193	+	aquaporin PIP2-1	PIP
LOC110908794	NC_035439.2	129058310	129060704	-	aquaporin PIP2-2	PIP
LOC110908807	NC_035439.2	129103100	129106231	-	aquaporin PIP2-2-like	PIP
LOC110911761	NC_035447.2	62119483	62121453	-	aquaporin NIP1-1	NIP
LOC110912639	NC_035447.2	146264526	146265993	+	probable aquaporin TIP3-2	TIP
LOC110914202	NC_035447.2	140220777	140223602	+	nodulin-26	unknown
LOC110916097	NC_035448.2	93174593	93176205	-	probable aquaporin TIP-type	TIP
LOC110916291	NC_035448.2	93139465	93140773	-	probable aquaporin TIP-type RB7-5A	TIP
LOC110921506	NC_035449.2	1891811	1893822	+	probable aquaporin NIP5-1	NIP
LOC110923014	NC_035449.2	990482	992775	+	aquaporin PIP1-3	PIP
LOC110925968	NC_035449.2	30003876	30005529	-	aquaporin PIP2-7	PIP
LOC110926365	NC_035449.2	1877852	1880421	+	probable aquaporin NIP5-1	NIP
LOC110927047	NC_035434.2	166250290	166252037	+	aquaporin TIP1-1	TIP
LOC110930503	NC_035435.2	163300314	163302838	-	aquaporin PIP1-3	PIP
LOC110930648	NC_035435.2	167829005	167830856	+	probable aquaporin TIP-type	TIP
LOC110933853	NC_035436.2	163382054	163384124	-	aquaporin NIP1-1	NIP
LOC110937325	NC_035434.2	135407960	135410684	+	aquaporin PIP1-3	PIP
LOC110937771	NC_035448.2	104520431	104522993	+	aquaporin TIP3-1	TIP
LOC110939970	NC_035437.2	11889108	11890313	+	aquaporin TIP1-3	TIP
LOC110941540	NC_035437.2	153436199	153439654	-	aquaporin NIP6-1	NIP
