gene_id	ABRE	DRE_CRT	W_box	MBS	HSE	LTR	ARE	STRE	G_box
LOC110864409	1	2	4	2	0	3	5	6	0
LOC110865440	4	2	5	1	0	0	2	12	2
LOC110866810	0	1	5	1	0	1	3	8	0
LOC110868194	1	6	2	0	0	3	6	2	0
LOC110868195	2	3	6	2	0	1	2	8	2
LOC110868317	2	0	4	2	0	0	6	10	0
LOC110868318	6	1	7	2	0	1	2	6	0
LOC110868323	2	1	7	2	0	0	2	4	0
LOC110868334	9	2	7	0	0	1	1	4	6
LOC110868335	0	1	6	1	0	1	4	18	0
LOC110868358	2	0	4	3	0	1	4	0	0
LOC110868884	2	1	3	1	0	0	3	4	0
LOC110868941	3	1	3	1	1	1	3	6	2
LOC110872387	0	0	3	4	0	5	0	6	0
LOC110872551	1	4	8	2	0	4	3	2	0
LOC110873151	2	1	1	1	0	0	0	0	0
LOC110873322	1	0	6	2	0	0	1	4	0
LOC110875557	1	0	2	1	0	0	2	2	0
LOC110875737	2	1	7	1	0	0	2	6	0
LOC110875755	4	4	2	0	0	1	3	2	0
LOC110877765	5	7	3	2	0	0	2	4	2
LOC110878958	3	1	7	2	0	1	5	4	2
LOC110880175	3	1	5	0	0	0	2	14	0
LOC110881936	4	0	8	0	0	0	2	8	0
LOC110884546	0	1	5	3	0	0	3	8	0
LOC110884547	2	2	5	4	0	0	3	14	0
LOC110884851	3	2	1	1	0	1	0	6	2
LOC110885224	0	2	2	0	1	2	3	10	0
LOC110886457	4	2	6	0	1	0	3	10	2
LOC110886572	7	0	4	2	0	0	2	4	2
LOC110889695	5	5	2	0	0	3	3	8	2
LOC110890809	4	1	8	2	0	0	4	0	0
LOC110890906	0	7	4	2	0	6	5	8	0
LOC110891299	1	0	3	1	0	5	5	4	0
LOC110892775	2	0	9	1	0	0	3	2	0
LOC110894233	0	0	4	2	0	1	4	2	0
LOC110894830	4	4	3	3	0	0	4	10	0
LOC110895309	4	0	4	2	0	0	0	6	4
LOC110896719	6	0	4	0	0	1	2	4	2
LOC110897890	3	1	2	4	0	1	3	2	0
LOC110898014	4	1	1	1	0	0	2	10	2
LOC110898128	3	1	2	1	0	1	6	0	0
LOC110898466	3	0	5	8	0	1	3	0	0
LOC110899589	1	0	1	3	0	2	5	2	0
LOC110899592	1	0	1	3	0	2	5	2	0
LOC110899653	3	2	4	2	0	0	8	2	0
LOC110899654	4	3	8	2	0	0	4	4	2
LOC110899655	0	4	5	1	0	0	2	10	0
LOC110899667	1	2	7	2	0	1	5	10	0
LOC110904303	1	0	5	0	0	1	4	2	0
LOC110904450	5	0	4	0	0	0	6	12	4
LOC110904451	2	1	4	3	0	1	2	0	0
LOC110904457	1	2	2	0	0	3	3	0	0
LOC110904925	2	2	5	1	0	0	0	0	2
LOC110905693	4	2	6	0	0	1	2	6	2
LOC110906290	0	2	3	0	0	2	0	2	0
LOC110906934	1	0	7	1	0	0	8	2	0
LOC110908730	2	0	5	2	0	1	3	6	2
LOC110908794	3	0	3	1	0	0	3	0	2
LOC110908807	1	0	2	1	0	1	2	0	0
LOC110911072	0	1	3	1	0	4	2	8	0
LOC110911125	1	3	3	1	0	7	1	4	0
LOC110911759	0	2	7	2	0	1	1	2	0
LOC110911761	0	2	4	2	0	0	1	2	0
LOC110912639	8	1	2	1	0	0	2	2	4
LOC110913792	1	1	5	4	0	2	5	2	0
LOC110914202	5	0	3	0	0	0	4	6	2
LOC110916097	5	4	7	0	0	2	1	6	2
LOC110916291	2	0	6	2	0	1	2	8	0
LOC110921437	0	3	5	2	0	0	0	14	0
LOC110921506	1	3	5	0	0	0	2	4	0
LOC110923014	3	2	5	5	0	0	2	18	2
LOC110923973	1	0	0	3	0	0	2	0	0
LOC110925968	0	0	4	0	0	1	0	4	0
LOC110926365	1	1	5	2	0	0	2	12	0
LOC110927047	7	2	3	2	0	0	5	4	4
LOC110930503	2	2	3	1	0	0	1	2	0
LOC110930648	1	2	2	2	0	0	1	12	0
LOC110933853	0	0	3	2	0	1	1	12	0
LOC110937325	2	1	3	1	0	0	6	4	0
LOC110937328	3	2	2	0	0	2	2	12	2
LOC110937771	0	1	3	2	0	4	4	4	0
LOC110938010	2	0	1	0	0	1	1	0	2
LOC110939970	4	2	2	1	0	0	3	0	4
LOC110941540	2	2	6	0	0	2	8	10	0
LOC118479416	1	1	4	0	0	0	4	2	0
LOC118481678	1	2	5	1	0	2	6	2	0
