block	gene1_LOC	gene2_LOC	prot1	prot2
## Alignment 217: score=306.0 e_value=1.6e-08 N=7 Ha_NC_035433.2&Ha_NC_035434.2 plus	2:	LOC110875737	2:	XP_021979635.1
## Alignment 229: score=384.0 e_value=3.1e-13 N=9 Ha_NC_035433.2&Ha_NC_035439.2 minus	7:	LOC110875557	7:	XP_021979449.1
## Alignment 245: score=2261.0 e_value=1.4e-126 N=51 Ha_NC_035433.2&Ha_NC_035443.2 minus	20:	LOC110875557	20:	XP_021979449.1
## Alignment 250: score=306.0 e_value=7.5e-11 N=7 Ha_NC_035433.2&Ha_NC_035445.2 plus	4:	LOC110878958	4:	XP_021983051.1
## Alignment 251: score=278.0 e_value=3.3e-06 N=6 Ha_NC_035433.2&Ha_NC_035445.2 plus	0:	LOC110875737	0:	XP_021979635.1
## Alignment 281: score=529.0 e_value=4.9e-22 N=13 Ha_NC_035434.2&Ha_NC_035438.2 plus	11:	LOC110937325	11:	XP_022035417.1
## Alignment 297: score=499.0 e_value=1.9e-16 N=11 Ha_NC_035434.2&Ha_NC_035445.2 plus	2:	LOC110927047	2:	XP_022026331.1
## Alignment 298: score=428.0 e_value=4e-16 N=10 Ha_NC_035434.2&Ha_NC_035445.2 plus	3:	LOC110937325	3:	XP_022035417.1
## Alignment 304: score=399.0 e_value=3.6e-14 N=10 Ha_NC_035434.2&Ha_NC_035445.2 minus	8:	LOC110937325	8:	XP_022035417.1
## Alignment 311: score=337.0 e_value=3.1e-12 N=8 Ha_NC_035434.2&Ha_NC_035449.2 plus	5:	LOC110937325	5:	XP_022035417.1
## Alignment 347: score=3350.0 e_value=9.9e-195 N=73 Ha_NC_035435.2&Ha_NC_035445.2 plus	5:	LOC110930503	5:	XP_022029508.1
## Alignment 347: score=3350.0 e_value=9.9e-195 N=73 Ha_NC_035435.2&Ha_NC_035445.2 plus	32:	LOC110930648	32:	XP_022029689.1
## Alignment 399: score=2194.0 e_value=1.6e-116 N=49 Ha_NC_035436.2&Ha_NC_035447.2 plus	28:	LOC110933853	28:	XP_022032747.1
## Alignment 428: score=284.0 e_value=2.4e-09 N=7 Ha_NC_035437.2&Ha_NC_035440.2 plus	1:	LOC110939970	1:	XP_022037229.1
## Alignment 468: score=368.0 e_value=1.9e-10 N=8 Ha_NC_035438.2&Ha_NC_035445.2 minus	5:	LOC110864409	5:	XP_021969156.1
## Alignment 479: score=948.0 e_value=2.3e-44 N=21 Ha_NC_035438.2&Ha_NC_035449.2 plus	7:	LOC110864409	7:	XP_021969156.1
## Alignment 485: score=482.0 e_value=5.2e-13 N=10 Ha_NC_035438.2&Ha_NC_035449.2 minus	8:	LOC110872387	8:	XP_021976874.1
## Alignment 496: score=774.0 e_value=5e-36 N=18 Ha_NC_035439.2&Ha_NC_035441.2 plus	11:	LOC110868941	11:	XP_021973917.1
## Alignment 525: score=6611.0 e_value=0 N=146 Ha_NC_035439.2&Ha_NC_035446.2 minus	8:	LOC110889695	8:	XP_021992949.1
## Alignment 525: score=6611.0 e_value=0 N=146 Ha_NC_035439.2&Ha_NC_035446.2 minus	64:	LOC110868323	64:	XP_021973148.1
## Alignment 525: score=6611.0 e_value=0 N=146 Ha_NC_035439.2&Ha_NC_035446.2 minus	65:	LOC110868317	65:	XP_021973144.1
## Alignment 525: score=6611.0 e_value=0 N=146 Ha_NC_035439.2&Ha_NC_035446.2 minus	LOC110908794	LOC110904303	XP_022009469.1	XP_022005838.1
## Alignment 526: score=1535.0 e_value=1e-66 N=32 Ha_NC_035439.2&Ha_NC_035446.2 minus	3:	LOC110868941	3:	XP_021973917.1
## Alignment 527: score=804.0 e_value=2.3e-34 N=18 Ha_NC_035439.2&Ha_NC_035446.2 minus	16:	LOC110868194	16:	XP_021972988.1
## Alignment 551: score=1547.0 e_value=1.2e-79 N=35 Ha_NC_035440.2&Ha_NC_035444.2 plus	8:	LOC110872551	8:	XP_021977057.1
## Alignment 670: score=394.0 e_value=1.3e-14 N=10 Ha_NC_035443.2&Ha_NC_035446.2 minus	3:	LOC110890906	3:	XP_035835924.1
## Alignment 705: score=272.0 e_value=9.4e-08 N=6 Ha_NC_035445.2&Ha_NC_035445.2 minus	1:	LOC110897890	1:	XP_022000317.1
## Alignment 717: score=467.0 e_value=8.1e-15 N=10 Ha_NC_035445.2&Ha_NC_035449.2 plus	0:	LOC110897890	0:	XP_022000317.1
## Alignment 718: score=349.0 e_value=4.4e-10 N=8 Ha_NC_035445.2&Ha_NC_035449.2 minus	3:	LOC110899592	3:	XP_022002168.1
## Alignment 736: score=480.0 e_value=1.6e-15 N=10 Ha_NC_035447.2&Ha_NC_035448.2 plus	4:	LOC110912639	4:	XP_022013098.1
