block	gene1_LOC	gene2_LOC	prot1	prot2
## Alignment 31: score=2212.0 e_value=9.5e-125 N=50 Ha_NC_035433.2&Ha_NC_035443.2 minus	20:	LOC110875557	20:	XP_021979449.1
## Alignment 57: score=529.0 e_value=4.9e-22 N=13 Ha_NC_035434.2&Ha_NC_035438.2 plus	11:	LOC110937325	11:	XP_022035417.1
## Alignment 68: score=452.0 e_value=1.7e-14 N=10 Ha_NC_035434.2&Ha_NC_035445.2 plus	1:	LOC110927047	1:	XP_022026331.1
## Alignment 69: score=430.0 e_value=9.8e-16 N=10 Ha_NC_035434.2&Ha_NC_035445.2 plus	3:	LOC110937325	3:	XP_022035417.1
## Alignment 75: score=296.0 e_value=3.6e-09 N=7 Ha_NC_035434.2&Ha_NC_035445.2 minus	6:	LOC110937325	6:	XP_022035417.1
## Alignment 80: score=287.0 e_value=2.5e-10 N=7 Ha_NC_035434.2&Ha_NC_035449.2 plus	4:	LOC110937325	4:	XP_022035417.1
## Alignment 111: score=3252.0 e_value=7.6e-188 N=71 Ha_NC_035435.2&Ha_NC_035445.2 plus	5:	LOC110930503	5:	XP_022029508.1
## Alignment 111: score=3252.0 e_value=7.6e-188 N=71 Ha_NC_035435.2&Ha_NC_035445.2 plus	31:	LOC110930648	31:	XP_022029689.1
## Alignment 121: score=295.0 e_value=2.4e-11 N=7 Ha_NC_035435.2&Ha_NC_035445.2 minus	5:	LOC110930503	5:	XP_022029508.1
## Alignment 147: score=2245.0 e_value=1.4e-121 N=50 Ha_NC_035436.2&Ha_NC_035447.2 plus	28:	LOC110933853	28:	XP_022032747.1
## Alignment 200: score=948.0 e_value=2.3e-44 N=21 Ha_NC_035438.2&Ha_NC_035449.2 plus	7:	LOC110864409	7:	XP_021969156.1
## Alignment 205: score=482.0 e_value=5.2e-13 N=10 Ha_NC_035438.2&Ha_NC_035449.2 minus	8:	LOC110872387	8:	XP_021976874.1
## Alignment 211: score=338.0 e_value=6.2e-09 N=8 Ha_NC_035438.2&Ls_Chr7 plus	7:	LOC110864409	7:	XP_021969156.1
## Alignment 217: score=636.0 e_value=7.7e-28 N=15 Ha_NC_035439.2&Ha_NC_035441.2 plus	10:	LOC110868941	10:	XP_021973917.1
## Alignment 234: score=6441.0 e_value=0 N=142 Ha_NC_035439.2&Ha_NC_035446.2 minus	7:	LOC110889695	7:	XP_021992949.1
## Alignment 234: score=6441.0 e_value=0 N=142 Ha_NC_035439.2&Ha_NC_035446.2 minus	63:	LOC110868323	63:	XP_021973148.1
## Alignment 234: score=6441.0 e_value=0 N=142 Ha_NC_035439.2&Ha_NC_035446.2 minus	64:	LOC110868317	64:	XP_021973144.1
## Alignment 234: score=6441.0 e_value=0 N=142 Ha_NC_035439.2&Ha_NC_035446.2 minus	LOC110908794	LOC110904303	XP_022009469.1	XP_022005838.1
## Alignment 235: score=1485.0 e_value=2.5e-64 N=31 Ha_NC_035439.2&Ha_NC_035446.2 minus	3:	LOC110868941	3:	XP_021973917.1
## Alignment 236: score=804.0 e_value=7.7e-36 N=18 Ha_NC_035439.2&Ha_NC_035446.2 minus	16:	LOC110868194	16:	XP_021972988.1
## Alignment 245: score=264.0 e_value=4.8e-08 N=8 Ha_NC_035439.2&Ls_Chr7 plus	7:	LOC110868335	7:	XP_021973155.1
## Alignment 246: score=383.0 e_value=7.4e-13 N=11 Ha_NC_035439.2&Ls_Chr9 plus	9:	LOC110868317	9:	XP_021973144.1
## Alignment 253: score=1445.0 e_value=5.3e-76 N=33 Ha_NC_035440.2&Ha_NC_035444.2 plus	8:	LOC110872551	8:	XP_021977057.1
## Alignment 337: score=344.0 e_value=1.8e-12 N=9 Ha_NC_035443.2&Ha_NC_035446.2 minus	3:	LOC110890906	3:	XP_035835924.1
## Alignment 375: score=365.0 e_value=2e-11 N=8 Ha_NC_035445.2&Ha_NC_035449.2 plus	0:	LOC110897890	0:	XP_022000317.1
## Alignment 394: score=480.0 e_value=1.6e-15 N=10 Ha_NC_035447.2&Ha_NC_035448.2 plus	4:	LOC110912639	4:	XP_022013098.1
