chr1	chr2	species1	gene1	prot1	species2	gene2	prot2
At_NC_003070.9	Ha_NC_035437.2	At	LOC844415	NP_178191.1	Ha	LOC110941540	XP_022038870.1
At_NC_003071.7	Ha_NC_035443.2	At	LOC818255	NP_181221.1	Ha	LOC110891299	XP_021994685.2
At_NC_003071.7	Ha_NC_035449.2	At	LOC816186	NP_179277.1	Ha	LOC110925968	XP_022025446.1
At_NC_003075.7	Ha_NC_035438.2	At	LOC826630	NP_192776.1	Ha	LOC110872387	XP_021976874.1
At_NC_003075.7	Ha_NC_035444.2	At	LOC829662	NP_195236.1	Ha	LOC110895309	XP_021998290.1
At_NC_003075.7	Ha_NC_035445.2	At	LOC827446	NP_193465.1	Ha	LOC110899655	XP_022002237.1
At_NC_003075.7	Ha_NC_035449.2	At	LOC829662	NP_195236.1	Ha	LOC110925968	XP_022025446.1
At_NC_003076.8	Ha_NC_035445.2	At	LOC834794	NP_199556.1	Ha	LOC110899655	XP_022002237.1
