gene1	gene2	protein1	protein2	identity	chr1	chr2	distance	type	chr1_name	chr2_name
LOC110864409	LOC110923014	XP_021969156.1	XP_022022901.1	98.258	NC_035438.2	NC_035449.2		segmental	Ha6	Ha17
LOC110864409	LOC110937325	XP_021969156.1	XP_022035417.1	97.909	NC_035438.2	NC_035434.2		segmental	Ha6	Ha2
LOC110864409	LOC110897890	XP_021969156.1	XP_022000317.1	96.516	NC_035438.2	NC_035445.2		segmental	Ha6	Ha13
LOC110864409	LOC110899592	XP_021969156.1	XP_022002168.1	95.122	NC_035438.2	NC_035445.2		segmental	Ha6	Ha13
LOC110864409	LOC110899589	XP_021969156.1	XP_022002167.1	95.122	NC_035438.2	NC_035445.2		segmental	Ha6	Ha13
LOC110864409	LOC110930503	XP_021969156.1	XP_022029508.1	94.425	NC_035438.2	NC_035435.2		segmental	Ha6	Ha3
LOC110864409	LOC110904925	XP_021969156.1	XP_022006482.1	91.638	NC_035438.2	NC_035446.2		segmental	Ha6	Ha14
LOC110864409	LOC110868941	XP_021969156.1	XP_021973917.1	88.502	NC_035438.2	NC_035439.2		segmental	Ha6	Ha7
LOC110864409	LOC110868884	XP_021969156.1	XP_021973843.1	75.379	NC_035438.2	NC_035446.2		segmental	Ha6	Ha14
LOC110864409	LOC110890906	XP_021969156.1	XP_035835925.1	73.432	NC_035438.2	NC_035443.2		segmental	Ha6	Ha11
LOC110866810	LOC110868323	XP_021971649.1	XP_021973148.1	98.233	NC_035439.2	NC_035439.2	370846.0	proximal	Ha7	Ha7
LOC110866810	LOC110868318	XP_021971649.1	XP_021973145.1	98.233	NC_035439.2	NC_035439.2	420902.0	proximal	Ha7	Ha7
LOC110866810	LOC110868334	XP_021971649.1	XP_021973154.1	97.163	NC_035439.2	NC_035439.2	128547.0	tandem	Ha7	Ha7
LOC110866810	LOC110868317	XP_021971649.1	XP_021973144.1	97.163	NC_035439.2	NC_035439.2	435271.0	proximal	Ha7	Ha7
LOC110866810	LOC110868358	XP_021971649.1	XP_021973181.1	97.163	NC_035439.2	NC_035439.2	549874.0	proximal	Ha7	Ha7
LOC110866810	LOC110868335	XP_021971649.1	XP_021973155.1	96.809	NC_035439.2	NC_035439.2	160450.0	tandem	Ha7	Ha7
LOC110866810	LOC110904451	XP_021971649.1	XP_022005990.1	93.262	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110866810	LOC110904457	XP_021971649.1	XP_022005993.1	91.844	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110866810	LOC110904450	XP_021971649.1	XP_022005989.1	91.844	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110866810	LOC110890906	XP_021971649.1	XP_035835925.1	84.321	NC_035439.2	NC_035443.2		segmental	Ha7	Ha11
LOC110866810	LOC110904303	XP_021971649.1	XP_022005838.1	85.816	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110868194	LOC110905693	XP_021972988.1	XP_022006941.1	83.465	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110868194	LOC110868195	XP_021972988.1	XP_021972990.2	80.645	NC_035439.2	NC_035439.2	6435.0	tandem	Ha7	Ha7
LOC110868195	LOC110905693	XP_021972990.2	XP_022006941.1	73.279	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110868317	LOC110868335	XP_021973144.1	XP_021973155.1	98.944	NC_035439.2	NC_035439.2	274821.0	proximal	Ha7	Ha7
LOC110868317	LOC110868334	XP_021973144.1	XP_021973154.1	98.944	NC_035439.2	NC_035439.2	306724.0	proximal	Ha7	Ha7
LOC110868317	LOC110868358	XP_021973144.1	XP_021973181.1	98.592	NC_035439.2	NC_035439.2	114603.0	tandem	Ha7	Ha7
LOC110868317	LOC110868323	XP_021973144.1	XP_021973148.1	97.518	NC_035439.2	NC_035439.2	64425.0	tandem	Ha7	Ha7
LOC110868317	LOC110868318	XP_021973144.1	XP_021973145.1	97.518	NC_035439.2	NC_035439.2	14369.0	tandem	Ha7	Ha7
