protein_id	mip_domain	num_tm_helices	tm_positions	seq_length	mip_evalue	mip_score	mip_ali_from	mip_ali_to
XP_021969156.1	yes	6	53-73;89-108;133-153;176-196;210-230;257-278	287	3.2e-86	281.4	44	274
XP_021969157.1	yes	5	62-71;89-101;133-150;179-194;214-228	317	3.5e-75	245.3	44	259
XP_021970374.1	yes	6	8-29;44-64;90-110;128-145;154-174;200-221	233	4.5e-10	32.4	36	218
XP_021971649.1	yes	6	49-69;89-109;134-154;176-197;208-230;256-278	292	4.4e-87	284.2	39	274
XP_021972988.1	yes	6	37-53;64-84;112-130;149-169;176-196;219-239	260	8.6e-62	201.5	26	237
XP_021972990.2	yes	6	31-51;62-82;110-128;145-165;174-194;217-235	275	2.5e-59	193.4	24	235
XP_021973144.1	yes	6	40-60;80-100;125-145;167-188;199-221;247-269	284	2e-87	285.3	30	265
XP_021973145.1	yes	6	40-60;80-100;125-145;167-188;199-221;247-269	283	3e-87	284.7	30	265
XP_021973148.1	yes	6	40-60;80-100;125-145;167-188;199-221;247-269	283	3e-87	284.7	30	265
XP_021973154.1	yes	6	40-60;80-100;125-145;167-188;199-221;247-269	284	9e-87	283.2	30	265
XP_021973155.1	yes	6	40-60;80-100;125-145;167-188;199-221;247-269	284	2.3e-87	285.1	30	265
XP_021973181.1	yes	6	40-60;80-100;125-145;167-188;199-221;247-269	284	2.9e-87	284.8	30	265
XP_021973843.1	yes	6	39-59;79-99;124-144;167-187;200-220;246-268	285	2.6e-88	288.2	29	264
XP_021973917.1	yes	6	55-75;90-109;134-154;178-198;211-231;258-279	287	8.4e-85	276.7	45	275
XP_021976874.1	yes	6	68-88;99-117;147-165;184-202;207-227;253-274	294	9.9e-54	175.1	62	271
XP_021977057.1	yes	6	24-44;59-79;104-124;144-164;172-193;218-238	250	2e-76	249.3	14	234
XP_021977771.1	yes	6	22-42;57-77;105-122;139-161;168-190;213-236	248	1.6e-79	259.4	14	231
XP_021977943.1	yes	6	44-64;75-93;121-141;157-177;184-206;229-250	284	1.7e-58	190.7	40	247
XP_021979449.1	yes	6	45-65;85-105;130-150;172-193;206-226;252-274	289	8.8e-87	283.2	35	270
XP_021979635.1	yes	6	28-48;63-83;108-128;148-168;177-197;221-243	255	9.7e-78	253.6	18	238
XP_021979651.1	yes	6	48-64;77-93;123-141;158-178;185-207;230-251	276	2e-67	219.9	37	248
XP_021981655.1	yes	7	33-42;44-53;63-83;111-128;147-167;175-194;217-237	261	4.9e-44	143.4	31	234
XP_021983051.1	yes	6	8-28;43-64;91-111;132-152;159-179;205-227	237	3.7e-22	71.9	4	223
XP_021984447.2	yes	6	22-42;57-77;102-122;139-159;169-191;216-236	248	1.7e-80	262.7	14	232
XP_021987955.1	yes	6	44-64;75-93;121-141;160-178;184-206;229-250	284	1.3e-57	187.9	40	247
XP_021987957.1	yes	6	40-60;71-89;119-137;156-174;180-202;225-246	280	4.7e-58	189.3	36	243
XP_021988248.1	yes	6	8-29;44-64;90-110;128-146;158-175;201-222	235	2.7e-10	33.1	8	219
XP_021989956.1	yes	6	49-65;76-94;124-142;158-178;185-207;230-251	278	7.5e-57	185.3	40	248
XP_021990076.1	yes	6	22-42;57-77;102-122;140-162;171-191;216-237	248	3.5e-81	264.9	14	232
XP_021992949.1	yes	6	37-57;78-98;123-143;165-185;199-219;245-267	284	2.3e-87	285.1	27	263
XP_021994152.1	yes	6	35-51;64-80;110-128;148-165;172-194;217-238	266	2.2e-66	216.5	24	235
XP_021994243.1	yes	6	45-65;85-105;130-150;172-193;206-226;252-274	289	1.6e-86	282.4	35	270
XP_021994685.2	yes	6	24-44;59-79;104-124;144-164;171-193;218-239	250	3.1e-82	268.3	14	234
XP_021997121.1	yes	6	22-42;57-77;102-122;139-159;169-191;216-236	248	1.4e-81	266.2	14	232
XP_021997756.1	yes	6	39-59;77-97;122-142;164-185;198-218;245-266	284	2.8e-86	281.6	29	262
XP_021998290.1	yes	6	39-59;73-93;118-138;160-180;194-214;241-262	279	3.8e-87	284.4	29	258
XP_021999580.1	yes	6	24-44;59-79;104-124;144-164;171-193;217-239	250	2.1e-75	246.0	14	234
XP_022000317.1	yes	6	53-73;89-108;133-153;176-196;210-230;257-278	287	9.2e-86	279.9	44	274
XP_022000445.1	yes	6	31-51;66-86;111-131;151-171;178-200;224-246	258	1.5e-78	256.3	24	241
XP_022000573.1	yes	6	11-31;43-64;91-111;132-152;159-179;205-227	236	3e-20	65.7	5	223
XP_022000943.1	yes	6	21-41;52-72;99-119;137-159;168-188;213-233	248	1.8e-71	233.2	12	229
XP_022002167.1	yes	6	53-73;88-108;133-153;176-196;210-230;257-278	287	2.1e-85	278.7	44	274
XP_022002168.1	yes	6	53-73;88-108;133-153;176-196;210-230;257-278	287	2.1e-85	278.7	44	274
XP_022002235.1	yes	6	22-42;57-77;105-122;140-162;169-191;214-237	250	6.7e-83	270.5	15	232
XP_022002236.1	yes	6	22-42;57-77;105-122;140-162;169-191;214-237	250	1.7e-81	265.9	15	232
XP_022002237.1	yes	6	22-42;57-77;105-122;140-162;169-191;214-237	250	9e-83	270.1	15	232
XP_022002249.1	yes	6	22-42;57-77;102-122;140-162;169-191;214-237	250	6.7e-83	270.5	15	232
XP_022005838.1	yes	6	39-59;79-99;124-144;167-187;200-220;246-268	283	1.6e-87	285.6	29	264
XP_022005989.1	yes	6	40-60;80-100;125-145;167-187;199-221;247-269	284	4.9e-89	290.6	30	265
XP_022005990.1	yes	6	40-60;80-100;125-145;167-188;199-221;247-269	284	4e-89	290.9	30	265
XP_022005993.1	yes	6	40-60;80-100;125-145;167-188;199-221;247-269	284	4.8e-89	290.6	30	265
XP_022006482.1	yes	6	55-75;90-109;134-154;180-198;211-231;258-279	287	3.6e-86	281.2	45	275
XP_022006941.1	yes	6	37-53;64-84;112-130;147-167;177-196;219-235	255	4.2e-61	199.2	27	237
XP_022007155.1	yes	6	23-41;60-80;105-125;143-164;173-193;216-238	257	1.9e-62	203.6	16	234
XP_022007682.2	yes	6	12-32;48-68;93-113;135-154;169-189;216-236	253	1.1e-81	266.6	2	233
XP_022009396.1	yes	6	8-28;44-64;93-113;134-154;161-181;207-229	240	2.3e-19	62.8	4	225
XP_022009469.1	yes	6	39-59;79-99;124-144;167-187;200-220;247-268	283	5.8e-88	287.1	29	264
XP_022011339.1	yes	6	44-64;75-93;123-141;160-178;184-206;229-250	286	1.9e-57	187.3	39	247
XP_022011398.1	yes	6	51-71;82-100;128-148;164-184;191-213;236-257	292	4.2e-57	186.2	47	254
XP_022012100.1	yes	6	39-59;72-88;118-136;156-174;180-202;225-246	273	1.7e-67	220.2	32	243
XP_022012102.1	yes	6	44-64;77-93;123-141;158-178;185-207;230-250	300	8.5e-65	211.3	37	248
XP_022013098.1	yes	6	23-43;58-79;104-124;144-164;171-193;218-238	257	5.4e-82	267.6	13	234
XP_022014304.1	yes	6	44-60;72-89;119-137;157-175;181-203;226-247	262	2.1e-62	203.5	35	244
XP_022014704.1	yes	6	44-64;73-91;121-139;159-179;188-208;231-252	281	1.2e-62	204.3	39	249
XP_022016546.1	yes	6	22-42;57-77;102-122;140-162;171-191;214-237	250	4.5e-81	264.5	14	232
XP_022016725.1	yes	6	22-42;57-77;102-122;140-162;169-191;214-237	245	1.5e-80	262.9	14	232
XP_022021453.1	yes	6	47-63;73-91;121-139;159-177;183-203;228-249	273	1.4e-64	210.7	39	246
XP_022021536.1	yes	6	70-90;101-119;149-167;186-204;210-231;255-276	294	1.7e-51	167.8	65	273
XP_022022901.1	yes	6	53-73;88-108;133-153;176-196;210-230;257-278	287	3.6e-86	281.2	44	274
XP_022023717.1	yes	6	44-64;75-93;124-137;157-177;184-206;229-250	275	3.4e-57	186.4	40	247
XP_022025446.1	yes	6	38-58;73-93;118-138;160-180;194-214;241-262	279	9.2e-86	279.9	29	258
XP_022025807.1	yes	6	74-94;105-123;153-171;189-208;214-234;259-280	295	5.4e-51	166.2	69	277
XP_022026331.1	yes	6	30-50;66-86;111-131;151-171;180-200;224-246	253	6.5e-79	257.5	21	241
XP_022029508.1	yes	6	53-73;89-108;133-153;176-196;210-230;257-278	287	7.3e-84	273.7	44	274
XP_022029689.1	yes	6	22-42;57-77;105-122;140-162;169-191;214-237	250	1e-82	269.9	15	232
XP_022032747.1	yes	6	47-63;75-93;121-139;156-176;185-205;228-248	266	7.9e-64	208.2	36	246
XP_022035417.1	yes	6	53-73;88-108;133-153;176-196;210-230;257-278	287	2.7e-86	281.6	44	274
