protein_id	subfamily_tree	support_fraction	nearest_reference	nearest_distance	k_reference_subfamilies	subfamily_from_ncbi_name	ncbi_product
XP_021969156.1	PIP	1.00	Ls_XP_023772191.1	0.0064	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP1-3 isoform X1 [Helianthus annuus]
XP_022022901.1	PIP	1.00	Ls_XP_023772191.1	0.0062	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP1-3 [Helianthus annuus]
XP_022035419.1	PIP	1.00	Ls_XP_023772191.1	0.0321	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP1-3 [Helianthus annuus]
XP_022035417.1	PIP	1.00	Ls_XP_023772191.1	0.0062	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP1-3 [Helianthus annuus]
XP_021973917.1	PIP	1.00	At_NP_194071.1	0.0326	PIP;PIP;PIP;PIP;PIP	PIP	probable aquaporin PIP1-4 [Helianthus annuus]
XP_021969157.1	PIP	1.00	Ls_XP_023752776.1	0.0657	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP1-1 isoform X2 [Helianthus annuus]
XP_021971649.1	PIP	1.00	Ls_XP_023767826.1	0.0252	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP2-4 [Helianthus annuus]
XP_021973154.1	PIP	1.00	Ls_XP_023767826.1	0.0252	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP2-1 [Helianthus annuus]
XP_021973145.1	PIP	1.00	Ls_XP_023767826.1	0.0190	PIP;PIP;PIP;PIP;PIP	PIP	probable aquaporin PIP2-4 [Helianthus annuus]
XP_021973144.1	PIP	1.00	Ls_XP_023767826.1	0.0190	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP2-4 [Helianthus annuus]
XP_021973148.1	PIP	1.00	Ls_XP_023767826.1	0.0190	PIP;PIP;PIP;PIP;PIP	PIP	probable aquaporin PIP2-4 [Helianthus annuus]
XP_021973155.1	PIP	1.00	Ls_XP_023767826.1	0.0252	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP2-4 [Helianthus annuus]
XP_021973181.1	PIP	1.00	Ls_XP_023767826.1	0.0252	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP2-4 [Helianthus annuus]
XP_022007682.2	PIP	1.00	Ls_XP_023744911.1	0.1798	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP2-1 [Helianthus annuus]
XP_021977057.1	TIP	1.00	Ls_XP_042753782.1	0.0914	TIP;TIP;TIP;TIP;TIP	TIP	aquaporin TIP1-3 [Helianthus annuus]
XP_021999580.1	TIP	1.00	Ls_XP_042753782.1	0.2168	TIP;TIP;TIP;TIP;TIP	TIP	probable aquaporin TIP1-2 [Helianthus annuus]
XP_022037229.1	TIP	1.00	Ls_XP_023761055.1	0.0584	TIP;TIP;TIP;TIP;TIP	TIP	aquaporin TIP1-3 [Helianthus annuus]
XP_021994685.2	TIP	1.00	Ls_XP_023744881.1	0.0519	TIP;TIP;TIP;TIP;TIP	TIP	aquaporin TIP1-1 [Helianthus annuus]
