chr1	chr2	species1	gene1	prot1	species2	gene2	prot2	partner_in_reference_set
Ha_NC_035433.2	Ha_NC_035443.2	Ha	LOC110875557	XP_021979449.1	Ha	LOC110890906	XP_035835924.1	no
Ha_NC_035433.2	Ls_NC_056623.2	Ha	LOC110875737	XP_021979635.1	Ls	LOC111886019	XP_023738028.1	yes
Ha_NC_035433.2	Ls_NC_056623.2	Ha	LOC110875557	XP_021979449.1	Ls	LOC111886028	XP_023738035.1	yes
Ha_NC_035433.2	Ls_NC_056623.2	Ha	LOC110878958	XP_021983051.1	Ls	LOC111918499	XP_023769927.1	yes
Ha_NC_035433.2	Ls_NC_056624.2	Ha	LOC110878958	XP_021983051.1	Ls	LOC111917512	XP_023768962.1	yes
Ha_NC_035433.2	Ls_NC_056628.2	Ha	LOC110875737	XP_021979635.1	Ls	LOC111897792	XP_023749509.1	yes
Ha_NC_035433.2	Ls_NC_056628.2	Ha	LOC110878958	XP_021983051.1	Ls	LOC111905369	XP_023756829.1	yes
Ha_NC_035434.2	Ha_NC_035438.2	Ha	LOC110937325	XP_022035417.1	Ha	LOC110864409	XP_021969156.1	no
Ha_NC_035434.2	Ha_NC_035445.2	Ha	LOC110927047	XP_022026331.1	Ha	LOC110898014	XP_022000445.1	no
Ha_NC_035434.2	Ha_NC_035445.2	Ha	LOC110937325	XP_022035417.1	Ha	LOC110897890	XP_022000317.1	no
Ha_NC_035434.2	Ha_NC_035445.2	Ha	LOC110937325	XP_022035417.1	Ha	LOC110899589	XP_022002167.1	no
Ha_NC_035434.2	Ha_NC_035449.2	Ha	LOC110937325	XP_022035417.1	Ha	LOC110923014	XP_022022901.1	no
Ha_NC_035434.2	Ls_NC_056625.2	Ha	LOC110937325	XP_022035417.1	Ls	LOC111920843	XP_023772191.1	yes
Ha_NC_035434.2	Ls_NC_056628.2	Ha	LOC110906934	XP_022007682.2	Ls	LOC111893065	XP_023744911.1	yes
Ha_NC_035434.2	Ls_NC_056628.2	Ha	LOC110927047	XP_022026331.1	Ls	LOC111897792	XP_023749509.1	yes
Ha_NC_035434.2	Ls_NC_056628.2	Ha	LOC110937325	XP_022035417.1	Ls	LOC111900371	XP_023752024.1	yes
Ha_NC_035435.2	Ha_NC_035445.2	Ha	LOC110930503	XP_022029508.1	Ha	LOC110899589	XP_022002167.1	no
Ha_NC_035435.2	Ha_NC_035445.2	Ha	LOC110930648	XP_022029689.1	Ha	LOC110899655	XP_022002237.1	no
Ha_NC_035435.2	Ha_NC_035445.2	Ha	LOC110930503	XP_022029508.1	Ha	LOC110897890	XP_022000317.1	no
Ha_NC_035435.2	Ls_NC_056628.2	Ha	LOC110930648	XP_022029689.1	Ls	LOC111921780	XP_052620726.1	yes
Ha_NC_035436.2	Ha_NC_035438.2	Ha	LOC110938010	XP_022036172.1	Ha	LOC110865440	XP_021970374.1	no
Ha_NC_035436.2	Ha_NC_035447.2	Ha	LOC110933853	XP_022032747.1	Ha	LOC110911761	XP_022012102.1	no
Ha_NC_035436.2	Ls_NC_056629.2	Ha	LOC110933853	XP_022032747.1	Ls	LOC111880668	XP_023732851.1	yes
Ha_NC_035436.2	Ls_NC_056630.2	Ha	LOC110938010	XP_022036172.1	Ls	LOC111917043	XP_023768465.1	yes
Ha_NC_035437.2	Ls_NC_056627.2	Ha	LOC110941540	XP_022038870.1	Ls	LOC111914868	XP_023766346.1	yes
Ha_NC_035437.2	Ls_NC_056630.2	Ha	LOC110939970	XP_022037229.1	Ls	LOC111909461	XP_023761055.1	yes
Ha_NC_035438.2	Ha_NC_035449.2	Ha	LOC110864409	XP_021969156.1	Ha	LOC110923014	XP_022022901.1	no
Ha_NC_035438.2	Ha_NC_035449.2	Ha	LOC110872387	XP_021976874.1	Ha	LOC110926365	XP_022025807.1	no
Ha_NC_035438.2	Ls_NC_056625.2	Ha	LOC110864409	XP_021969156.1	Ls	LOC111920843	XP_023772191.1	yes
Ha_NC_035438.2	Ls_NC_056625.2	Ha	LOC110872387	XP_021976874.1	Ls	LOC111907394	XP_023758937.1	yes
Ha_NC_035438.2	Ls_NC_056628.2	Ha	LOC110864409	XP_021969156.1	Ls	LOC111900371	XP_023752024.1	yes
Ha_NC_035438.2	Ls_NC_056630.2	Ha	LOC110865440	XP_021970374.1	Ls	LOC111917043	XP_023768465.1	yes
Ha_NC_035439.2	Ha_NC_035441.2	Ha	LOC110868941	XP_021973917.1	Ha	LOC118481678	XP_035832764.1	no
Ha_NC_035439.2	Ha_NC_035446.2	Ha	LOC110889695	XP_021992949.1	Ha	LOC110868884	XP_021973843.1	no
Ha_NC_035439.2	Ha_NC_035446.2	Ha	LOC110868323	XP_021973148.1	Ha	LOC110904451	XP_022005990.1	no
Ha_NC_035439.2	Ha_NC_035446.2	Ha	LOC110868317	XP_021973144.1	Ha	LOC110904457	XP_022005993.1	no
Ha_NC_035439.2	Ha_NC_035446.2	Ha	LOC110908794	XP_022009469.1	Ha	LOC110904303	XP_022005838.1	no
Ha_NC_035439.2	Ha_NC_035446.2	Ha	LOC110868941	XP_021973917.1	Ha	LOC110904925	XP_022006482.1	no
Ha_NC_035439.2	Ha_NC_035446.2	Ha	LOC110868194	XP_021972988.1	Ha	LOC110905693	XP_022006941.1	no
Ha_NC_035439.2	Ls_NC_056623.2	Ha	LOC110908794	XP_022009469.1	Ls	LOC111886028	XP_023738035.1	yes
Ha_NC_035439.2	Ls_NC_056624.2	Ha	LOC110868317	XP_021973144.1	Ls	LOC111916389	XP_023767826.1	yes
Ha_NC_035439.2	Ls_NC_056624.2	Ha	LOC110868941	XP_021973917.1	Ls	LOC111901323	XP_023752947.1	yes
Ha_NC_035439.2	Ls_NC_056624.2	Ha	LOC110868194	XP_021972988.1	Ls	LOC111900320	XP_023751970.1	yes
Ha_NC_035439.2	Ls_NC_056624.2	Ha	LOC110868195	XP_021972990.2	Ls	LOC111900266	XP_023751913.1	yes
Ha_NC_035439.2	Ls_NC_056624.2	Ha	LOC110908794	XP_022009469.1	Ls	LOC111899879	XP_023751531.1	yes
Ha_NC_035439.2	Ls_NC_056624.2	Ha	LOC110889695	XP_021992949.1	Ls	LOC111906255	XP_023757784.1	yes
Ha_NC_035439.2	Ls_NC_056628.2	Ha	LOC110868317	XP_021973144.1	Ls	LOC111893065	XP_023744911.1	yes
Ha_NC_035439.2	Ls_NC_056631.2	Ha	LOC110868941	XP_021973917.1	Ls	LOC111882021	XP_042754199.1	yes
Ha_NC_035440.2	Ha_NC_035444.2	Ha	LOC110872551	XP_021977057.1	Ha	LOC110896719	XP_021999580.1	no
Ha_NC_035440.2	Ls_NC_056630.2	Ha	LOC110872551	XP_021977057.1	Ls	LOC111898124	XP_023749820.1	yes
Ha_NC_035441.2	Ha_NC_035446.2	Ha	LOC118481678	XP_035832764.1	Ha	LOC110904925	XP_022006482.1	no
Ha_NC_035441.2	Ha_NC_035448.2	Ha	LOC118479416	XP_035833912.1	Ha	LOC110880175	XP_021984447.2	no
Ha_NC_035441.2	Ls_NC_056626.2	Ha	LOC118479416	XP_035833912.1	Ls	LOC111900815	XP_023752472.2	yes
Ha_NC_035441.2	Ls_NC_056627.2	Ha	LOC118479416	XP_035833912.1	Ls	LOC111910289	XP_023761870.1	yes
Ha_NC_035441.2	Ls_NC_056631.2	Ha	LOC118481678	XP_035832764.1	Ls	LOC111882021	XP_042754199.1	yes
Ha_NC_035442.2	Ha_NC_035444.2	Ha	LOC110886572	XP_021990076.1	Ha	LOC110894233	XP_021997121.1	no
Ha_NC_035442.2	Ls_NC_056626.2	Ha	LOC110881936	XP_035834143.1	Ls	LOC111877917	XP_023730188.2	yes
Ha_NC_035442.2	Ls_NC_056627.2	Ha	LOC110886572	XP_021990076.1	Ls	LOC111910289	XP_023761870.1	yes
Ha_NC_035442.2	Ls_NC_056631.2	Ha	LOC110884851	XP_021988248.1	Ls	LOC111879413	XP_023731640.1	yes
Ha_NC_035443.2	Ha_NC_035446.2	Ha	LOC110890906	XP_035835924.1	Ha	LOC110904303	XP_022005838.1	no
Ha_NC_035443.2	Ls_NC_056623.2	Ha	LOC110890809	XP_021994152.1	Ls	LOC111891190	XP_023743033.1	yes
Ha_NC_035443.2	Ls_NC_056623.2	Ha	LOC110890906	XP_035835924.1	Ls	LOC111886028	XP_023738035.1	yes
Ha_NC_035443.2	Ls_NC_056623.2	Ha	LOC110891299	XP_021994685.2	Ls	LOC111893041	XP_023744881.1	yes
Ha_NC_035443.2	Ls_NC_056624.2	Ha	LOC110890906	XP_035835924.1	Ls	LOC111899879	XP_023751531.1	yes
Ha_NC_035444.2	Ls_NC_056627.2	Ha	LOC110894233	XP_021997121.1	Ls	LOC111910289	XP_023761870.1	yes
Ha_NC_035444.2	Ls_NC_056630.2	Ha	LOC110895309	XP_021998290.1	Ls	LOC111919307	XP_023770678.2	yes
Ha_NC_035444.2	Ls_NC_056630.2	Ha	LOC110894830	XP_021997756.1	Ls	LOC111877216	XP_023729504.1	yes
Ha_NC_035444.2	Ls_NC_056630.2	Ha	LOC110896719	XP_021999580.1	Ls	LOC111898124	XP_023749820.1	yes
Ha_NC_035445.2	Ha_NC_035449.2	Ha	LOC110897890	XP_022000317.1	Ha	LOC110923014	XP_022022901.1	no
Ha_NC_035445.2	Ls_NC_056623.2	Ha	LOC110898014	XP_022000445.1	Ls	LOC111886019	XP_023738028.1	yes
Ha_NC_035445.2	Ls_NC_056623.2	Ha	LOC110898128	XP_022000573.1	Ls	LOC111918499	XP_023769927.1	yes
Ha_NC_035445.2	Ls_NC_056624.2	Ha	LOC110898128	XP_022000573.1	Ls	LOC111917512	XP_023768962.1	yes
Ha_NC_035445.2	Ls_NC_056628.2	Ha	LOC110899655	XP_022002237.1	Ls	LOC111921777	XP_023773129.1	yes
Ha_NC_035445.2	Ls_NC_056628.2	Ha	LOC110899654	XP_022002236.1	Ls	LOC111921779	XP_023773130.1	yes
Ha_NC_035445.2	Ls_NC_056628.2	Ha	LOC110898014	XP_022000445.1	Ls	LOC111897792	XP_023749509.1	yes
Ha_NC_035445.2	Ls_NC_056628.2	Ha	LOC110898128	XP_022000573.1	Ls	LOC111905369	XP_023756829.1	yes
Ha_NC_035445.2	Ls_NC_056628.2	Ha	LOC110898466	XP_022000943.1	Ls	LOC111897331	XP_023749056.1	yes
Ha_NC_035446.2	Ls_NC_056624.2	Ha	LOC110904303	XP_022005838.1	Ls	LOC111899879	XP_023751531.1	yes
