gene_id	gene_name	subfamily	chromosome	protein_ids
LOC110875755	aquaporin NIP1-1	NIP	Ha1	XP_021979651.1
LOC110875737	probable aquaporin TIP1-1	TIP	Ha1	XP_021979635.1
LOC110875557	aquaporin PIP2-2	PIP	Ha1	XP_021979449.1
LOC110878958	aquaporin SIP1-1	SIP	Ha1	XP_021983051.1
LOC110937325	aquaporin PIP1-3	PIP	Ha2	XP_022035417.1
LOC110937328	aquaporin PIP1-3	PIP	Ha2	XP_022035419.1
LOC110906934	aquaporin PIP2-1	PIP	Ha2	XP_022007682.2
LOC110927047	aquaporin TIP1-1	TIP	Ha2	XP_022026331.1
LOC110930503	aquaporin PIP1-3	PIP	Ha3	XP_022029508.1
LOC110930648	probable aquaporin TIP-type	TIP	Ha3	XP_022029689.1
LOC110933853	aquaporin NIP1-1	NIP	Ha4	XP_022032747.1
LOC110938010	probable aquaporin SIP2-1	SIP	Ha4	XP_022036172.1
LOC110939970	aquaporin TIP1-3	TIP	Ha5	XP_022037229.1
LOC110941540	aquaporin NIP6-1	NIP	Ha5	XP_022038870.1
LOC110864409	aquaporin PIP1-1	PIP	Ha6	XP_021969156.1;XP_021969157.1
LOC110872387	probable aquaporin NIP5-1	NIP	Ha6	XP_021976874.1
LOC110865440	probable aquaporin SIP2-1	SIP	Ha6	XP_021970374.1
LOC110868194	probable aquaporin NIP-type	NIP	Ha7	XP_021972988.1
LOC110868195	probable aquaporin NIP-type	NIP	Ha7	XP_021972990.2
LOC110889695	probable aquaporin PIP2-5	PIP	Ha7	XP_021992949.1
LOC110866810	aquaporin PIP2-4	PIP	Ha7	XP_021971649.1
LOC110868334	aquaporin PIP2-1	PIP	Ha7	XP_021973154.1
LOC110868335	aquaporin PIP2-4	PIP	Ha7	XP_021973155.1
LOC110868323	probable aquaporin PIP2-4	PIP	Ha7	XP_021973148.1
LOC110868318	probable aquaporin PIP2-4	PIP	Ha7	XP_021973145.1
LOC110868317	aquaporin PIP2-4	PIP	Ha7	XP_021973144.1
LOC110868358	aquaporin PIP2-4	PIP	Ha7	XP_021973181.1
LOC110908794	aquaporin PIP2-2	PIP	Ha7	XP_022009469.1
LOC110908807	aquaporin PIP2-2-like	PIP	Ha7	XP_035831160.1
LOC110868941	probable aquaporin PIP1-4	PIP	Ha7	XP_021973917.1
LOC110872551	aquaporin TIP1-3	TIP	Ha8	XP_021977057.1
LOC110873151	probable aquaporin TIP2-1	TIP	Ha8	XP_021977771.1
LOC110873322	aquaporin NIP2-2	NIP	Ha8	XP_021977943.1
LOC110877765	probable aquaporin NIP7-1	NIP	Ha9	XP_021981655.1;XP_035833122.1;XP_035833123.1
LOC118481678	probable aquaporin PIP1-4	PIP	Ha9	XP_035832764.1
LOC118479416	aquaporin TIP2-1-like	TIP	Ha9	XP_035833912.1
LOC110884851	probable aquaporin SIP2-1	SIP	Ha10	XP_021988248.1
LOC110881936	aquaporin-5	TIP	Ha10	XP_035834143.1
LOC110885224	aquaporin	TIP	Ha10	XP_035834144.1
LOC110886572	aquaporin TIP2-1	TIP	Ha10	XP_021990076.1
LOC110890809	aquaporin NIP1-1	NIP	Ha11	XP_021994152.1
LOC110890906	aquaporin PIP2-7	PIP	Ha11	XP_021994243.1;XP_035835916.1;XP_035835917.1;XP_035835918.1;XP_035835920.1;XP_035835921.1;XP_035835922.1;XP_035835923.1;XP_035835924.1;XP_035835925.1
LOC110891299	aquaporin TIP1-1	TIP	Ha11	XP_021994685.2
LOC110894233	aquaporin TIP2-1	TIP	Ha12	XP_021997121.1
LOC110892775	aquaporin PIP2-2-like	PIP	Ha12	XP_035837035.1
LOC110894830	aquaporin PIP2-1	PIP	Ha12	XP_021997756.1
LOC110896719	probable aquaporin TIP1-2	TIP	Ha12	XP_021999580.1
LOC110895309	probable aquaporin PIP2-8	PIP	Ha12	XP_021998290.1
LOC110897890	aquaporin PIP1-3	PIP	Ha13	XP_022000317.1
LOC110898014	aquaporin TIP1-1	TIP	Ha13	XP_022000445.1
LOC110898128	aquaporin SIP1-2	SIP	Ha13	XP_022000573.1
LOC110898466	aquaporin TIP4-1	TIP	Ha13	XP_022000943.1
LOC110899589	aquaporin PIP1-3	PIP	Ha13	XP_022002167.1
LOC110899592	aquaporin PIP1-3	PIP	Ha13	XP_022002168.1
LOC110899655	probable aquaporin TIP-type	TIP	Ha13	XP_022002237.1
LOC110899654	probable aquaporin TIP-type RB7-5A	TIP	Ha13	XP_022002236.1
LOC110899653	probable aquaporin TIP-type RB7-5A	TIP	Ha13	XP_022002235.1
LOC110899667	probable aquaporin TIP-type RB7-5A	TIP	Ha13	XP_022002249.1
LOC110908730	aquaporin SIP1-2	SIP	Ha14	XP_022009396.1
LOC110905693	probable aquaporin NIP-type	NIP	Ha14	XP_022006941.1
LOC110904303	aquaporin PIP2-2	PIP	Ha14	XP_022005838.1
LOC110904457	probable aquaporin PIP2-4	PIP	Ha14	XP_022005993.1
LOC110904450	probable aquaporin PIP2-4	PIP	Ha14	XP_022005989.1
LOC110904451	probable aquaporin PIP2-4	PIP	Ha14	XP_022005990.1
LOC110868884	probable aquaporin PIP2-5	PIP	Ha14	XP_021973843.1
LOC110904925	probable aquaporin PIP1-4	PIP	Ha14	XP_022006482.1
LOC110906290	probable aquaporin TIP5-1	TIP	Ha14	XP_022007155.1
LOC110911072	aquaporin NIP2-1	NIP	Ha15	XP_022011339.1
LOC110886457	aquaporin NIP2-1	NIP	Ha15	XP_021989956.1
LOC110911125	aquaporin NIP2-1	NIP	Ha15	XP_022011398.1
LOC110911759	aquaporin NIP1-1	NIP	Ha15	XP_022012100.1
LOC110911761	aquaporin NIP1-1	NIP	Ha15	XP_022012102.1
LOC110913792	aquaporin NIP1-1	NIP	Ha15	XP_022014304.1
LOC110914202	nodulin-26	NIP	Ha15	XP_022014704.1
LOC110912639	probable aquaporin TIP3-2	TIP	Ha15	XP_022013098.1
LOC110880175	aquaporin TIP2-1	TIP	Ha16	XP_021984447.2
LOC110916291	probable aquaporin TIP-type RB7-5A	TIP	Ha16	XP_022016725.1
LOC110916097	probable aquaporin TIP-type	TIP	Ha16	XP_022016546.1
LOC110937771	aquaporin TIP3-1	TIP	Ha16	XP_022035921.1
LOC110923014	aquaporin PIP1-3	PIP	Ha17	XP_022022901.1
LOC110926365	probable aquaporin NIP5-1	NIP	Ha17	XP_022025807.1
LOC110921506	probable aquaporin NIP5-1	NIP	Ha17	XP_022021536.1
LOC110925968	aquaporin PIP2-7	PIP	Ha17	XP_022025446.1
LOC110923973	aquaporin NIP2-2	NIP	Ha17	XP_022023717.1
LOC110884547	aquaporin NIP2-1	NIP	Ha17	XP_021987957.1
LOC110884546	aquaporin NIP2-2	NIP	Ha17	XP_021987955.1
LOC110921437	probable aquaporin NIP-type	NIP	Ha17	XP_022021453.1
