protein_id	E_value	score	bias	best_dom_evalue	best_dom_score
XP_022005990.1	2.5e-86	291.1	7.2	2.9e-86	290.9
XP_022005989.1	3e-86	290.8	7.1	3.5e-86	290.6
XP_022005993.1	3e-86	290.8	7.3	3.4e-86	290.6
XP_021973843.1	1.6e-85	288.4	8.2	1.9e-85	288.2
XP_035831160.1	1.6e-85	288.4	6.7	1.9e-85	288.2
XP_022009469.1	3.6e-85	287.3	7.5	4.2e-85	287.1
XP_022005838.1	1e-84	285.8	7.2	1.1e-84	285.6
XP_021973144.1	1.2e-84	285.6	7.0	1.4e-84	285.3
XP_021973155.1	1.5e-84	285.3	7.1	1.7e-84	285.1
XP_021992949.1	1.5e-84	285.3	10.1	1.7e-84	285.1
XP_021973181.1	1.8e-84	285.0	7.4	2.1e-84	284.8
XP_021973145.1	1.9e-84	284.9	7.9	2.2e-84	284.7
XP_021973148.1	1.9e-84	284.9	7.9	2.2e-84	284.7
XP_021998290.1	2.4e-84	284.6	10.8	2.7e-84	284.4
XP_021971649.1	2.7e-84	284.4	7.9	3.2e-84	284.2
XP_021973154.1	5.6e-84	283.4	7.9	6.5e-84	283.2
XP_021979449.1	5.5e-84	283.4	6.6	6.4e-84	283.2
XP_021994243.1	9.8e-84	282.6	7.1	1.1e-83	282.4
XP_035835916.1	9.8e-84	282.6	7.1	1.1e-83	282.4
XP_035835917.1	9.8e-84	282.6	7.1	1.1e-83	282.4
XP_035835918.1	9.8e-84	282.6	7.1	1.1e-83	282.4
XP_035835920.1	9.8e-84	282.6	7.1	1.1e-83	282.4
XP_035835921.1	9.8e-84	282.6	7.1	1.1e-83	282.4
XP_035835922.1	9.8e-84	282.6	7.1	1.1e-83	282.4
XP_035835923.1	9.8e-84	282.6	7.1	1.1e-83	282.4
XP_035835924.1	9.8e-84	282.6	7.1	1.1e-83	282.4
XP_035835925.1	9.8e-84	282.6	7.1	1.1e-83	282.4
XP_021997756.1	1.8e-83	281.8	9.0	2e-83	281.6
XP_022035417.1	1.7e-83	281.8	12.4	1.9e-83	281.6
XP_021969156.1	2e-83	281.6	11.5	2.3e-83	281.4
XP_022006482.1	2.2e-83	281.4	10.0	2.6e-83	281.2
XP_022022901.1	2.3e-83	281.4	11.4	2.6e-83	281.2
XP_022000317.1	5.8e-83	280.1	12.4	6.6e-83	279.9
XP_022025446.1	5.7e-83	280.1	10.4	6.7e-83	279.9
XP_022002167.1	1.3e-82	278.9	12.9	1.5e-82	278.7
XP_022002168.1	1.3e-82	278.9	12.9	1.5e-82	278.7
XP_021973917.1	5.3e-82	276.9	11.1	6.1e-82	276.7
XP_022035419.1	2.8e-81	274.6	14.6	3.2e-81	274.4
XP_022029508.1	4.6e-81	273.8	14.3	5.3e-81	273.7
XP_022002235.1	4.3e-80	270.7	18.3	4.9e-80	270.5
XP_022002249.1	4.3e-80	270.7	18.3	4.8e-80	270.5
XP_035837035.1	4.8e-80	270.5	10.2	5.6e-80	270.3
XP_022002237.1	5.7e-80	270.3	18.6	6.5e-80	270.1
XP_022029689.1	6.4e-80	270.1	18.5	7.3e-80	269.9
XP_021994685.2	2e-79	268.5	20.9	2.2e-79	268.3
XP_022013098.1	3.4e-79	267.7	13.6	3.9e-79	267.6
XP_022007682.2	6.9e-79	266.7	7.7	7.8e-79	266.6
XP_021997121.1	9e-79	266.4	19.8	1e-78	266.2
XP_022002236.1	1.1e-78	266.1	18.5	1.2e-78	265.9
XP_021990076.1	2.2e-78	265.1	19.3	2.5e-78	264.9
XP_022016546.1	2.9e-78	264.7	18.5	3.2e-78	264.5
XP_022035921.1	3e-78	264.6	15.5	3.4e-78	264.5
XP_035833912.1	3.8e-78	264.3	18.1	4.3e-78	264.1
XP_035832764.1	6.8e-78	263.5	8.0	7.9e-78	263.3
