protein_id	domain	accession	dom_evalue	dom_score	ali_from	ali_to
XP_021969156.1	MIP	PF00230.26	9.1e-84	281.4	44	274
XP_021969157.1	MIP	PF00230.26	1e-72	245.3	44	259
XP_021970374.1	MIP	PF00230.26	1.3e-07	32.4	36	218
XP_021971649.1	MIP	PF00230.26	1.3e-84	284.2	39	274
XP_021972988.1	MIP	PF00230.26	2.5e-59	201.5	26	237
XP_021972990.2	MIP	PF00230.26	7.2e-57	193.4	24	235
XP_021973144.1	MIP	PF00230.26	5.6e-85	285.3	30	265
XP_021973145.1	MIP	PF00230.26	8.7e-85	284.7	30	265
XP_021973148.1	MIP	PF00230.26	8.7e-85	284.7	30	265
XP_021973154.1	MIP	PF00230.26	2.6e-84	283.2	30	265
XP_021973155.1	MIP	PF00230.26	6.7e-85	285.1	30	265
XP_021973181.1	MIP	PF00230.26	8.4e-85	284.8	30	265
XP_021973843.1	MIP	PF00230.26	7.5e-86	288.2	29	264
XP_021973917.1	MIP	PF00230.26	2.4e-82	276.7	45	275
XP_021975607.1	MIP	PF00230.26	5.7e-16	59.7	29	95
XP_021976874.1	MIP	PF00230.26	2.9e-51	175.1	62	271
XP_021977057.1	MIP	PF00230.26	5.7e-74	249.3	14	234
XP_021977771.1	MIP	PF00230.26	4.7e-77	259.4	14	231
XP_021977943.1	MIP	PF00230.26	5e-56	190.7	40	247
XP_021979449.1	MIP	PF00230.26	2.5e-84	283.2	35	270
XP_021979635.1	MIP	PF00230.26	2.8e-75	253.6	18	238
XP_021979651.1	MIP	PF00230.26	5.6e-65	219.9	37	248
XP_021981655.1	MIP	PF00230.26	1.4e-41	143.4	31	234
XP_021983051.1	MIP	PF00230.26	1.1e-19	71.9	4	223
XP_021984447.2	MIP	PF00230.26	4.8e-78	262.7	14	232
XP_021985922.2	MIP	PF00230.26	4e-11	43.9	55	103
XP_021987955.1	MIP	PF00230.26	3.7e-55	187.9	40	247
XP_021987957.1	MIP	PF00230.26	1.3e-55	189.3	36	243
XP_021988248.1	MIP	PF00230.26	7.6e-08	33.1	8	219
XP_021989956.1	MIP	PF00230.26	2.1e-54	185.3	40	248
XP_021990076.1	MIP	PF00230.26	1e-78	264.9	14	232
XP_021990674.1	MIP	PF00230.26	1.3e-14	55.3	30	95
XP_021992949.1	MIP	PF00230.26	6.7e-85	285.1	27	263
XP_021994152.1	MIP	PF00230.26	6.4e-64	216.5	24	235
XP_021994243.1	MIP	PF00230.26	4.5e-84	282.4	35	270
XP_021994685.2	MIP	PF00230.26	8.9e-80	268.3	14	234
XP_021997121.1	MIP	PF00230.26	4.1e-79	266.2	14	232
XP_021997756.1	MIP	PF00230.26	8.1e-84	281.6	29	262
XP_021998290.1	MIP	PF00230.26	1.1e-84	284.4	29	258
XP_021999580.1	MIP	PF00230.26	5.9e-73	246.0	14	234
XP_022000317.1	MIP	PF00230.26	2.6e-83	279.9	44	274
XP_022000445.1	MIP	PF00230.26	4.3e-76	256.3	24	241
XP_022000573.1	MIP	PF00230.26	8.5e-18	65.7	5	223
XP_022000943.1	MIP	PF00230.26	5.1e-69	233.2	12	229
