gene1	gene2	protein1	protein2	identity	qcov	chr1	chr2	chr1_name	chr2_name	distance_bp	type	aligned_codons	Ka	Ks	Ka_Ks	selection	note
LOC110864409	LOC110868884	XP_021969156.1	XP_021973843.1	75.379	90.0	NC_035438.2	NC_035446.2	Ha6	Ha14	NA	segmental	270	0.1902	2.1040	0.0904	purifying	
LOC110864409	LOC110868941	XP_021969156.1	XP_021973917.1	88.502	99.0	NC_035438.2	NC_035439.2	Ha6	Ha7	NA	segmental	286	0.0785	NA	NA	NA	Ks_saturated
LOC110864409	LOC110890906	XP_021969156.1	XP_035835925.1	73.432	92.0	NC_035438.2	NC_035443.2	Ha6	Ha11	NA	segmental	276	0.2061	1.5521	0.1328	purifying	
LOC110864409	LOC110897890	XP_021969156.1	XP_022000317.1	96.516	100.0	NC_035438.2	NC_035445.2	Ha6	Ha13	NA	segmental	287	0.0284	0.6320	0.0450	purifying	
LOC110864409	LOC110899589	XP_021969156.1	XP_022002167.1	95.122	100.0	NC_035438.2	NC_035445.2	Ha6	Ha13	NA	segmental	287	0.0316	0.6616	0.0477	purifying	
LOC110864409	LOC110899592	XP_021969156.1	XP_022002168.1	95.122	100.0	NC_035438.2	NC_035445.2	Ha6	Ha13	NA	segmental	287	0.0316	0.6616	0.0477	purifying	
LOC110864409	LOC110904925	XP_021969156.1	XP_022006482.1	91.638	99.0	NC_035438.2	NC_035446.2	Ha6	Ha14	NA	segmental	286	0.0619	NA	NA	NA	Ks_saturated
LOC110864409	LOC110923014	XP_021969156.1	XP_022022901.1	98.258	100.0	NC_035438.2	NC_035449.2	Ha6	Ha17	NA	segmental	287	0.0125	0.4103	0.0304	purifying	
LOC110864409	LOC110930503	XP_021969156.1	XP_022029508.1	94.425	100.0	NC_035438.2	NC_035435.2	Ha6	Ha3	NA	segmental	287	0.0341	0.6480	0.0526	purifying	
LOC110864409	LOC110937325	XP_021969156.1	XP_022035417.1	97.909	100.0	NC_035438.2	NC_035434.2	Ha6	Ha2	NA	segmental	287	0.0145	0.6316	0.0229	purifying	
LOC110864409	LOC110937328	XP_021969156.1	XP_022035419.1	94.077	100.0	NC_035438.2	NC_035434.2	Ha6	Ha2	NA	segmental	287	0.0328	0.6182	0.0530	purifying	
LOC110864409	LOC118481678	XP_021969156.1	XP_035832764.1	75.874	99.0	NC_035438.2	NC_035441.2	Ha6	Ha9	NA	segmental	286	0.1648	NA	NA	NA	Ks_saturated
LOC110865440	LOC110938010	XP_021970374.1	XP_022036172.1	77.232	96.0	NC_035438.2	NC_035436.2	Ha6	Ha4	NA	segmental	233	0.1364	0.6768	0.2016	purifying	
LOC110866810	LOC110868317	XP_021971649.1	XP_021973144.1	97.163	97.0	NC_035439.2	NC_035439.2	Ha7	Ha7	435271	proximal	283	0.0180	0.4068	0.0443	purifying	
LOC110866810	LOC110868318	XP_021971649.1	XP_021973145.1	98.233	97.0	NC_035439.2	NC_035439.2	Ha7	Ha7	420902	proximal	283	0.0079	0.0955	0.0826	purifying	
LOC110866810	LOC110868323	XP_021971649.1	XP_021973148.1	98.233	97.0	NC_035439.2	NC_035439.2	Ha7	Ha7	370846	proximal	283	0.0079	0.0955	0.0826	purifying	
LOC110866810	LOC110868334	XP_021971649.1	XP_021973154.1	97.163	97.0	NC_035439.2	NC_035439.2	Ha7	Ha7	128547	tandem	283	0.0164	0.3076	0.0534	purifying	
LOC110866810	LOC110868335	XP_021971649.1	XP_021973155.1	96.809	97.0	NC_035439.2	NC_035439.2	Ha7	Ha7	160450	tandem	283	0.0180	0.3426	0.0527	purifying	
LOC110866810	LOC110868358	XP_021971649.1	XP_021973181.1	97.163	97.0	NC_035439.2	NC_035439.2	Ha7	Ha7	549874	proximal	283	0.0164	0.3208	0.0512	purifying	
LOC110866810	LOC110890906	XP_021971649.1	XP_035835925.1	84.321	97.0	NC_035439.2	NC_035443.2	Ha7	Ha11	NA	segmental	283	0.1204	1.3878	0.0868	purifying	
LOC110866810	LOC110892775	XP_021971649.1	XP_035837035.1	77.061	97.0	NC_035439.2	NC_035444.2	Ha7	Ha12	NA	segmental	280	0.1555	1.6304	0.0954	purifying	
LOC110866810	LOC110894830	XP_021971649.1	XP_021997756.1	82.979	98.0	NC_035439.2	NC_035444.2	Ha7	Ha12	NA	segmental	280	0.1182	1.7057	0.0693	purifying	
LOC110866810	LOC110904303	XP_021971649.1	XP_022005838.1	85.816	97.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	282	0.1091	1.7612	0.0620	purifying	
LOC110866810	LOC110904450	XP_021971649.1	XP_022005989.1	91.844	97.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	283	0.0476	0.7878	0.0604	purifying	
LOC110866810	LOC110904451	XP_021971649.1	XP_022005990.1	93.262	97.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	283	0.0401	0.7549	0.0531	purifying	
LOC110866810	LOC110904457	XP_021971649.1	XP_022005993.1	91.844	97.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	283	0.0459	0.6658	0.0689	purifying	
LOC110866810	LOC110906934	XP_021971649.1	XP_022007682.2	75.620	94.0	NC_035439.2	NC_035434.2	Ha7	Ha2	NA	segmental	247	0.1783	2.6305	0.0678	purifying	
LOC110868194	LOC110868195	XP_021972988.1	XP_021972990.2	80.645	95.0	NC_035439.2	NC_035439.2	Ha7	Ha7	6435	tandem	258	0.1312	0.3663	0.3582	purifying	
LOC110868194	LOC110905693	XP_021972988.1	XP_022006941.1	83.465	98.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	255	0.0998	0.5182	0.1926	purifying	
LOC110868195	LOC110905693	XP_021972990.2	XP_022006941.1	73.279	90.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	253	0.1505	0.5932	0.2537	purifying	
LOC110868317	LOC110868318	XP_021973144.1	XP_021973145.1	97.518	99.0	NC_035439.2	NC_035439.2	Ha7	Ha7	14369	tandem	283	0.0172	0.3968	0.0433	purifying	
LOC110868317	LOC110868323	XP_021973144.1	XP_021973148.1	97.518	99.0	NC_035439.2	NC_035439.2	Ha7	Ha7	64425	tandem	283	0.0172	0.3968	0.0433	purifying	
LOC110868317	LOC110868334	XP_021973144.1	XP_021973154.1	98.944	100.0	NC_035439.2	NC_035439.2	Ha7	Ha7	306724	proximal	284	0.0063	0.2486	0.0253	purifying	
LOC110868317	LOC110868335	XP_021973144.1	XP_021973155.1	98.944	100.0	NC_035439.2	NC_035439.2	Ha7	Ha7	274821	proximal	284	0.0063	0.2608	0.0241	purifying	
LOC110868317	LOC110868358	XP_021973144.1	XP_021973181.1	98.592	100.0	NC_035439.2	NC_035439.2	Ha7	Ha7	114603	tandem	284	0.0079	0.3161	0.0249	purifying	
LOC110868317	LOC110868941	XP_021973144.1	XP_021973917.1	70.213	96.0	NC_035439.2	NC_035439.2	Ha7	Ha7	22626592	segmental	271	0.2155	2.2454	0.0960	purifying	
LOC110868317	LOC110890906	XP_021973144.1	XP_035835925.1	84.775	100.0	NC_035439.2	NC_035443.2	Ha7	Ha11	NA	segmental	284	0.1122	1.6000	0.0701	purifying	
LOC110868317	LOC110892775	XP_021973144.1	XP_035837035.1	76.761	99.0	NC_035439.2	NC_035444.2	Ha7	Ha12	NA	segmental	281	0.1531	1.6818	0.0910	purifying	
LOC110868317	LOC110894830	XP_021973144.1	XP_021997756.1	82.746	99.0	NC_035439.2	NC_035444.2	Ha7	Ha12	NA	segmental	281	0.1189	1.5975	0.0744	purifying	
LOC110868317	LOC110904303	XP_021973144.1	XP_022005838.1	86.620	100.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	283	0.1025	1.5231	0.0673	purifying	
LOC110868317	LOC110904450	XP_021973144.1	XP_022005989.1	92.606	100.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	284	0.0385	0.7152	0.0538	purifying	
LOC110868317	LOC110904451	XP_021973144.1	XP_022005990.1	92.606	100.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	284	0.0377	0.5969	0.0631	purifying	
LOC110868317	LOC110904457	XP_021973144.1	XP_022005993.1	92.606	100.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	284	0.0368	0.6036	0.0610	purifying	
LOC110868317	LOC110906934	XP_021973144.1	XP_022007682.2	75.620	94.0	NC_035439.2	NC_035434.2	Ha7	Ha2	NA	segmental	248	0.1737	1.5786	0.1100	purifying	
LOC110868317	LOC110908807	XP_021973144.1	XP_035831160.1	82.746	100.0	NC_035439.2	NC_035439.2	Ha7	Ha7	8932431	segmental	283	0.1297	2.0334	0.0638	purifying	
LOC110868318	LOC110868323	XP_021973145.1	XP_021973148.1	100.000	100.0	NC_035439.2	NC_035439.2	Ha7	Ha7	50056	tandem	283	0.0000	0.0000	NA	NA	Ks_zero
LOC110868318	LOC110868334	XP_021973145.1	XP_021973154.1	97.518	99.0	NC_035439.2	NC_035439.2	Ha7	Ha7	292355	proximal	283	0.0156	0.2709	0.0576	purifying	
LOC110868318	LOC110868335	XP_021973145.1	XP_021973155.1	97.163	99.0	NC_035439.2	NC_035439.2	Ha7	Ha7	260452	proximal	283	0.0172	0.3259	0.0528	purifying	
LOC110868318	LOC110868358	XP_021973145.1	XP_021973181.1	97.518	99.0	NC_035439.2	NC_035439.2	Ha7	Ha7	128972	tandem	283	0.0156	0.3045	0.0513	purifying	
LOC110868318	LOC110890906	XP_021973145.1	XP_035835925.1	85.714	99.0	NC_035439.2	NC_035443.2	Ha7	Ha11	NA	segmental	283	0.1141	1.3542	0.0843	purifying	
LOC110868318	LOC110892775	XP_021973145.1	XP_035837035.1	78.136	97.0	NC_035439.2	NC_035444.2	Ha7	Ha12	NA	segmental	280	0.1491	1.6189	0.0921	purifying	
