gene_id	protein_id	mrna_id	chromosome	exon_num	exon_start	exon_end	exon_length	strand
gene-LOC110864409	XP_021969157.1	rna-XM_022113464.2	NC_035438.2	1	3761973	3762087	115	+
gene-LOC110864409	XP_021969157.1	rna-XM_022113464.2	NC_035438.2	2	3765469	3765836	368	+
gene-LOC110864409	XP_021969157.1	rna-XM_022113464.2	NC_035438.2	3	3766893	3767191	299	+
gene-LOC110864409	XP_021969157.1	rna-XM_022113464.2	NC_035438.2	4	3768900	3769040	141	+
gene-LOC110864409	XP_021969157.1	rna-XM_022113464.2	NC_035438.2	5	3769178	3769494	317	+
gene-LOC110864409	XP_021969157.1	rna-XM_022113465.2	NC_035438.2	1	3765389	3765836	448	+
gene-LOC110864409	XP_021969157.1	rna-XM_022113465.2	NC_035438.2	2	3766893	3767191	299	+
gene-LOC110864409	XP_021969157.1	rna-XM_022113465.2	NC_035438.2	3	3768900	3769044	145	+
gene-LOC110864409	XP_021969157.1	rna-XM_022113465.2	NC_035438.2	4	3769178	3769374	197	+
gene-LOC110865440	XP_021970374.1	rna-XM_022114682.2	NC_035438.2	1	47755436	47756003	568	+
gene-LOC110865440	XP_021970374.1	rna-XM_022114682.2	NC_035438.2	2	47756970	47757230	261	+
gene-LOC110865440	XP_021970374.1	rna-XM_022114682.2	NC_035438.2	3	47758058	47758420	363	+
gene-LOC110866810	XP_021971649.1	rna-XM_022115957.2	NC_035439.2	1	119735398	119735810	413	+
gene-LOC110866810	XP_021971649.1	rna-XM_022115957.2	NC_035439.2	2	119736511	119736806	296	+
gene-LOC110866810	XP_021971649.1	rna-XM_022115957.2	NC_035439.2	3	119736923	119737063	141	+
gene-LOC110866810	XP_021971649.1	rna-XM_022115957.2	NC_035439.2	4	119737150	119737473	324	+
gene-LOC110868194	XP_021972988.1	rna-XM_022117296.2	NC_035439.2	1	98648385	98648621	237	+
gene-LOC110868194	XP_021972988.1	rna-XM_022117296.2	NC_035439.2	2	98648704	98648928	225	+
gene-LOC110868194	XP_021972988.1	rna-XM_022117296.2	NC_035439.2	3	98649261	98649458	198	+
gene-LOC110868194	XP_021972988.1	rna-XM_022117296.2	NC_035439.2	4	98649541	98649602	62	+
gene-LOC110868194	XP_021972988.1	rna-XM_022117296.2	NC_035439.2	5	98649689	98649923	235	+
gene-LOC110868195	XP_021972990.2	rna-XM_022117298.2	NC_035439.2	1	98654820	98654909	90	+
gene-LOC110868195	XP_021972990.2	rna-XM_022117298.2	NC_035439.2	2	98655823	98656047	225	+
gene-LOC110868195	XP_021972990.2	rna-XM_022117298.2	NC_035439.2	3	98657330	98657527	198	+
gene-LOC110868195	XP_021972990.2	rna-XM_022117298.2	NC_035439.2	4	98657615	98657676	62	+
gene-LOC110868195	XP_021972990.2	rna-XM_022117298.2	NC_035439.2	5	98657769	98657947	179	+
gene-LOC110868195	XP_021972990.2	rna-XM_022117298.2	NC_035439.2	6	98659362	98659435	74	+
gene-LOC110868317	XP_021973144.1	rna-XM_022117452.2	NC_035439.2	1	120170669	120171069	401	-
gene-LOC110868317	XP_021973144.1	rna-XM_022117452.2	NC_035439.2	2	120171159	120171299	141	-
gene-LOC110868317	XP_021973144.1	rna-XM_022117452.2	NC_035439.2	3	120171547	120171842	296	-
gene-LOC110868317	XP_021973144.1	rna-XM_022117452.2	NC_035439.2	4	120172193	120172599	407	-
gene-LOC110868318	XP_021973145.1	rna-XM_022117453.2	NC_035439.2	1	120156300	120157461	1162	+
gene-LOC110868318	XP_021973145.1	rna-XM_022117453.2	NC_035439.2	2	120158066	120158361	296	+
gene-LOC110868318	XP_021973145.1	rna-XM_022117453.2	NC_035439.2	3	120158477	120158617	141	+
gene-LOC110868318	XP_021973145.1	rna-XM_022117453.2	NC_035439.2	4	120158704	120159035	332	+
gene-LOC110868323	XP_021973148.1	rna-XM_022117456.2	NC_035439.2	1	120106244	120107822	1579	+
gene-LOC110868323	XP_021973148.1	rna-XM_022117456.2	NC_035439.2	2	120108427	120108722	296	+
gene-LOC110868323	XP_021973148.1	rna-XM_022117456.2	NC_035439.2	3	120108838	120108978	141	+
gene-LOC110868323	XP_021973148.1	rna-XM_022117456.2	NC_035439.2	4	120109065	120109396	332	+
gene-LOC110868334	XP_021973154.1	rna-XM_022117462.2	NC_035439.2	1	119863945	119864229	285	-
gene-LOC110868334	XP_021973154.1	rna-XM_022117462.2	NC_035439.2	2	119864319	119864459	141	-
gene-LOC110868334	XP_021973154.1	rna-XM_022117462.2	NC_035439.2	3	119864712	119865007	296	-
gene-LOC110868334	XP_021973154.1	rna-XM_022117462.2	NC_035439.2	4	119865326	119865688	363	-
gene-LOC110868335	XP_021973155.1	rna-XM_022117463.2	NC_035439.2	1	119895848	119896182	335	-
gene-LOC110868335	XP_021973155.1	rna-XM_022117463.2	NC_035439.2	2	119896273	119896413	141	-
gene-LOC110868335	XP_021973155.1	rna-XM_022117463.2	NC_035439.2	3	119896691	119896986	296	-
gene-LOC110868335	XP_021973155.1	rna-XM_022117463.2	NC_035439.2	4	119897554	119897953	400	-
gene-LOC110868358	XP_021973181.1	rna-XM_022117489.2	NC_035439.2	1	120285272	120285604	333	-
gene-LOC110868358	XP_021973181.1	rna-XM_022117489.2	NC_035439.2	2	120285695	120285835	141	-
gene-LOC110868358	XP_021973181.1	rna-XM_022117489.2	NC_035439.2	3	120286111	120286406	296	-
gene-LOC110868358	XP_021973181.1	rna-XM_022117489.2	NC_035439.2	4	120286967	120287478	512	-
gene-LOC110868884	XP_021973843.1	rna-XM_022118151.2	NC_035446.2	1	160857907	160858281	375	+
gene-LOC110868884	XP_021973843.1	rna-XM_022118151.2	NC_035446.2	2	160858456	160858751	296	+
gene-LOC110868884	XP_021973843.1	rna-XM_022118151.2	NC_035446.2	3	160858836	160858976	141	+
gene-LOC110868884	XP_021973843.1	rna-XM_022118151.2	NC_035446.2	4	160859386	160859585	200	+
gene-LOC110868941	XP_021973917.1	rna-XM_022118225.2	NC_035439.2	1	142797261	142797670	410	+
gene-LOC110868941	XP_021973917.1	rna-XM_022118225.2	NC_035439.2	2	142799098	142799396	299	+
gene-LOC110868941	XP_021973917.1	rna-XM_022118225.2	NC_035439.2	3	142799792	142799932	141	+
gene-LOC110868941	XP_021973917.1	rna-XM_022118225.2	NC_035439.2	4	142800937	142801210	274	+
gene-LOC110872387	XP_021976874.1	rna-XM_022121182.2	NC_035438.2	1	6725442	6725972	531	-
gene-LOC110872387	XP_021976874.1	rna-XM_022121182.2	NC_035438.2	2	6726197	6726258	62	-
gene-LOC110872387	XP_021976874.1	rna-XM_022121182.2	NC_035438.2	3	6726332	6726751	420	-
gene-LOC110872387	XP_021976874.1	rna-XM_022121182.2	NC_035438.2	4	6727557	6728276	720	-
gene-LOC110872387	XP_021976874.1	rna-XM_022121182.2	NC_035438.2	5	6728371	6728514	144	-
gene-LOC110872551	XP_021977057.1	rna-XM_022121365.2	NC_035440.2	1	31697135	31697619	485	+
gene-LOC110872551	XP_021977057.1	rna-XM_022121365.2	NC_035440.2	2	31698162	31698412	251	+
gene-LOC110872551	XP_021977057.1	rna-XM_022121365.2	NC_035440.2	3	31698972	31699477	506	+
gene-LOC110875557	XP_021979449.1	rna-XM_022123757.2	NC_035433.2	1	122456136	122456529	394	+
gene-LOC110875557	XP_021979449.1	rna-XM_022123757.2	NC_035433.2	2	122457188	122457483	296	+
gene-LOC110875557	XP_021979449.1	rna-XM_022123757.2	NC_035433.2	3	122458451	122458591	141	+
gene-LOC110875557	XP_021979449.1	rna-XM_022123757.2	NC_035433.2	4	122458686	122459050	365	+
gene-LOC110875737	XP_021979635.1	rna-XM_022123943.2	NC_035433.2	1	118858363	118858910	548	-
gene-LOC110875737	XP_021979635.1	rna-XM_022123943.2	NC_035433.2	2	118859510	118860009	500	-
gene-LOC110878958	XP_021983051.1	rna-XM_022127359.2	NC_035433.2	1	133758482	133758838	357	+
gene-LOC110878958	XP_021983051.1	rna-XM_022127359.2	NC_035433.2	2	133762816	133763088	273	+
gene-LOC110878958	XP_021983051.1	rna-XM_022127359.2	NC_035433.2	3	133764308	133764635	328	+
gene-LOC110887087	XP_021990674.1	rna-XM_022134982.1	NC_035434.2	1	18872278	18872738	461	+
