loc_id	product	subfamily
LOC110875755	aquaporin NIP1-1	NIP
LOC110875737	probable aquaporin TIP1-1	TIP
LOC110875557	aquaporin PIP2-2	PIP
LOC110878958	aquaporin SIP1-1	SIP
LOC110937325	aquaporin PIP1-3	PIP
LOC110937328	aquaporin PIP1-3	PIP
LOC110906934	aquaporin PIP2-1	PIP
LOC110927047	aquaporin TIP1-1	TIP
LOC110930503	aquaporin PIP1-3	PIP
LOC110930648	probable aquaporin TIP-type	TIP
LOC110933853	aquaporin NIP1-1	NIP
LOC110938010	probable aquaporin SIP2-1	SIP
LOC110939970	aquaporin TIP1-3	TIP
LOC110941540	aquaporin NIP6-1	NIP
LOC110864409	aquaporin PIP1-1	PIP
LOC110872387	probable aquaporin NIP5-1	NIP
LOC110865440	probable aquaporin SIP2-1	SIP
LOC110868194	probable aquaporin NIP-type	NIP
LOC110868195	probable aquaporin NIP-type	NIP
LOC110889695	probable aquaporin PIP2-5	PIP
LOC110866810	aquaporin PIP2-4	PIP
LOC110868334	aquaporin PIP2-1	PIP
LOC110868335	aquaporin PIP2-4	PIP
LOC110868323	probable aquaporin PIP2-4	PIP
LOC110868318	probable aquaporin PIP2-4	PIP
LOC110868317	aquaporin PIP2-4	PIP
LOC110868358	aquaporin PIP2-4	PIP
LOC110908794	aquaporin PIP2-2	PIP
LOC110908807	aquaporin PIP2-2-like	PIP
LOC110868941	probable aquaporin PIP1-4	PIP
LOC110872551	aquaporin TIP1-3	TIP
LOC110873151	probable aquaporin TIP2-1	TIP
LOC110873322	aquaporin NIP2-2	NIP
LOC110877765	probable aquaporin NIP7-1	NIP
LOC118481678	probable aquaporin PIP1-4	PIP
LOC118479416	aquaporin TIP2-1-like	TIP
LOC110884851	probable aquaporin SIP2-1	SIP
LOC110881936	aquaporin-5	TIP
LOC110885224	aquaporin	TIP
LOC110886572	aquaporin TIP2-1	TIP
LOC110890809	aquaporin NIP1-1	NIP
LOC110890906	aquaporin PIP2-7	PIP
LOC110891299	aquaporin TIP1-1	TIP
LOC110894233	aquaporin TIP2-1	TIP
LOC110892775	aquaporin PIP2-2-like	PIP
LOC110894830	aquaporin PIP2-1	PIP
LOC110896719	probable aquaporin TIP1-2	TIP
LOC110895309	probable aquaporin PIP2-8	PIP
LOC110897890	aquaporin PIP1-3	PIP
LOC110898014	aquaporin TIP1-1	TIP
LOC110898128	aquaporin SIP1-2	SIP
LOC110898466	aquaporin TIP4-1	TIP
LOC110899589	aquaporin PIP1-3	PIP
LOC110899592	aquaporin PIP1-3	PIP
LOC110899655	probable aquaporin TIP-type	TIP
LOC110899654	probable aquaporin TIP-type RB7-5A	TIP
LOC110899653	probable aquaporin TIP-type RB7-5A	TIP
LOC110899667	probable aquaporin TIP-type RB7-5A	TIP
LOC110908730	aquaporin SIP1-2	SIP
LOC110905693	probable aquaporin NIP-type	NIP
LOC110904303	aquaporin PIP2-2	PIP
LOC110904457	probable aquaporin PIP2-4	PIP
LOC110904450	probable aquaporin PIP2-4	PIP
LOC110904451	probable aquaporin PIP2-4	PIP
LOC110868884	probable aquaporin PIP2-5	PIP
LOC110904925	probable aquaporin PIP1-4	PIP
LOC110906290	probable aquaporin TIP5-1	TIP
LOC110911072	aquaporin NIP2-1	NIP
LOC110886457	aquaporin NIP2-1	NIP
LOC110911125	aquaporin NIP2-1	NIP
LOC110911759	aquaporin NIP1-1	NIP
LOC110911761	aquaporin NIP1-1	NIP
LOC110913792	aquaporin NIP1-1	NIP
LOC110914202	nodulin-26	NIP
LOC110912639	probable aquaporin TIP3-2	TIP
LOC110880175	aquaporin TIP2-1	TIP
LOC110916291	probable aquaporin TIP-type RB7-5A	TIP
LOC110916097	probable aquaporin TIP-type	TIP
LOC110937771	aquaporin TIP3-1	TIP
LOC110923014	aquaporin PIP1-3	PIP
LOC110926365	probable aquaporin NIP5-1	NIP
LOC110921506	probable aquaporin NIP5-1	NIP
LOC110925968	aquaporin PIP2-7	PIP
LOC110923973	aquaporin NIP2-2	NIP
LOC110884547	aquaporin NIP2-1	NIP
LOC110884546	aquaporin NIP2-2	NIP
LOC110921437	probable aquaporin NIP-type	NIP
