protein_id	mip_domain	num_tm_helices	tm_positions	seq_length	mip_evalue	mip_score
XP_021969156.1	yes	4	52-78;84-108;132-150;207-235	287	9.1e-84	281.4
XP_021969157.1	yes	5	52-78;84-108;132-150;207-235;292-315	317	1e-72	245.3
XP_021970374.1	yes	5	7-30;43-63;72-90;127-146;199-222	233	1.3e-07	32.4
XP_021971649.1	yes	4	44-72;83-110;133-154;207-232	292	1.3e-84	284.2
XP_021972988.1	yes	5	33-53;60-85;143-170;178-196;218-237	260	2.5e-59	201.5
XP_021972990.2	yes	5	31-51;58-82;110-128;141-197;214-235	275	7.2e-57	193.4
XP_021973144.1	yes	4	35-63;74-101;124-145;198-223	284	5.6e-85	285.3
XP_021973145.1	yes	4	35-63;74-101;124-145;198-223	283	8.7e-85	284.7
XP_021973148.1	yes	4	35-63;74-101;124-145;198-223	283	8.7e-85	284.7
XP_021973154.1	yes	5	35-63;74-101;124-145;169-187;198-223	284	2.6e-84	283.2
XP_021973155.1	yes	4	35-63;74-101;124-145;198-223	284	6.7e-85	285.1
XP_021973181.1	yes	4	35-63;74-101;124-145;198-223	284	8.4e-85	284.8
XP_021973843.1	yes	4	34-62;73-100;118-142;197-222	285	7.5e-86	288.2
XP_021973917.1	yes	4	53-79;85-109;133-151;208-233	287	2.4e-82	276.7
XP_021976874.1	yes	4	70-88;95-122;180-229;252-270	294	2.9e-51	175.1
XP_021977057.1	yes	4	55-77;87-123;139-196;221-239	250	5.7e-74	249.3
XP_021979449.1	yes	4	42-68;79-106;124-147;203-228	289	2.5e-84	283.2
XP_021979635.1	yes	5	22-41;58-83;102-140;149-199;225-244	255	2.8e-75	253.6
XP_021983051.1	yes	4	3-21;34-70;131-177;204-228	237	1.1e-19	71.9
XP_021990674.1	yes	4	36-61;67-94;117-136;155-179	182	1.3e-14	55.3
XP_021992949.1	yes	4	34-60;72-99;117-141;196-221	284	6.7e-85	285.1
XP_021994243.1	yes	4	42-68;79-106;126-147;203-228	289	4.5e-84	282.4
XP_021994685.2	yes	5	27-45;53-81;100-125;138-195;221-239	250	8.9e-80	268.3
XP_021997756.1	yes	5	34-62;71-98;116-142;167-185;195-220	284	8.1e-84	281.6
XP_021998290.1	yes	5	36-61;67-94;117-139;162-180;191-216	279	1.1e-84	284.4
XP_021999580.1	yes	4	19-37;55-79;87-122;144-193	250	5.9e-73	246.0
XP_022000317.1	yes	5	52-78;84-108;132-151;207-235;258-283	287	2.6e-83	279.9
XP_022000445.1	yes	4	24-52;60-87;97-171;177-202	258	4.3e-76	256.3
XP_022002167.1	yes	5	52-78;84-108;132-151;207-235;258-283	287	6.1e-83	278.7
XP_022002168.1	yes	5	52-78;84-108;132-151;207-235;258-283	287	6.1e-83	278.7
XP_022002235.1	yes	6	18-43;49-78;85-130;139-162;168-190;219-237	250	1.9e-80	270.5
XP_022002236.1	yes	6	18-43;49-77;85-130;139-162;168-190;219-237	250	4.9e-79	265.9
XP_022002237.1	yes	6	18-43;49-78;85-130;139-162;168-190;219-237	250	2.6e-80	270.1
XP_022002249.1	yes	5	18-43;49-78;85-130;139-193;219-237	250	1.9e-80	270.5
XP_022005838.1	yes	4	36-62;73-100;120-141;197-222	283	4.6e-85	285.6
XP_022005989.1	yes	4	35-63;74-101;124-142;198-223	284	1.4e-86	290.6
XP_022005990.1	yes	4	35-63;74-101;124-142;198-223	284	1.2e-86	290.9
XP_022005993.1	yes	4	35-63;74-101;124-142;198-223	284	1.4e-86	290.6
XP_022006482.1	yes	4	53-79;85-109;133-151;208-236	287	1e-83	281.2
XP_022006941.1	yes	5	33-53;59-84;108-134;141-170;178-196	255	1.2e-58	199.2
XP_022007155.1	yes	4	52-82;103-127;170-189;221-239	257	5.6e-60	203.6
XP_022007682.2	yes	4	10-34;42-65;135-154;166-191	253	3.1e-79	266.6
XP_022009469.1	yes	4	36-62;73-100;118-142;197-222	283	1.7e-85	287.1
XP_022012102.1	yes	4	44-64;71-96;122-142;157-180	300	2.4e-62	211.3
XP_022013098.1	yes	6	25-44;51-79;103-125;135-164;170-193;221-239	257	1.5e-79	267.6
XP_022014704.1	yes	5	44-62;68-94;121-139;158-212;231-252	281	3.4e-60	204.3
XP_022016546.1	yes	5	18-43;49-77;85-103;136-162;168-193	250	1.3e-78	264.5
XP_022016725.1	yes	4	18-43;49-79;85-128;136-193	245	4.2e-78	262.9
XP_022021536.1	yes	5	72-90;97-124;145-163;182-232;252-275	294	4.8e-49	167.8
XP_022022901.1	yes	4	52-78;84-108;132-151;207-235	287	1e-83	281.2
XP_022025446.1	yes	5	36-61;67-94;117-139;162-180;191-216	279	2.6e-83	279.9
XP_022025807.1	yes	5	76-94;101-128;149-167;186-236;258-276	295	1.5e-48	166.2
XP_022026331.1	yes	4	24-45;62-87;105-171;177-203	253	1.9e-76	257.5
XP_022029508.1	yes	4	52-78;84-108;132-150;207-235	287	2.1e-81	273.7
XP_022029689.1	yes	4	18-43;49-78;85-130;136-193	250	2.9e-80	269.9
XP_022032747.1	yes	5	37-65;73-94;121-139;154-179;186-205	266	2.3e-61	208.2
XP_022035417.1	yes	4	52-78;84-108;132-151;207-235	287	7.7e-84	281.6
XP_022035921.1	yes	4	51-79;103-125;133-193;221-239	257	1.4e-78	264.5
XP_022037229.1	yes	6	18-45;55-79;101-129;144-164;170-193;221-239	252	4.8e-77	259.4
XP_022038870.1	yes	4	81-99;106-130;154-180;194-243	305	1.2e-52	179.6
XP_035831160.1	yes	4	35-61;73-100;118-142;197-222	283	7.6e-86	288.2
XP_035835916.1	yes	4	42-68;79-106;126-147;203-228	289	4.5e-84	282.4
XP_035835917.1	yes	4	42-68;79-106;126-147;203-228	289	4.5e-84	282.4
XP_035835918.1	yes	4	42-68;79-106;126-147;203-228	289	4.5e-84	282.4
XP_035835920.1	yes	4	42-68;79-106;126-147;203-228	289	4.5e-84	282.4
XP_035835921.1	yes	4	42-68;79-106;126-147;203-228	289	4.5e-84	282.4
XP_035835922.1	yes	4	42-68;79-106;126-147;203-228	289	4.5e-84	282.4
XP_035835923.1	yes	4	42-68;79-106;126-147;203-228	289	4.5e-84	282.4
XP_035835924.1	yes	4	42-68;79-106;126-147;203-228	289	4.5e-84	282.4
XP_035835925.1	yes	4	42-68;79-106;126-147;203-228	289	4.5e-84	282.4
XP_035837035.1	yes	5	34-61;69-97;120-142;164-185;195-220	284	2.2e-80	270.3
