protein_id	status
XP_021977771.1	new_in_v2
XP_021977943.1	new_in_v2
XP_021979651.1	new_in_v2
XP_021981655.1	new_in_v2
XP_021984447.2	new_in_v2
XP_021987955.1	new_in_v2
XP_021987957.1	new_in_v2
XP_021988248.1	new_in_v2
XP_021989956.1	new_in_v2
XP_021990076.1	new_in_v2
XP_021994152.1	new_in_v2
XP_021997121.1	new_in_v2
XP_022000573.1	new_in_v2
XP_022000943.1	new_in_v2
XP_022009396.1	new_in_v2
XP_022011339.1	new_in_v2
XP_022011398.1	new_in_v2
XP_022012100.1	new_in_v2
XP_022014304.1	new_in_v2
XP_022021453.1	new_in_v2
XP_022023717.1	new_in_v2
XP_022035419.1	new_in_v2
XP_022036172.1	new_in_v2
XP_035832764.1	new_in_v2
XP_035833122.1	new_in_v2
XP_035833123.1	new_in_v2
XP_035833912.1	new_in_v2
XP_035834143.1	new_in_v2
XP_035834144.1	new_in_v2
XP_021990674.1	dropped_in_v2
XP_021969156.1	in_both
XP_021969157.1	in_both
XP_021970374.1	in_both
XP_021971649.1	in_both
XP_021972988.1	in_both
XP_021972990.2	in_both
XP_021973144.1	in_both
XP_021973145.1	in_both
XP_021973148.1	in_both
XP_021973154.1	in_both
XP_021973155.1	in_both
XP_021973181.1	in_both
XP_021973843.1	in_both
XP_021973917.1	in_both
XP_021976874.1	in_both
XP_021977057.1	in_both
XP_021979449.1	in_both
XP_021979635.1	in_both
XP_021983051.1	in_both
XP_021992949.1	in_both
XP_021994243.1	in_both
XP_021994685.2	in_both
XP_021997756.1	in_both
XP_021998290.1	in_both
XP_021999580.1	in_both
XP_022000317.1	in_both
XP_022000445.1	in_both
XP_022002167.1	in_both
XP_022002168.1	in_both
XP_022002235.1	in_both
XP_022002236.1	in_both
XP_022002237.1	in_both
XP_022002249.1	in_both
XP_022005838.1	in_both
XP_022005989.1	in_both
XP_022005990.1	in_both
XP_022005993.1	in_both
XP_022006482.1	in_both
XP_022006941.1	in_both
XP_022007155.1	in_both
XP_022007682.2	in_both
XP_022009469.1	in_both
XP_022012102.1	in_both
XP_022013098.1	in_both
XP_022014704.1	in_both
XP_022016546.1	in_both
XP_022016725.1	in_both
XP_022021536.1	in_both
XP_022022901.1	in_both
XP_022025446.1	in_both
XP_022025807.1	in_both
XP_022026331.1	in_both
XP_022029508.1	in_both
XP_022029689.1	in_both
XP_022032747.1	in_both
XP_022035417.1	in_both
XP_022035921.1	in_both
XP_022037229.1	in_both
XP_022038870.1	in_both
XP_035831160.1	in_both
XP_035835916.1	in_both
XP_035835917.1	in_both
XP_035835918.1	in_both
XP_035835920.1	in_both
XP_035835921.1	in_both
XP_035835922.1	in_both
XP_035835923.1	in_both
XP_035835924.1	in_both
XP_035835925.1	in_both
XP_035837035.1	in_both
