gene_id	protein_id	element	count	positions
LOC110864409	XP_021969156.1	ABRE	1	+10
LOC110864409	XP_021969156.1	DRE/CRT	3	+465;-248;+464
LOC110864409	XP_021969156.1	MYB_binding	13	+580;+841;+1616;-772;-1102;-1532;-1710;-1761;-1767;-1794
LOC110864409	XP_021969156.1	W-box	4	+223;+1407;-733;-1925
LOC110864409	XP_021969156.1	LTR	3	+203;+287;+485
LOC110864409	XP_021969156.1	MBS	2	+233;+1222
LOC110864409	XP_021969156.1	TATA-box	7	-473;-834;-1113;+1814;+1849;-145;-180
LOC110864409	XP_021969156.1	CAAT-box	2	+987;+1779
LOC110864409	XP_021969156.1	ARE	5	+1265;+1325;+1582;+1900;-1839
LOC110864409	XP_021969156.1	STRE	6	+328;+781;-1553;+442;-1214;-1667
LOC110864409	XP_021969157.1	ABRE	1	+10
LOC110864409	XP_021969157.1	DRE/CRT	3	+465;-248;+464
LOC110864409	XP_021969157.1	MYB_binding	13	+580;+841;+1616;-772;-1102;-1532;-1710;-1761;-1767;-1794
LOC110864409	XP_021969157.1	W-box	4	+223;+1407;-733;-1925
LOC110864409	XP_021969157.1	LTR	3	+203;+287;+485
LOC110864409	XP_021969157.1	MBS	2	+233;+1222
LOC110864409	XP_021969157.1	TATA-box	7	-473;-834;-1113;+1814;+1849;-145;-180
LOC110864409	XP_021969157.1	CAAT-box	2	+987;+1779
LOC110864409	XP_021969157.1	ARE	5	+1265;+1325;+1582;+1900;-1839
LOC110864409	XP_021969157.1	STRE	6	+328;+781;-1553;+442;-1214;-1667
LOC110865440	XP_021970374.1	ABRE	4	+1370;+1865;-626;-665
LOC110865440	XP_021970374.1	DRE/CRT	3	+1606;-1407;+1605
LOC110865440	XP_021970374.1	MYB_binding	4	+656;+1071;+1892;-1191
LOC110865440	XP_021970374.1	W-box	5	+1924;-1399;-1436;-1680;-1710
LOC110865440	XP_021970374.1	MBS	1	-1338
LOC110865440	XP_021970374.1	G-box	2	+1369;-625
LOC110865440	XP_021970374.1	TATA-box	14	+117;+530;-291;-1965;+1129;+1232;+1258;+1302;+1341;-653
LOC110865440	XP_021970374.1	ARE	2	+121;-1350
LOC110865440	XP_021970374.1	STRE	12	+600;+1380;-135;-647;-1355;-1378;+617;+640;+1348;+1860
LOC110866810	XP_021971649.1	DRE/CRT	1	-901
LOC110866810	XP_021971649.1	MYB_binding	7	+1959;+618;+845;+1801;-35;-453;-670
LOC110866810	XP_021971649.1	W-box	5	+1064;+1773;-38;-708;-792
LOC110866810	XP_021971649.1	LTR	1	+956
LOC110866810	XP_021971649.1	MBS	1	+1959
